a6: {a6, e8de3815359f2f3bc3a50f73c1470cf5}
p2: {p2, 100667205d6764dba532ac5a6335e683}
androidx/compose/foundation: {androidx/compose/foundation, 15c9117f285e7ef105dc8cca0a216a30}
d8: {d8, 09a9167dad2a9111b1ef64bfdef6bd7e}
j: {j, ab3e725bad588298c2fed701fd3a7723}
c1: {c1, ce0534ba98d33e837655bca3a731bd05}
d: {d, 9faba0234ee9c527f41d392ecdc01e22}
q4: {q4, 24c01065db24eac2996b8e981418e4c3}
androidx/activity: {androidx/activity, 9e655fdcaf282a14506f10b787bd28cf}
x6: {x6, 30a059febd79ab1e270d8f5540972365}
v4: {v4, 823c7792b77f6add58ae7d153c63efa1}
l1: {l1, e9397b8dd7579ce469e328676f08520a}
i4: {i4, d57c4a227affb59c8679746e24a5c65f}
androidx/core/widget: {androidx/core/widget, b6fd696f237d6e941a8cc8a0cf978e3a}
k8: {k8, dac01cfe9b7a7a0a99bb8384863101db}
g6: {g6, ce6903afcc74fe58e525b862f2e74fcf}
io/github/rosemoe: {io/github/rosemoe, c220c30a526574a9420e954fcb89ad18}
o0: {o0, eb076964a119653c7446617153564cb5}
b5: {b5, bf5c5a96b06cb80cf1ca8971ec5a0fc4}
com/google/android: {com/google/android, 0e11d9ba5ac2a44c9ae034f057beb55f}
v2: {v2, cdfb496503613ddc62336a2c97d9f55c}
w8: {w8, 26e3b43cead1182d57086721dfdf50a3}
z1: {z1, 75ad91853e02d52e3d1029ffbe3536de}
m6: {m6, e8c010f337e1df19f47b1cf5682beb6d}
t2: {t2, 691468ec03d05c1f341de63c4d589f9a}
w0: {w0, 33b8dcf8a9b6fc776696ec2572d10b9e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 6a19214193b8cca207f2f6cba9df3978}
r1: {r1, ddc75f24184ec948d6673fedeadee759}
e6: {e6, ec640781440b98a45313d2007d276263}
x: {x, 4e3aaf5eaf2de0a64abdb63cfb9cb1ed}
j5: {j5, 1629cfbf1d8ac8b088f1f2557e880fc6}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
l: {l, 0f8c039d85f314700322749361e99e8e}
androidx/appcompat/widget: {androidx/appcompat/widget, 36fee8732702001e5c3ec672ddd6cd65}
y: {y, 12fad1131a42dd2923cbd2641e7a3d51}
f4: {f4, 8fcf1b1005e24315a8ac4007c33c078e}
b: {b, 4ed38693994880ac076cc115d0048622}
k1: {k1, 3d54f7b7c9296a136ebf53ebd914d350}
k: {k, 1d2226b0d8f98705b32f18a9843f1397}
x7: {x7, db9836c37493bb446a928b72046852ee}
g1: {g1, edd0f6531035b52c28c859d33cc3f0c1}
c0: {c0, 0813cc4fda2153b6c58345f0a7e5df7f}
a5: {a5, a437df906d7b7525472d52b1152def8f}
p3: {p3, 5d35b451ac275280cab439004b0c9ee8}
androidx/savedstate: {androidx/savedstate, 9065b0a77754c98ac610d0c8a933ae8e}
b2: {b2, 0b5f6f7b70d22db03288e9bdeaeba885}
q3: {q3, 275eb5a9947e647c16ad1a807fedcf8d}
d6: {d6, 1de70df501b3130094c600eab6226083}
l2: {l2, d558cfbf1574f7fcc4bdfc58f485e7d6}
i3: {i3, 66bb90614939e2c6b7e7528b61245075}
androidx/core/graphics: {androidx/core/graphics, 2df2f02f99b4c427c67465b27fd24363}
o3: {o3, 0c3006a969f6b318a9a8bd2322bf11c5}
o8: {o8, d87d97af0ece214af1b9d30270076a8d}
m5: {m5, 78cc7eb92b4eb7c9811b784974251c7a}
t3: {t3, 9ce2cf19ce284d85544a9d1057180c12}
j2: {j2, 674e90a2f971c6f0daaeaf4ef5dd0879}
v3: {v3, dc6d94aeb141911575fe91dee19d3384}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 3e79c2b35da86fc29a7b31aa5763fed4}
y8: {y8, 81d18afae3d1ea9509001ef7e9bfa522}
h2: {h2, d67cfe330499b5a14880a5071562e2e4}
n5: {n5, a2e4d769feb4828a252e63f8a0e2e54d}
u3: {u3, ce76bb7fea2b466e55483e95920bf637}
r: {r, e30041eaef3d2c6f7ed7bd3e2d10c5f5}
c9: {c9, 5e984818f7641a91730792c32fd6c9f3}
f5: {f5, dc12a83e28fb46e0238aa0be4ceffdce}
androidx/appcompat/view: {androidx/appcompat/view, 9053e149f8ecc5dd39373c81d8a23c03}
androidx/navigation/fragment: {androidx/navigation/fragment, 9405f80b7321b7d1f3b25609ac2e122e}
w3: {w3, ed1b43c44cc7f687089cd1fcffde2710}
z: {z, dfce012e8215477eba33855479f0afb1}
r6: {r6, da0747fb23c7870dbfdb625edc7a2a2c}
d1: {d1, f8654c7fb6bcbbe859793699b27a6aa6}
c: {c, 12a67b2eb7feebbd4903d559423baaae}
k0: {k0, 316620ab429df3f78a1205401035fc4a}
b9: {b9, 8eacc9bd5975021748f997206decd492}
androidx/databinding: {androidx/databinding, 811cdaf081d4d1b1b5975ee3efd9a325}
g0: {g0, 17d8d590d050d4be284482bb65504420}
v8: {v8, f5726cb3ad676aaecf8849dd00b94358}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
com/hoho/android: {com/hoho/android, 18b205f1fc87c2bd791b7eec24b6d7f4}
x0: {x0, ee70bbe7e4d7931cac67f03c3f500ff1}
b3: {b3, 6925c341a4c749caa25133b57b935979}
w2: {w2, ad9d7b19c44f9dcee1539f6b758a3160}
q2: {q2, 78046723aa9bd6cc18d75d5189483a45}
e4: {e4, f77fbe3398d983c1fe4aa324578ca95e}
o2: {o2, 20ea87d0f2bb74fe4d0d104858c23081}
m3: {m3, e88bc9084293f27594d55be091c07b4f}
i2: {i2, d14403a41e942260da94e11622184cc7}
