coil: {coil, f7be1fead21d6c199b27989c76ffb484}
androidx/core/widget: {androidx/core/widget, 8dd2ed9db45b770c06a71f74b20a75df}
coil/fetch: {coil/fetch, 6229bcfe0fa94e95b8ab3e9360553f9f}
androidx/activity: {androidx/activity, ef626aa7cb4fd18bbc27b199eb097fc2}
androidx/core/hardware: {androidx/core/hardware, 69d1900578eabebbff8d08bd5802160b}
com/google/android: {com/google/android, 739712282d6047ec9885f325b5b49648}
androidx/constraintlayout/core: {androidx/constraintlayout/core, af0dc424919e30bb1f16255c6f12dbf2}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 281341f7880d7ec30694eaacfeaf1af0}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 6963c445cd2f69f66df291da126ad465}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/core/provider: {androidx/core/provider, c1fb21a6806c623c00cba0ae6bc54cdb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, c8dfd2672ea7fa04427a26ada91619c7}
androidx/core/os: {androidx/core/os, 16f7dcfd17371075a1da143c3b9d3da2}
coil/map: {coil/map, 1cc365d5e72d3e92da576902757f55ac}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, ff6d066a940533b15d6ee313ed9faf96}
androidx/cardview/widget: {androidx/cardview/widget, 1387a1b3db00c50735170d7ccb44b504}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/core/internal: {androidx/core/internal, babd8658201ab004a4b4cb95f2a0dc2a}
androidx/savedstate: {androidx/savedstate, 9ffe123460b778de2ac191a8033a26b8}
androidx/core/graphics: {androidx/core/graphics, e1095248b0215bf12f96a61e70e5da17}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 8f28927587445c0706f32efb16aedb00}
androidx/documentfile/provider: {androidx/documentfile/provider, 724ebb388cd1cff3f79fbd8b65660bc5}
androidx/startup: {androidx/startup, 7e0737816647b03280b1305bf691238e}
coil/intercept: {coil/intercept, 5e5adff1eac09e3ec0922219939afca7}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, 77131acec7b8894592c5b6b76a80d961}
androidx/annotation: {androidx/annotation, 577d3e172e478aefb5f35094422895d3}
androidx/appcompat/content: {androidx/appcompat/content, bf2efcba963a3ec0bfa08023dc647415}
androidx/databinding: {androidx/databinding, 8b95d89da28e8b66f3aefee156edf126}
androidx/loader/app: {androidx/loader/app, 05563481ab5da252f0e0f9f8ab419d60}
coil/drawable: {coil/drawable, 5cc34053edb4e459a4965a6457803038}
androidx/room: {androidx/room, e391821de24386422fcc2f93e51bb4cf}
androidx/sqlite/db: {androidx/sqlite/db, 49f6b3d6f0e1a9b518f6e86aed18a9b2}
