androidx/appcompat: {androidx/appcompat, 595a06dbdd28499c541baf76127467fd}
coil: {coil, 29867d0b3722acbee5e83739c3411e79}
coil/fetch: {coil/fetch, 13daca9ee7332cc9406e01e34b7c13c7}
kotlin/internal: {kotlin/internal, 9e345deb12995d40f88123d631d0e6d7}
androidx/activity: {androidx/activity, 69af45596b22b24849170145116e2e83}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin/annotation: {kotlin/annotation, f3950e884821c38027c428fc214a8a08}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 644f10a27049bf7a95b02dc8b1084023}
androidx/vectordrawable: {androidx/vectordrawable, eae437762bb2b9a928f51fd8e31b8569}
kotlin/math: {kotlin/math, 3080aeb4cf7e4b67d6a6c7641f11ce5c}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 7f0d3c3e7321776a97b97b3b54eecbfc}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 32d0efa026b313575c32608837e74073}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 3adac37e1946f7b7f18b2f7e4be9996a}
kotlin/random: {kotlin/random, 7bbd41e4958760254c46c05adb5a97f4}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 564487d243e9bb3876621e6359ef103f}
androidx/cardview: {androidx/cardview, 8638456dbc08541c4528854eed91d17e}
coil/map: {coil/map, d5130eecbbc7a6fead0459b5b027c6f4}
com/mikepenz/crossfadedrawerlayout: {com/mikepenz/crossfadedrawerlayout, 9e692e7c9146f012b28cd47bac4252e5}
androidx/emoji2: {androidx/emoji2, 01871729f4ebc2b44a082e1be2bf73f8}
kotlin/sequences: {kotlin/sequences, 831ce012c2046462695a8f340843aba4}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, daec065fe007cb92719afcfc788df038}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, db4e57d2d8b944a42107182bb41cf5b1}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
coil/intercept: {coil/intercept, 91fd36b4a6b96caf36d7275b283c190b}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
coil/drawable: {coil/drawable, 91051c77ceebd8718a756689bc59d572}
com/mikepenz/materialdrawer: {[com/mikepenz/materialdrawer, com/mikepenz/iconics, com/mikepenz/fastadapter, com/mikepenz/crossfader, ], 725e8cccc656bbd91ba4bdb4712bd915}
androidx/lifecycle: {androidx/lifecycle, 550fd492ea0d56132cc375514537f1de}
