androidx/appcompat: {androidx/appcompat, f9b966313a6814f532fb628ac3d0f3cf}
com/github/appintro: {com/github/appintro, 1e4d0f84b41071ffb74f1966bc0246c4}
androidx/room: {androidx/room, 84249c5dc0851e2194aecd2ad1764286}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, caa17422b131a4f977325f07143fc779}
androidx/profileinstaller: {androidx/profileinstaller, b6034522768c414f7a60db57ea45451a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 0923f249d51cf6a478707a655f0d5335}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, d8189fadf87d2d26e23d5411a8179d51}
androidx/preference: {androidx/preference, f78e77bf561e43db9bd25f0230cdb8c0}
androidx/sqlite/db: {androidx/sqlite/db, 37fd599920bc92d533dedb0e4feb25ad}
androidx/lifecycle: {androidx/lifecycle, a0eedbc9617b293afaa9de2981efda4a}
androidx/fragment: {androidx/fragment, 593a856911f415a2bd884eca2fd87dea}
com/github/mikephil: {com/github/mikephil, cf0a098fa4e981b01d460027d4e66309}
ch/qos/logback: {ch/qos/logback, e7bef2fd24a82539e33830d328d7a0bf}
androidx/loader: {androidx/loader, cd738c3f1c55ca3b245fb120dbbb2f95}
androidx/vectordrawable: {androidx/vectordrawable, 5b4d58d09c9a81fef39e220c1b735d55}
androidx/recyclerview: {androidx/recyclerview, 453c61cff75d9dc16e384a66bebd980b}
com/berico/coords: {com/berico/coords, 5075979b8b235390f5b3cca3e3cbfc06}
com/google/android: {com/google/android, d90a463337364dacb93054c524e431d7}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 6c409d7f698e13ea39205144098f0610}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 4448a53ac6e61a2ed7659f0cd12a73f7}
androidx/core: {androidx/core, b9da766a53a591fec17436eb329a888e}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 71bef87dc72befac0d29972c5f30aa11}
androidx/collection: {androidx/collection, d6dcfa34cf950c2ec99ac037b4af878a}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 4b4c5a89448ddfbd8498d90c5e5b076c}
androidx/sqlite/util: {androidx/sqlite/util, dc36e5095094c262154e59fb03db07a2}
androidx/transition: {androidx/transition, d21018c172ee30460a2bed3634d6f6be}
androidx/cursoradapter: {androidx/cursoradapter, a4545363f8c155ea4a632831e0d3d9a1}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 43e47ebe35d3c8caaf2fc791f3cd0c50}
androidx/cardview: {androidx/cardview, 629a63d98fe70f1cc7039a37eb6c2fd4}
androidx/drawerlayout: {androidx/drawerlayout, 1fb930d925ecc47472e34cbf0f70e301}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, eb8caefbe3c8a17304833b944ab44d41}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
com/fasterxml/jackson: {com/fasterxml/jackson, 6035a48e96eda9bb26d63f25462fdc11}
androidx/emoji2: {androidx/emoji2, ef08f440dc50bfe160ef2df06c5e9685}
androidx/work: {androidx/work, af87a31b86cc9cd9a254e54eecee0192}
com/getkeepsafe/taptargetview: {com/getkeepsafe/taptargetview, 1feb636b667f0f80594182b6f9dcfc7d}
com/github/tony19: {com/github/tony19, 0db390eeeb150a4b7e83ec8056f6ee13}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 45c9ab1faaf23e9557288524c448dd9d}
androidx/arch/core: {androidx/arch/core, fe678557b03f391f08e64398bcb1642e}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, a822d1f32c7b67314d150001e74b49fe}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, a4416d427892ffa942cadc1ea18c7cea}
androidx/documentfile: {androidx/documentfile, ace5d9be6dc5bdddf07ce2d8a3165904}
androidx/print: {androidx/print, 19eb2a49fdeda506e3391b1ebff8eabe}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, b21e1b93dbc5e7059d592fc082c73a79}
com/caverock/androidsvg: {com/caverock/androidsvg, fd7abf9cfb2839629593eca7082fc25e}
androidx/tracing: {androidx/tracing, ec14acea3a4c5b137ba35126301604be}
at/grabner/circleprogress: {at/grabner/circleprogress, d7863de896fd46b8a1dca804d0afbc88}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/concurrent/futures: {androidx/concurrent/futures, 62ceb1b476558780e30ba65f826d9461}
androidx/customview: {androidx/customview, 4671ba453cd2cae301d30a013762ff96}
androidx/window: {androidx/window, a2133f7912f29644eb88d16eac1277e5}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, 6656817a5d87710ce39cb47c6f9fbb95}
