androidx/appcompat: {androidx/appcompat, c7ce11c1e9f5742f77395b1958dd61fa}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 69b7f657930c2c802f0dbaa2586b8713}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 996f0ddf08d032683988b5bbfeb3599a}
androidx/activity: {androidx/activity, 24714f0692a73c4125ea7af8544c2bf7}
butterknife: {butterknife, 0d70827966b8216867d99ea86c647384}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 26c1c81ebcfa607e14f5e7372582f16b}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 375df670d1150a313417d6a29e4a8650}
androidx/sqlite/db: {androidx/sqlite/db, a3cd2360e1207a4827cd38ac8ed6e73a}
androidx/lifecycle: {androidx/lifecycle, 1481ccacd385a0f7671c7d6d486cbbc7}
androidx/fragment: {androidx/fragment, 2aec4b3f1ea4017a09e1ae85cc1fd517}
com/github/mikephil: {com/github/mikephil, 9cd2ac5fd95f45fc41e206d240c53e68}
androidx/concurrent/futures: {androidx/concurrent/futures, 7b929ee65567b82a978992a4de58d565}
androidx/loader: {androidx/loader, cf5b07bc079d10903e89e42a9ddbe74d}
androidx/vectordrawable: {androidx/vectordrawable, 69d3f31d010a05bb75c2c6c003a5048b}
androidx/customview: {androidx/customview, c88efddac4efa2e6d4a285a1957dbce1}
androidx/media: {androidx/media, 4158ac18e11f508d6a4e687a4cf087dc}
com/google/android: {com/google/android, 606ac1e0df605d99af2e841db6ad97d6}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
com/amplitude/android: {[com/amplitude/core, com/amplitude/analytics, com/amplitude/common, com/amplitude/eventbridge, com/amplitude/id, com/amplitude/android, ], 429ab1e33098e85283be6b20007cfcd3}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/core: {androidx/core, 82dacf238de994f14c7648029325df70}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 8a1efe16c0f677917386354d89c4bfb2}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
butterknife/internal: {butterknife/internal, f1406ec58b8b9584b7b66e2503a10756}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, bde960c773aee913a9cda445aa39fc95}
com/github/pedrovgs: {com/github/pedrovgs, 69b91bcfef7fd240545ef2a8c073b6e3}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5eb9a92116f57a5d2877679bf599c44b}
