io/codetail/widget: {io/codetail/widget, 5bed93e57eb6833db16c6d4f512171cd}
p2: {p2, 59c26d358c78a2129bb1e64cffbbde40}
androidx/core/widget: {androidx/core/widget, f3a184a1b6ddd26b66e9c103041d8487}
j: {j, 3464a196700e245e629b18928ab22ea4}
c1: {c1, 929f1f65787990c6c1b70c648fb67bf0}
android/view: {android/view, 3869813a7327d98f1799ec6c508451fa}
q4: {q4, ef22d46c688f7f3770ffbe0793c3d4a9}
androidx/activity: {androidx/activity, 7c872abd7b96c2415358d186750be4b9}
b1: {b1, 804b0a637266f19a32de2be3ddca686a}
l1: {l1, 34871c375e2a26efabab6a0995b2952c}
androidx/preference: {androidx/preference, dcd5f62fc41f1be885fd5a3366670ca0}
i4: {i4, 90b50c8c5d0cf00efa98aeb769ac1401}
o0: {o0, 12ed950e23424c5f270b5d11871c2c9b}
b5: {b5, 155010d7c42ce49cba5bb618819848b2}
com/google/android: {com/google/android, 1dd1f05afff738fe1c7f57715c9a6b4f}
android/os: {android/os, 4e747eb389e2674564718767053d8170}
v2: {v2, a3104d2c6435404a6664b5ba93514095}
z1: {z1, 1d600efb1cb988b29a154f9cdfd0deb6}
t2: {t2, e4f37770f0727600dba4f93e70a27f16}
w0: {w0, b0c903f710f1a632122d89680f61e774}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, e945e6751a0c2021fba6f808f8da1539}
r1: {r1, f1ad9c2d55067e175e00b7fb64c0ca9b}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, e97147f2edf9265d73ea625f3525e201}
j5: {j5, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/core/provider: {androidx/core/provider, b7b7547f66d1a32a8d3eb85dfb742e31}
d0: {d0, c9fa579b3017c36129fe0ebd18bc588a}
f4: {f4, af1fba8ca0e4ce24a9ccb6d102e9a0ef}
b: {b, 54beb30cf44d62d66eea29040b00bfb3}
k1: {k1, 9d73a6d5a834809415b6620ef026d0d7}
k: {k, 40eb395b8436adea2b50f3a6341fb742}
g1: {g1, e5a0ce1a4a6acfcbe2b30d9860833bcc}
c0: {c0, 2c8a1a138de12291bcb60ede337eba2e}
a5: {a5, 94c04e6f887eca74e7865cdc7e942a49}
p3: {p3, 69768ae3b8f38ea8053d4fcee64f2269}
android/telephony: {android/telephony, f3cab5e8757d223105e2f6e506491ffd}
e5: {e5, 99bc1326bc2722e74f394811d7d87c3e}
b2: {b2, d8a529b44cd597f1aad6f4ba135f8f0d}
q3: {q3, 208f022040949d3622be8bd7e82e2af8}
l2: {l2, 728dade0b270c0763c25cc884335f4fe}
android/icu/text: {android/icu/text, bcd1e092f17df46a7d2aca17234dcf08}
i3: {i3, 5f9d6cab12c63cda3560d91998eafd6d}
android/media: {android/media, 53384416a49d0bc91c12cd0d74df57d9}
androidx/core/graphics: {androidx/core/graphics, 6783b190da706d99219c088e5ed52d7d}
o3: {o3, 07047d613b26d30c956be9f6593aaf8f}
androidx/savedstate: {androidx/savedstate, 0ef030f80dfe9d4473b1cef9df710d0a}
m5: {m5, 002182a1646ee22e2117e2386e3931a7}
t3: {t3, a18270ef87b1d1ecb6a6fb371a072097}
j2: {j2, cb171d3b6dfade6116f74063fa90d9bf}
v3: {v3, 4b40c73ff493244e40280d5c43f6cac3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ebb2c518fb688d99b0d964c252d273d2}
h2: {h2, 31ecd7305444d565fcac6c059ee1f0e9}
n5: {n5, 202b98a585f710baf923d0ca024239a1}
u3: {u3, ac258f9aa4f7d368955c9265c702b585}
r: {r, e9c927c2b5832b47aff32c7199899448}
f5: {f5, 9cfb224d17693de6011bb87faf54c1c5}
androidx/appcompat/view: {androidx/appcompat/view, 7aa36e0c4b29efc0e39bc8eb9e9d56ca}
w3: {w3, 30639b453f5ff8f06cbc670fc06f61d8}
z: {z, 4c7d0d2b06c8703055a64e3073200a45}
s4: {s4, 9d6037c789f691039b049bc972c7b5d6}
c: {c, 52b1de0a9d01fd79ba6840ecff1f9acf}
k0: {k0, 3529e7e9e73296012af70dce5e1008e4}
androidx/loader/app: {androidx/loader/app, c974c1cbc4bd2d32a6deeef0272ec8ca}
com/studio4plus/homerplayer: {com/studio4plus/homerplayer, 09ad3e17200ec909ebef093f47e8c8d6}
x0: {x0, 0fa3396105f3eea8adcb7ca7dfcc6fd5}
b3: {b3, 0cc1886cfde0337ed96cfcc366a8dee0}
w2: {w2, e2a1268e4ff05bb0d9bc4d95f0cdadd7}
q2: {q2, 907efd2aebccb5d0fe39045d0ca83ea1}
e4: {e4, dee46ec737f760b75f5ed3863e71880e}
o2: {o2, face165bec067ccbe79b3870f29a444a}
m3: {m3, f13698d6fa8ba129341944b5b33ca66f}
i2: {i2, e488f129e0bc9397994eb61a44b1b12b}
androidx/lifecycle: {androidx/lifecycle, 34b031a2ad16a2c11f826a9d00839e36}
c3: {c3, 5a0566ff13886471d57f4b3fec0ba8ab}
a4: {a4, 87ebae9e3ee5ac8daf6515bb6b3e6847}
h4: {h4, 0dce7501ca0525bfb88b106f390dba32}
t: {t, acf481a9188d09a71b689ad375b032bb}
v: {v, 7dd8a7178e02c651e52dd8343e0764b8}
androidx/media: {androidx/media, 3f4f9ee207913a84a10cbd43516c0516}
j3: {j3, dfde4d0d6e83a5ed51f060bd39d3a62b}
android/graphics: {android/graphics, 63d0620e2e64905104e89e8abeca3f7a}
m4: {m4, 386d1644ae03a218e32b97a6e0670501}
t4: {t4, acf7ef943fdeb3cbfed8dd0d8f584731}
u2: {u2, 489561ba1dae3d0f06a592f90dc4fc63}
s: {s, e4bc778b83d04144cdbb38791debee7c}
d: {d, a08d999a0ad3edc05b43683beb3c5ffd}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
h3: {h3, 47de5e113f13bad7677a9abb1fd426be}
n2: {n2, 75fe22f9bc93a9f336c6f163545046d0}
k3: {k3, 76cfe12e2a38803ae99305682cd2a216}
android/content/pm: {android/content/pm, 4e747eb389e2674564718767053d8170}
p4: {p4, f13dd076a8e90db7424041599941e585}
l: {l, aa49a79527a7cb4cca2b162a674ebc3d}
y0: {y0, c58e0f3bb3193eaff06e4ae275ef3785}
