androidx/appcompat: {androidx/appcompat, b3edf6c114e956b0b1955e9e8da8aa05}
androidx/activity: {androidx/activity, b071d9e67a014d610588945cc1de04f9}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1b57215d89a5981a9a52e43c91ad4d96}
androidx/compose/foundation: {androidx/compose/foundation, d37aba1bc5e0b39184252404c4752b00}
androidx/fragment: {androidx/fragment, 4486ccfd175771124732648e69ad13c5}
androidx/compose/animation: {androidx/compose/animation, e39ac2c76c2bdee7ca277c7c12807732}
androidx/autofill: {androidx/autofill, fab46c12d5878e8e5edadb275bec3b77}
androidx/compose/runtime: {androidx/compose/runtime, abe422926556e54f0700e4e2ff297b78}
androidx/core: {androidx/core, 2b92adf42ac7d3cea915d3f519201354}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 8a1efe16c0f677917386354d89c4bfb2}
androidx/collection: {androidx/collection, 06cf26e53defd91cb019b665856a5205}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 69b7f657930c2c802f0dbaa2586b8713}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, df39bb95ff51f939f80bad9b8ee0c57d}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/compose/material: {androidx/compose/material, 41906cdd32a5bc9049ca8c22a81d169b}
androidx/emoji2: {androidx/emoji2, 0c3c940ed7abbc37096e9368e93be6d3}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7ac1377606c9ba98dea2e06476e2473e}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, f0fbbedba02695144bbf06d638a33f5e}
androidx/customview: {androidx/customview, 664a1cc7b026d0cf509e0b8c2e1303b7}
androidx/compose/ui: {androidx/compose/ui, 628e46c2d65ef3c34ed11bb4d550e7cc}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, ba86326ba2d2f937fc99654a28b5d967}
