androidx/appcompat: {androidx/appcompat, 3af891c714b1658c134b6694f946594f}
coil: {coil, 5331267ad8717ef53612e1ae43e845f0}
net/dinglisch/android: {net/dinglisch/android, 97df7912955f6dc47044225de450c107}
coil/fetch: {coil/fetch, 6a743a5cc8883df3ac0e68adedfb87b6}
kotlin/internal: {kotlin/internal, 0d8052e1559643d873ca1ecc1d8fdca7}
androidx/activity: {androidx/activity, 0c489767aef0064dad2d38a4986e18ee}
kotlin/sequences: {kotlin/sequences, 812e538f75f5bd95f8cfdea0c8dc5bac}
androidx/preference: {androidx/preference, 7acb0e137e13a567f48401c6c71287c0}
ru/gildor/coroutines: {ru/gildor/coroutines, 7b693fabc9fe62341fbcc0e41a73b598}
coil/collection: {coil/collection, 20924016d34eb521c59755b190db5a9d}
kotlin/math: {kotlin/math, 59f9dd09115213fa9d5813b9108caec4}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5a7b4b22f1cddf77a5227026b6ecd8c0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
kotlin/random: {kotlin/random, d9e6265521b1656f499cd1871ddd2f60}
androidx/cardview: {androidx/cardview, d3a2fe5f262560ceea3d3e2faa65a8f5}
coil/map: {coil/map, 7ff38ff046820875bac50625ce58941e}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, b0048a22412040c3da181e626fc56110}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 49bc630fc4781ed6e7ea8d005ef0c7c1}
net/rbgrn/android: {net/rbgrn/android, 53cdcd99b08ae1c3c0c95cfd82d084e9}
okhttp3/internal: {okhttp3/internal, 926f7399d3e72a76f047581d6789861d}
androidx/startup: {androidx/startup, 301c7463362e3c3e1de60b1f770b9cc0}
coil/intercept: {coil/intercept, 384c8cd783bc96ee35d25c481a40787a}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
androidx/room: {androidx/room, 9417178e51a1555274af19d69900affe}
androidx/sqlite/db: {androidx/sqlite/db, 3e4190fe0b2285326103c486776ec8f0}
androidx/lifecycle: {androidx/lifecycle, 316df170fc307069f114f961854fd4b8}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/navigation: {androidx/navigation, 7c1dc770a4b1eaad6b609c049a6dcc2b}
kotlin/reflect: {kotlin/reflect, 30fca3c14c02be01bee2c6c9c0108bda}
kotlin/text: {kotlin/text, 520fe5ac17efd878d8dd3732c1928f58}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
