androidx/appcompat: {androidx/appcompat, f7edb75b88c33709578e71999753eea4}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, e2d406147a2890a09c9d8d0ffb0b0f6f}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 081d18a238e0ab300ece2cf0617c573a}
com/google/openlocationcode: {com/google/openlocationcode, 6a261551dc870983b0d9e6515bb45001}
androidx/core: {androidx/core, cc917763a03ac86637e5be7655055abd}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, feb701d2cca97b5246f6e2d78da7668c}
androidx/preference: {androidx/preference, d63fce0df6a14f5b8e151f181d97b21c}
com/example/android: {com/example/android, c23ab6dd5f9e077463c7373698c4ca06}
androidx/lifecycle: {androidx/lifecycle, b64db1c79d3e146e51fd51451c46ee15}
androidx/fragment: {androidx/fragment, 597b142c9c7fff0e0ce7e321a31f9774}
com/github/mikephil: {com/github/mikephil, a2bd5a18c897aa46a87e7c89a883b49f}
androidx/concurrent/futures: {androidx/concurrent/futures, bfa142bc661ff5d6b7bd06198424747f}
androidx/loader: {androidx/loader, e0f8f3401a9e2a310225ceb96ee81445}
androidx/vectordrawable: {androidx/vectordrawable, 62951e635adda5256056375e39918cb3}
androidx/recyclerview: {androidx/recyclerview, 8f2e83ce72c7c7f0186eb71b35e99d35}
com/google/protobuf: {com/google/protobuf, 4603812ed2b9f766e3208ee3c0e264dd}
com/google/android: {com/google/android, 69dca6b49772fcf6257454d67ae38fe8}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
com/ibm/icu: {com/ibm/icu, 68925321a770b3323955e94eeb4195c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 55da0163ce8c16fd2bc16ae2a1cc418a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 05421925c67e132839579c07e310fd01}
btools/routingapp: {btools/routingapp, a4ab199699a4170a9568b09bd09f804d}
androidx/collection: {androidx/collection, 8afaa5cfe5c37123d89147be6d337e38}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 9794ca4099a5b159aa10a0f16d47129b}
androidx/transition: {androidx/transition, 7c9a0989b001d2628885d454f583103c}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 68e4266ff8e932dd885b3d5b26be0574}
androidx/slidingpanelayout: {androidx/slidingpanelayout, cdaf819284907b555b9a763b1c93a835}
androidx/multidex: {androidx/multidex, df09621fc0494f04b86dd68aeb43c402}
androidx/cardview: {androidx/cardview, 1d53ff55e74138094eb22439af0140d4}
com/github/scribejava: {com/github/scribejava, 88226213bf1da130aac6c9fbd4515cb3}
androidx/drawerlayout: {androidx/drawerlayout, 69ef5d7c1d536a08db36e9116966051e}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, a06e0b59822194579867fb21e8d1f2a0}
androidx/car/app: {androidx/car/app, 7c48c06fb47ee90c71fc1c0c46f103ba}
androidx/exifinterface: {androidx/exifinterface, 2bab709906467a08e6693887d6dd7352}
com/github/ksoichiro: {com/github/ksoichiro, ce444a1d682f8fde16eb64e40bb1a674}
androidx/emoji2: {androidx/emoji2, 473b256e0a086bbbb494f79514c16b82}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/getkeepsafe/taptargetview: {com/getkeepsafe/taptargetview, 37ac080155910a37233a1445bb0cf60e}
androidx/browser: {androidx/browser, 66793fbaeb950554e3d6da4c8f5b2bfd}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 7a8cb8b0a1e51ad2ce4f06ad08042457}
androidx/arch/core: {androidx/arch/core, 21c8ec1fc737baaf7d820141697af356}
androidx/viewpager2: {androidx/viewpager2, 147fe4e4cddc79c39b0d48b8afcc55de}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 117bf63ea48b6434c2fceefe6976002f}
androidx/documentfile: {androidx/documentfile, a8b891a7331505b2304bc17c34adce8c}
androidx/print: {androidx/print, 19eb2a49fdeda506e3391b1ebff8eabe}
android/support/customtabs: {android/support/customtabs, 20cc7e99a174ea3ad5ad4827b189c31d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ff6f39964e041a040f53a2c60ef7d62a}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, f7a3adddc28c04234bc66bc26e55e08d}
androidx/legacy/app: {androidx/legacy/app, 2d127904ffda1a600d0235188040ec4a}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 9dcb3692758372a83be7a7887cfffecb}
androidx/gridlayout: {androidx/gridlayout, 1fb549b6e2bfe74cef94375d536acc76}
androidx/customview: {androidx/customview, 0b36b5ee82633952d4bb9bdd538d9374}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, c528bc99888af18a77078acb9abc9aa0}
com/google/gson: {com/google/gson, d7ad0ff4b7f86f94393f5b8785aabf49}
