a6: {a6, f2117e2a7e7b8ce251d256f8a445aafa}
p2: {p2, 8ef3da8e2287faa7b7179100167d1a3e}
t0: {t0, bb13adf90afb0880f5b1fcb61f81dee5}
j: {j, 89699504339c94c26ac8e00c4759fd7b}
c1: {c1, 9717e521dd2ff987b11038c4cf1f3a08}
androidx/activity: {androidx/activity, 99c3e903f14751431668f6d48a4468ac}
x6: {x6, 3e4913439bc03a215b3102ccf4d318c7}
v4: {v4, 28edc7295b6e7d250bc6dd264274480d}
l1: {l1, ff774d5e3bcb9b31cd75bd6cb5a3d55a}
androidx/preference: {androidx/preference, 605fef60232e87e065d6779e17ee7b63}
i4: {i4, 81433dae72c86995e75eb20b00eb4f24}
androidx/core/widget: {androidx/core/widget, 4723989269eba8f3140b3bc1d4ccb9d8}
g6: {g6, 0a7cc85eb105bd83cbec6069dfcb2a32}
o0: {o0, 3ffed7c5100c82a12fe42fe18e4d7777}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, 304f71fd52d4f9190c3b23512f54120d}
b5: {b5, 4d9987488fc4794f46e1137be7b5f794}
com/google/android: {com/google/android, ddf61815684a54d13bfb56a63dff0956}
z1: {z1, 423541680499114d736c1bfa0b679a01}
m6: {m6, 5e1648c1800d66911126e13737ed275f}
t2: {t2, c833e79cfc75e7848941d54f75b16866}
w0: {w0, 4043384ad31324ac492e60ce2acb596f}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f8f40bbdf724c8db23b74274167c618c}
r1: {r1, e93ce3624157f0af4ce6e5a47f515903}
com/evernote/android: {com/evernote/android, 42f490cc1413ab13cdd35b8f07cd09c7}
e6: {e6, 73cfa139ccb43baf7d5ffe79bd7e89b7}
x: {x, 45e259147634f98c3f63ec8389847e4a}
j5: {j5, 548a80eae088c996b0c3ae554b43b530}
l: {l, 981df3c4e1d972bb6e748e2256b6f9a6}
androidx/appcompat/widget: {androidx/appcompat/widget, 2b415eb7bc0355e445001bba9afe06aa}
d0: {d0, c4b48cd23edd1288adfeb310f22b6c8d}
f4: {f4, 6cc0eab06764f2b0d166e0b000e44242}
b: {b, e53025591c150170942cad453a41d9cb}
k1: {k1, e0ef251a9701cca8fa1fb279ec3cd6d3}
k: {k, 2d936864b26a65d265aeb0b2b91c56be}
x7: {x7, 1bb48a4c21c85144b0a40267d5184960}
g1: {g1, 4a8ad951b39d1b4dc264d42cef056012}
c0: {c0, 77b238840481fa466c0fa03cc3131fd2}
a5: {a5, 3537d43bfb79c8a9e923fed47d460d35}
p3: {p3, b686ed142535fd0a7b07d42dac40617e}
androidx/leanback/widget: {androidx/leanback/widget, dba61acef5da06b84cda05823dade35c}
e5: {e5, c304eef7cb6ed733c220ccc8b15933f0}
y7: {y7, af9ccae7609591f207f08c618b5cfae5}
q3: {q3, 31b6837220190108db376375a947d680}
d6: {d6, 2532b0aa78c726953da40ba67fa1608f}
l2: {l2, b583e6b21efd08ea52538dc92f9b6966}
i3: {i3, f1394b23c494480aef1307f068dc20d9}
o3: {o3, bfdbe5f2021576848de3580bef13d6be}
androidx/savedstate: {androidx/savedstate, 862f55eb1a58403ba6c25ee5f415325c}
m5: {m5, 355fcd1aa6cb288e5c0abf48397535f6}
t3: {t3, 89cb2ff5fef6effeb55349ae2f4df808}
j2: {j2, 4916ebfc443d2c6af373af05d37b90e1}
androidx/core/graphics: {androidx/core/graphics, 575ffaeb0e81cdada5d6918ae6496d8d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5388053123cd0a25e2ed013eda31fceb}
h2: {h2, fcfd97092e322d7b8a3ff73ae58bef84}
n5: {n5, 11d3577eccfcd2e1ba66668616dbaa74}
u3: {u3, b4d49e83bfc50910ea632e062da94bf3}
r: {r, ed13395b822be5f65eb71615f8e3d17c}
s7: {s7, d2fde31a62bf066b74aae028267890f2}
f5: {f5, a252f2b39c330bebca8e64fef11be666}
androidx/appcompat/view: {androidx/appcompat/view, 0ce7ffbedaa9ea1c2621665d5066da77}
com/ekndev/gaugelibrary: {com/ekndev/gaugelibrary, 1cde6527f17b6c78dbf56f90cfc5e5ca}
w3: {w3, d11dd11811080821535c6be6570f3f64}
z: {z, 44f2904567682c8785b8fbfeaef872f4}
r6: {r6, d60266cf9973eb5c041df25d30c442bb}
d1: {d1, 99f800f4e7927303d2424f28b82f0d16}
c: {c, 5262ee4ca51239f6bfae13bf59252bb1}
k0: {k0, b34ca7a68536b5887df6b41b7fea6809}
g0: {g0, 1f19fad9460133562f460bcfe0fcd680}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 4c00c0baf9e960404f57926b0685ea54}
x0: {x0, 10296b9a6246c9ad041716830dad4da9}
b3: {b3, 18e1dbe11045bf21205feaa5a526c4c6}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, c9b2e9dc4c577abf61314bc9871fc4cd}
q2: {q2, 839334f7e63f4c58121c84bd510f3fde}
e4: {e4, 74e6d5e9cbf9e0f3d7b44bffcf3f670e}
o2: {o2, 6d02a7b029512607b4845906443a0345}
m3: {m3, 043fc2ebc32bde7507b15faa04e90871}
i2: {i2, 11e626b936ac52a4e498817d753189d0}
androidx/lifecycle: {androidx/lifecycle, 7c8c5cd09fbfacab809033663b10f1bb}
a4: {a4, 72e3d9e0b9189d45f66b84a3a5f59d9e}
h4: {h4, 6c5a9733ea799ed77e3dee8a1c01ad87}
t: {t, 4d63cf49403538d8a876216dc95c6bce}
androidx/media: {androidx/media, 4fb9d410f4095db2a8bf1f9c7bd99d45}
j3: {j3, ca654c4abcbc27783dff16c446159cd3}
androidx/leanback/app: {androidx/leanback/app, 982d61c558cafd92d2b1c63afacc9511}
androidx/leanback/transition: {androidx/leanback/transition, 3752ad5bd97855b9309072356627ab7c}
m4: {m4, b1eea3b1a236354d1b33b18ab0bef44b}
t4: {t4, 60d8e3262011bc98e4cab9476a732e4f}
u2: {u2, 752cf4baa2832b036ed846fbdbf71372}
s: {s, 6a9d5357187ab13f97cc047ecd9f5dfd}
d: {d, c2729fb155369980d2324485fa3a5c6e}
androidx/startup: {androidx/startup, 64bbb0241ebc3fba5439789b82270a69}
h3: {h3, bba37fac9cb568ee8f40c89d4b69ddeb}
n2: {n2, 35fff7f07e7465a132a55f336fe348d3}
k3: {k3, bb82ae231ef48d8f886084c5924179db}
p4: {p4, d52dab0385f9091b5b47e093c1036ec9}
r7: {r7, 8311134ddeb3070c1bc45d7ec4e4f4ef}
y0: {y0, 5a72faab3ab693fdb855772e00799eab}
f2: {f2, 957e998dd432c699fd5ca3023530108f}
v0: {v0, 353a45ddd56246f568eb891dcd579b8f}
d2: {d2, ad8cd64bae8dac3dfe4c87f43a5944db}
q1: {q1, c390f82f73dd026978ba2e8d3ac8287d}
x1: {x1, 5a469b33a95c1fc92e2e7a1abcaa72ec}
g3: {g3, f96e34a4759e4466b2585f4bb80f1867}
androidx/viewpager/widget: {androidx/viewpager/widget, 1e7a95ac6f713e7b8cf3c55f03f9d4b4}
r4: {r4, 0e9fd0bdd3f0d593639ce42691b4e208}
y5: {y5, 7120531f27d9e6366c67860eeeb73379}
a7: {a7, 8f700d521def04963dabcd16ac1bc6f0}
b0: {b0, f521af0fa1c6cbcceab26cf01924f674}
m2: {m2, beeaf139e69ac747d8323233cfe1b8ea}
s4: {s4, 3dddf06c527b26506928f761c4095d88}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
d7: {d7, 4c6d3f695739ab18a8c87ef193cd4a67}
o5: {o5, 8e61eafcfaec7463ae2b96727c93ab05}
h5: {h5, 96335e3d5e50f008eafedcbcb6c17f11}
w5: {w5, aa00831eb5d4de60d6980ea118daf26b}
c2: {c2, 6b7c49815c86896e7288efcc8ac07bdd}
a3: {a3, 3ac5d7736a4a8ec0da47a405823f0134}
z4: {z4, 2a89837b35ba8e9959b2dec15c6447d7}
androidx/fragment/app: {androidx/fragment/app, 1d79bfb72c09b2a4b28495232079d78e}
t5: {t5, 326ac1a1d2c1e467a73fe37e58668472}
j0: {j0, 678a4f5a7f4288bb60c98ace2edacdd4}
l3: {l3, 8046b57688377c16c1556f39c8937058}
u1: {u1, b58af476dac039de0cb72c61508a1816}
e: {e, eaed158f7f7a48ca0f96169d6b934609}
p5: {p5, f0a1b76534c07653a764b294f96a936e}
d3: {d3, d7b7aa712713f2ce652a6e6a9a95cf32}
z6: {z6, 1428d6cdf311f128bfa083744de5d7f9}
f3: {f3, fbe74cc4284d948a865edb9d581e9c91}
k2: {k2, 470dcc5c3a650195e06f95d21b05bd5e}
m: {m, 71f6d93fdb8d6b86bcf3d5b668ba329a}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 9ee31a907ff64f022a253f939429ad79}
v1: {v1, bd63d4be1871568001c49f5993fc9e29}
y4: {y4, b846244edaceefb61f7fee617f88eadf}
q0: {q0, d05d6aff82e2627c0f600be28602ed54}
f0: {f0, 29ee2976ce061358b3f41ad4af65f520}
c5: {c5, 9900009ffc16668767f3046c5c8fbb60}
w4: {w4, ee43e770383a122de8ee70f5e4ef405a}
r5: {r5, caf9031dd7e9cbd273a281a61b29c2b8}
z2: {z2, e90a8ea3541a63a807a83718abf5ca0e}
o4: {o4, b7943228a86a22527d9277605daaff94}
m1: {m1, 7e4530b89b4ba2b96391261038d1f2b2}
b4: {b4, 9371cdb735ead6a9b2a4b7f0254ecf0d}
x2: {x2, bbcfdec8d084b6f8e75c9289aeac1a31}
v: {v, 77e01e14a7e1ab51ebb54c58a972e078}
a2: {a2, ddd7ff75f3c32a240856b7e06cb8d105}
h6: {h6, 768dc6c78aaa85c6952756939bdd8c74}
androidx/core/app: {androidx/core/app, 483962047d6a8ddf2b9e7b6ea0c64f3b}
n0: {n0, d64045104d215b7d80925b68c8634a9f}
u0: {u0, b259bf1eb37ddaaee9c965d875965da7}
k5: {k5, 41dff3e9ef60eee963ee7306c514b37b}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, 3987b5ca2c0d77a1b3bd2881803b757c}
z5: {z5, 7c55754df18fdaf689ac1777f3aa0ab8}
i1: {i1, be5c4014d9ceccc8b7897f2b1a232cee}
f: {f, 91f62d35d764d98a032333ebf46bd3bc}
kotlinx/coroutines/android: {kotlinx/coroutines/android, 6d9ae0d76337b67dbca27ee66e98abac}
l4: {l4, d479606695ccd603e49942b3e80db8f2}
y6: {y6, a160bdce1b00db38aced63c447831127}
n: {n, b46042fed0ce081063d43e0e9dade869}
p6: {p6, bb262a44282ce344868a9ce47e3fdfbb}
d4: {d4, 2d06071cd0bb15fbca725bc93059b074}
e2: {e2, c4a2204f95aea0af6d3dbeaaf4e3cc90}
t6: {t6, b495560d26d657088573b5752ba26a26}
j1: {j1, 8cb55b62ff0c3b6ed5878fdce6b32208}
u: {u, 165d76ab4cdd6cfa4facfae01ea6038b}
w7: {w7, a42e8ea470992e7b880f014d899969e1}
androidx/leanback/preference: {androidx/leanback/preference, d1e990718e044c29d6a4db9cd8c1d127}
y3: {y3, 22acab7d794478756d04980b64368072}
c4: {c4, e935b777f5502b40073d3f2d2d0c8cf9}
p7: {p7, 44f3ac596e626b7c862f3d72846f7283}
s1: {s1, a3ba32086bce0a13fa4d6575c5a0820b}
o: {o, dd112c080201db50fa9c5ba22f748b05}
f1: {f1, 4f8851bafdb3e8e00b31445ed3fbead2}
butterknife: {butterknife, 5bbeb388cf291ca63fcacbe6d524fe0b}
z3: {z3, f0e8dcf1c64882e84d84c785e65948df}
a1: {a1, 35b17d5b4090940a5703547acc70e646}
h7: {h7, b6b6973f968ceeed6112eb7f36c56c50}
n6: {n6, e57acf63128d8d0beb7a30fae3dc4a98}
w: {w, c8e5c43d1dc2ba8b7d0b2bed37f14e0b}
com/github/stephenvinouze: {com/github/stephenvinouze, ac152fa6c15129c1753644e4e4267a17}
i7: {i7, 59f5667b779828c1558273e66b134e54}
androidx/core/content: {androidx/core/content, cff2e627a974d5cb6c17f2c36496faa7}
x3: {x3, 7786f39800cceb0826af10be52b7e22e}
g5: {g5, 22c1b3c4086cdb33a20476b216bd9994}
k4: {k4, 542dd9699021b2a489ba6c7d8f6e4a23}
n7: {n7, 2e6c906eca215268aee3b96c0a8b0eeb}
y: {y, b4d3e92ff12cf5642fc70a45a0a87d79}
g: {g, 5572c5b19d4147fcfa6644344169d05b}
u7: {u7, 754b5bcf507e49be2bff441de74f96a2}
v7: {v7, babe10983a55d23d5cee95b5bc5c7354}
b1: {b1, 2cddcb5926dc73b5afbfed0f4237a8d3}
l5: {l5, e381f6991873210ea6cc1b6be99b5314}
i0: {i0, 9c6449b31f5645ea7d17c62a74388c99}
q7: {q7, 241005853bfd4e912cf8465288eacf4b}
s0: {s0, b9e534469e53b084c8b50a4819855986}
u4: {u4, 2471f7172aabdc5a686f36eabdaa40c6}
e1: {e1, 996801ef694007058c66d4460572985a}
t7: {t7, 6496c5d3d6729e46b43b6839b52b0cff}
j6: {j6, 74ea5e819f1d9d21b44e02dcc5b7e025}
androidx/appcompat/app: {androidx/appcompat/app, d00e030cc1736739617134a84a151ec0}
b7: {b7, 59b6258cbc05ee8d50ba5aeb234969a7}
w6: {w6, d04d6b5f97ad6c202f87f2daf42d0fdf}
h: {h, 8c099ef1383c5ab13162eb0935b65dc9}
s3: {s3, fb43e2cc22861e91e4bca0fb529f532a}
x4: {x4, d4d95a57101e4863a7113dc29e5dcf65}
c7: {c7, c3cc787beec98ca44aca378639aa7bc9}
p0: {p0, ccdcb65d021514ec9d4c701c33aa0695}
p: {p, 941dceb76620cd1a3e6b4a3a66c48388}
androidx/emoji2/text: {androidx/emoji2/text, 3b6b4df804805a4e5c022bdc59971f29}
z0: {z0, 07e431d43c200b327fbffd3ffa48da2d}
a0: {a0, d1b1c151f3bc8032891a645862f5dad2}
h0: {h0, e7b43ed44117d936c3c0311f6ec6d16b}
i6: {i6, 02519a79be79396c729a66db7fbcec70}
g4: {g4, f7dc82df468e4b2f790bf30da5b39d36}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, 8b3dae05fef7e656e5d8729e9e68354c}
s5: {s5, 3c28189242b1ec892411593313da86fa}
u6: {u6, a177888147b891ca6b4e5e420946f66a}
k7: {k7, ee2eab8de322da66fa9c9da450b71fdb}
net/reichholf/dreamdroid: {net/reichholf/dreamdroid, 5c58cdfd803f3bbd40a8f5c33e1bd98c}
o7: {o7, 8b1903723c5c392f7743df9cb2bb48ed}
m0: {m0, 9c87024ec02a43b01fd62a17201e9a1c}
b6: {b6, 913ce0ca3f53181794cb9c8d2d8db5d2}
s6: {s6, 0f7ab878a767ace4492f192f3d8c375e}
q6: {q6, d74b3f385daad4814ddf55a1a0ff2389}
e0: {e0, f49ff72d4bfb6a86c86c92b8b63caeb7}
r3: {r3, 1fa5263022d487cc5318580c92f56e5c}
com/squareup/picasso: {com/squareup/picasso, 4060e2fde322a941bfe52488cff39690}
androidx/viewpager2/widget: {androidx/viewpager2/widget, ff6adb0766feef23ec23469d8a04839c}
f6: {f6, 219a49a544bf11460af021c01598e5b6}
j7: {j7, 73da6253bb82ef5ec750d7b5812c9331}
org/videolan/libvlc: {org/videolan/libvlc, 315fadec73a603bb3f3f2e0ff4ce28b0}
c6: {c6, 675155366700eb04f5aaa6ee206d5208}
b2: {b2, a48ef7d888c4a1a31ae25b3286e51c4b}
y2: {y2, 9aaf29d3f173baa521e9dc3f6fd60f02}
androidx/window/layout: {androidx/window/layout, 98f0cedd0a11d3fd322f8afcb7534dc7}
l6: {l6, 1880350a4d391dcfb36fb68731dbe90a}
x5: {x5, 426c2e8d9ac9e3cf9afdbcc0c76d4a22}
d5: {d5, 23903299637fa8117ed4718ba719cb54}
i: {i, 01ed8ebc157bcfed29e48e063b2f3eb7}
p1: {p1, 0b3fc21f469c4fd53248f711283c53aa}
s2: {s2, ac0cf1b43ed63b3a732013b1f3504016}
g7: {g7, c205f3598757e845051620ddc24c4b2a}
l0: {l0, a2e6da17013910f77bacca63f1939ec0}
h1: {h1, cc275a11c9019409be69d1f4e5fd2a03}
n4: {n4, af3699404fd99390a117726bdb499ff4}
y1: {y1, bbe12ce71b0206e7eae9cd8506087bd1}
o1: {o1, 92fcd062096717ba130504f4302c00d6}
i5: {i5, f597288a90d00c124d0206d48b92b19b}
kotlinx/coroutines/internal: {[kotlinx/coroutines/internal, kotlinx/coroutines/scheduling, ], 90281a92014d7f29dde2b18efc570cea}
v5: {v5, 52dd77d8e087ce50e63a0801f9083c1f}
a: {a, 4691712170342c38bd9baf6fbe8dd2c0}
l7: {l7, 187e7ffcb8cb76eca5c84818a9e7c365}
t1: {t1, 63bf68b3f8506a3b14f7752076b0ad30}
androidx/versionedparcelable: {androidx/versionedparcelable, 7423de47c594ab7a1d4c098726e007f9}
o6: {o6, f0a33e4749b4c49a5afa178f2b1083b6}
m7: {m7, 32904244f95fa0f357842f26166d31cf}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 7659e75c88274de9a31c1d3054708441}
com/github/chrisbanes: {com/github/chrisbanes, 9c4673b80ec4b0f87581a680d2c735d5}
w1: {w1, 231cb96b4ed031f02a11789c42ef9192}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 5bc061c6f49cd7d4c9df1aea0860d069}
e7: {e7, e9ce985ed7aca97a898303c2f788302e}
f7: {f7, 8982369da0a4f62b0b3511eaf60cf5af}
u5: {u5, 3ef43818c8a2d2c45941f1f3a53f5d8c}
k6: {k6, ce1c97500af21d3a2c7da7cf49610884}
r0: {r0, 2005864f7cca5badcf94fd133d794081}
