androidx/appcompat: {androidx/appcompat, b8c22f42fb2e4283ecb0e417145c9ebd}
com/squareup/otto: {com/squareup/otto, 9f6cc2b604ad41858fdcd913cb74b516}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, fe7979d66225f6f99601ec7e5e05fbbe}
androidx/room: {androidx/room, c21f405ff0cfed03c14114087a692024}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 4737ce15c2d4a84df7c5b90a21138423}
androidx/core: {androidx/core, 54c25306810377debb41ee444bff9e9f}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, bd415add6947518154998e1b8769266d}
androidx/sqlite/db: {androidx/sqlite/db, 9d06578b8cb1e06ed8d357574c6be78c}
androidx/lifecycle: {androidx/lifecycle, fd67c78c19c047a49dc9992a75290a0f}
androidx/fragment: {androidx/fragment, d9a4874531a920243df275144a18614d}
com/github/mikephil: {com/github/mikephil, 3c2dce6eec215303002dd49799dcecc3}
androidx/navigation: {androidx/navigation, 60f189c40ae4d9e773a9479028df85cc}
androidx/loader: {androidx/loader, 7e4302e8c37768bb33a1adde97db2787}
androidx/vectordrawable: {androidx/vectordrawable, 0d4fdeb968671f37be7764a5d059e226}
androidx/recyclerview: {androidx/recyclerview, 2e56300129b31a2ba5995479923bd078}
androidx/viewpager: {androidx/viewpager, c823aa873c87807cd3229db7c18208c7}
com/google/android: {com/google/android, 0fffdfb339516175eb55e8ed0a36a748}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 4d805288571dfdd514e1fa3336369434}
com/facebook/shimmer: {com/facebook/shimmer, 8ca1cb2abcf6e994c867941991ab61e1}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 636a2566d3fc823e1242a66ccb34effd}
com/intercom/commons: {com/intercom/commons, d5a7d0f4eeadaa169c5b069159fd8c48}
androidx/collection: {androidx/collection, ee310fcc5f16ea083abe1170ee4aceb0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, aa024b1e1fea8e65b428daa0f0974cae}
androidx/transition: {androidx/transition, b9b428410c1cefe54f68c452413b9228}
com/google/zxing: {com/google/zxing, 500754ab7c66ae5cf7e98a70209411de}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 3e6035f3aa49c98bdc173a86be92153f}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 439f296814cdb6fd6d6c70f03490f356}
androidx/multidex: {androidx/multidex, a655deb2bb9be73b0318a3aada82217b}
androidx/cardview: {androidx/cardview, 20ec2e32f73ba51d9a18c336682e2132}
com/airbnb/lottie: {com/airbnb/lottie, 707e826b29f41c32a2220d1c90dfdfca}
com/google/gson: {com/google/gson, c8b003aba768f1a92b1525a9a1e3dad9}
androidx/drawerlayout: {androidx/drawerlayout, 30255700177572ccf64342f616a74ba2}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, ad2276e041ea310023ae5e1ac204178f}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 8e213860f5ab596ed4818647b00b8fc5}
com/makeramen/roundedimageview: {com/makeramen/roundedimageview, 909703e032c16bdbdde0e3cd1c26759f}
androidx/emoji2: {androidx/emoji2, cc5848b21d58a77ce95e2f0858b091af}
androidx/work: {androidx/work, eabaa02156f58cc976dd2898fd61eb01}
com/squareup/moshi: {com/squareup/moshi, 5226980158ee95f065b650b95059bed0}
androidx/legacy/app: {androidx/legacy/app, 60fa7d407afd60692ccbabb4d7d8b973}
io/intercom/android: {io/intercom/android, 7a2631ae05f6c4cfcf871582956862eb}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, b9170fcfea5d3c061bd469ea6ef77f60}
androidx/arch/core: {androidx/arch/core, 069c88c89cdd45634db883da3bd946d8}
go: {go, f46c10b412c3b2a335bdda14e2b0b9d1}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
go/mysterium/gojni: {go/mysterium/gojni, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/viewpager2: {androidx/viewpager2, 19e177dbb5c00aee3765f15b1102a61f}
androidx/legacy/content: {androidx/legacy/content, 1b9fc79b5e2ab9f8b67bba853d17e558}
androidx/savedstate: {androidx/savedstate, a4f398cf41314b1e007222e5aa924bea}
androidx/documentfile: {androidx/documentfile, 711183db6f7fccccd10f85fd9df5f969}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
com/bumptech/glide: {com/bumptech/glide, 2f368a0600c5e2fde9e853b74ed66ec5}
