androidx/appcompat: {androidx/appcompat, c43c7949880dcc5d4144ea7aa62b2640}
kotlin/collections: {kotlin/collections, e3d3ed9cc87b9867b6ba68a94657be53}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
androidx/d/a: {androidx/d/a, c3b3beb9393315adfa34bad026d4a89d}
com/njlabs/showjava: {com/njlabs/showjava, 3677e8ebf45626a03cec11ba50ecb9fb}
androidx/c/a: {androidx/c/a, 302b64fc134cad0e3ab1afbf42553ad3}
kotlin/io: {kotlin/io, 4e338ab91f59e3be99abd1e33bdbe4d1}
com/android/vending: {com/android/vending, b0577992ba5e7f488f1e25d01549b789}
kotlin/internal: {kotlin/internal, 4ba07c7bd40fd07627285c0d0c23ef3e}
androidx/g/a: {androidx/g/a, 774c0edfcda6292c011fbea145704dd3}
com/davemorrissey/labs: {com/davemorrissey/labs, 20e2ec20c9a9a818685fd2b04eb3c4d9}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin/sequences: {kotlin/sequences, deba3855863186cd12ff73c643b8daa8}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/preference: {androidx/preference, e1d7c5bf23202c758a48f3abc6ef6562}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
android: {android, ba3847124c4578b4f10fe547f2808a82}
kotlin: {kotlin, d1b6caa599d0b126969041a92a9d527e}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 927383621781684d6e7630ed739ea9c3}
com/android/dx: {[com/android/dx, com/android/dex, ], 6ec83fa2ddf1daa405db1eb634169db9}
com/android/volley: {com/android/volley, 1dc7f47168c294bbd3755f07e4b1e7ea}
androidx/browser/a: {androidx/browser/a, 01c8d6e18061c0a30f59dd2ad915c2cf}
antlr/a/a: {antlr/a/a, 43c89049a98c239bbba793c76b21b157}
kotlin/reflect: {kotlin/reflect, 7e0c68be80639ff0417e1f515a9c76ef}
kotlin/coroutines: {kotlin/coroutines, cd9bab039409f14b96243aa3b5e0a6dc}
kotlin/math: {kotlin/math, a36e912adbcf3fb21db03e18bd54be2b}
kotlin/text: {kotlin/text, 0cbe41108f27cf3dbf640896a8ad3d80}
com/github/angads25: {com/github/angads25, c06d8b01d276a8788f5530b3ba1b7bf9}
androidx/versionedparcelable: {androidx/versionedparcelable, 82f1a485e6d6b95739df5ab33bf0c802}
androidx/i: {androidx/i, 97133a9f08ae1a1adc54ff2c28c94cc9}
a/a/a: {a/a/a, 27d6f791f665d741e1d7d9e790d7bf21}
com/daimajia/numberprogressbar: {com/daimajia/numberprogressbar, 7b5f4e5887d5d139d898def1eebb0ae5}
androidx/core: {androidx/core, 952699af2ec6ac1197a39902114c14bf}
com/google/firebase: {[com/google/firebase, com/google/android, com/google/ads, ], 34dbf5bd16d1e55094f53fd309084e24}
com/rits/cloning: {com/rits/cloning, acf7ef943fdeb3cbfed8dd0d8f584731}
antlr: {antlr, 43de58cfe25e1cf8d6ec033d51752bb1}
kotlin/random: {kotlin/random, bc186047ee418c210a92aeae3a7e7076}
androidx/j/a: {androidx/j/a, 05fb0cda0e70a0d7f33ca22cb7d15582}
pub/devrel/easypermissions: {pub/devrel/easypermissions, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/cardview: {androidx/cardview, 54b9469709086ec2101bf83a806455cf}
com/google/gson: {com/google/gson, 8dd175675a23269098907311815de3a2}
androidx/legacy/widget: {androidx/legacy/widget, 1b10b630de1a831927ad2fcda0ca1158}
androidx/media: {androidx/media, ec6a4eaf1d0ad09f7f3d1f1cb905cb5c}
com/android/multidex: {com/android/multidex, 955c1a77ed1f5874adfbee9d947b2898}
androidx/d/b: {androidx/d/b, 5fd19329558f84ab8437de537b960c61}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/k/a: {androidx/k/a, b6d287f4b2701ffa119b5e4326228bd6}
androidx/work: {androidx/work, 4e49cc4f20df019095d2bc53adf40208}
com/a: {com/a, aa55f0c5703b49f6b5bb1b4ef8129c03}
com/b/a: {com/b/a, 3362aef978159f0465efa0d9b8a2cbd7}
kotlin/concurrent: {kotlin/concurrent, 7b239bf10cfb7ed0b9757003e041388d}
kotlin/jdk7: {kotlin/jdk7, cef481bbf6050d75c4ef0c03b1730f49}
androidx/transition: {androidx/transition, dfd51bdf58f8a5c6d4e911257276bab2}
androidx/viewpager/widget: {androidx/viewpager/widget, 4d6a99b6d700dbfbdbeab3b4fad1352e}
com/google/common: {com/google/common, 32517ac08b245973fe6ed0171d41d387}
io/fabric/sdk: {io/fabric/sdk, 7089c11789de72fcb2eb8d2a99c38bd6}
kotlin/properties: {kotlin/properties, b97d55cc9f6ca7e7b115a49f2f5b16fa}
com/android/signapk: {com/android/signapk, dca0aa50b0996a21842ac9199097163b}
androidx/legacy/a: {androidx/legacy/a, aae5bd79653bf9b0041a756497fae0f2}
androidx/f/a: {androidx/f/a, eae9875d5f6958d01515e2c21035f117}
androidx/fragment/app: {androidx/fragment/app, 5ebb73eb2945ba23adf2c5da528cea03}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
android/support/customtabs: {android/support/customtabs, d5339c99edbca9cbf373fbee4363930d}
androidx/h: {androidx/h, 36d805f70a8e2efb13f53d19bd8288b6}
io/reactivex: {io/reactivex, f1462be5ef66c62a9cbc82d2a4e55d14}
b/a: {b/a, e7160551664a06f3ea23840992dd5f58}
com/github/javiersantos: {com/github/javiersantos, 396ac9690855a707569842696dc806e4}
kotlin/ranges: {kotlin/ranges, 798fa76de5fa03eea4688d55cc2fe477}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 58c429cabb99a3ebaa1198b37270338a}
androidx/a/a: {androidx/a/a, ea873ed83a1666278b99b06315974041}
com/crashlytics/android: {com/crashlytics/android, c455e05b99306c63fe8d62e4f9a622ba}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 1a1c283055985b2aded26019b6142784}
androidx/recyclerview: {androidx/recyclerview, c766c15c0fc31e5fb01dcca0b2e42e6e}
kotlin/comparisons: {kotlin/comparisons, 0a8515f9381f8d6866f55473126ff858}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b06eb744fb99e89fbf68ef1cbf54b38b}
androidx/g/b: {androidx/g/b, f37f0d8da24de94b44c1dd2414edc228}
androidx/e/a: {androidx/e/a, 9b48e08444e53ccb7bec503236dd9de2}
androidx/b: {androidx/b, 9ae53afcb51a248fc93436da5f38fe7b}
kotlin/jvm: {kotlin/jvm, 7ea877b6eee9fb4acbed0e9ef2298538}
androidx/lifecycle: {androidx/lifecycle, 70ae8b0179d914f6e8cb9e52b02c6ef2}
