androidx/appcompat: {androidx/appcompat, c87350a847ff2fcd4c597e3a2177e9a9}
androidx/camera/view: {androidx/camera/view, 1a319933aedebdbe74f30c5492635e4c}
androidx/activity: {androidx/activity, f5c1b6e885ef0ea5651e9e83363f74bc}
kotlin/annotation: {kotlin/annotation, 1c1865e3758770a790e02249d58e60f5}
androidx/compose/foundation: {androidx/compose/foundation, a1c3a4da7a4718ed55c95f97ca2fa396}
androidx/camera/video: {androidx/camera/video, bb39da95e74e0442e0767d21e0d26bd1}
androidx/compose/material3: {androidx/compose/material3, 1a095ee9e7cd992f82527241eca33319}
kotlin: {kotlin, 33043110825572f1fd54897d66f4468c}
androidx/compose/animation: {androidx/compose/animation, d84a38364e437fc84f7679c5edda5bda}
androidx/autofill: {androidx/autofill, 725a706aea14f5e6d3752de8e475db35}
androidx/compose/runtime: {androidx/compose/runtime, b252cd58a188f89e67a95af739e9571f}
androidx/collection: {androidx/collection, 5716797b261536eec33ae19e54df644a}
androidx/camera/lifecycle: {androidx/camera/lifecycle, f74c41849984caea73b4b425a03b5519}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/camera/extensions: {androidx/camera/extensions, cce86b56e2239d117928fee9586d632b}
androidx/compose/material: {androidx/compose/material, 7e349868670541e3192e2c2817fda9fd}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/camera/camera2: {androidx/camera/camera2, 562e16ba669a2dc3bb2e9b1eaa21afdc}
androidx/compose/ui: {androidx/compose/ui, 8b30e8f751d30285c1c4cfba0d73626d}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/camera/core: {androidx/camera/core, 61c7a40fdd134e18684bdf241b3ba1e3}
