androidx/appcompat: {androidx/appcompat, cd25404e4b0e35f3f9d942f7b60650ed}
kotlin/collections: {kotlin/collections, 60c92bd1f543aaf844097feed8d6e953}
org/briarproject/util: {org/briarproject/util, 9549f62353b00adeea65189d64367700}
org/jsoup/select: {[org/jsoup/nodes, org/jsoup/select, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin: {kotlin, b96c07e6c13cb0d6188d50297dbde478}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
io/github/kobakei: {io/github/kobakei, 4414807992e42b53686794e1c36c5731}
kotlin/internal: {kotlin/internal, 52b6f9714f863b1ddf5d03f3161fc70a}
androidx/activity: {androidx/activity, b0fe8a6b00dfd365aa08f22e7cfaca0f}
kotlin/sequences: {kotlin/sequences, 68a5af51ce0611c48ea780f74182fd0e}
androidx/customview/widget: {androidx/customview/widget, 394e0a0676b348554a5e8d3dba11807b}
androidx/core: {androidx/core, 6d42c3c1156bf6d7aa4c81990a26f991}
androidx/preference: {androidx/preference, cf8312169dc5939b2b3e3ba67f8f11e6}
com/vanniktech/emoji: {com/vanniktech/emoji, 9d47c06f60151963aff04887b19e6e14}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, a6dbf610baecde7edd46944b6cf25ef1}
androidx/fragment: {androidx/fragment, 5e870ab60e4436623d3a6d7576ba4877}
org/briarproject/nullsafety: {org/briarproject/nullsafety, 70bdf627eadbcb6d9668482bef9440ed}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/coroutines: {kotlin/coroutines, d55be6db8f3a7821a48ae908cc856305}
org/h2: {org/h2, 1594fdaef38e7f555d75023c17056ab7}
kotlin/text: {kotlin/text, 17e764006acf39fb715dc367f4563d8c}
androidx/exifinterface/media: {androidx/exifinterface/media, 5cbfac441ab74f7c2b5569928dd75723}
androidx/versionedparcelable: {androidx/versionedparcelable, a30de75d6f97dba1417a468bb6610693}
okhttp3: {okhttp3, f47e681a9e2cb0b2d60b4a85a3fae3b1}
org/briarproject/socks: {org/briarproject/socks, ee78d802f9e828f1a09201831fc186e6}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 9b4d9a2b3d91ec521b8ab94ea125dc8d}
androidx/coordinatorlayout: {androidx/coordinatorlayout, c1f5b5502687dd1267c1a04d4806d0ce}
androidx/viewpager2: {androidx/viewpager2, cfe91190cfe54f7709808d3e7637b764}
androidx/collection: {androidx/collection, 8967ba0814e09556546450a22dcc7ba0}
androidx/transition: {androidx/transition, c4e63c02cfde2fc7984019a1fe3bf3b8}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
com/rometools/utils: {com/rometools/utils, cb069efcee1dd71da5f92ec602c94146}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 85cab2e0b28471a42da48bf6fa61ba86}
dagger/internal: {dagger/internal, c370ca1d587b4c305bff4cc3b94f9d1c}
org/bouncycastle/asn1: {[org/bouncycastle/asn1, org/bouncycastle/math, ], adb0bd0462870927842558a69519b7ea}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 68c97abed509d030899193d0bf138bb3}
net/freehaven/tor: {net/freehaven/tor, 0708a5312dde5a382b2a2f0c0951ec2e}
dagger: {dagger, da20c2e256558ec52b9e96cc46e88852}
com/google/zxing: {com/google/zxing, febac62956758f1ffd9d52337aa1cd68}
com/rometools/rome: {com/rometools/rome, 7521190ff6a6010080509329047aeac8}
androidx/drawerlayout: {androidx/drawerlayout, b1e3d7d8a0229faa8f9fa7f2ca5da241}
