androidx/appcompat: {androidx/appcompat, ac88be374cdea81258c72d87b0e7b304}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin/internal: {kotlin/internal, 4b8df174d75a4a0ab2092c23d3b501ce}
androidx/activity: {androidx/activity, e92f3f386bb4e171e5bf1afcbec5e6eb}
kotlin/sequences: {kotlin/sequences, 2bc40638f6e62465dacc6758635e07fd}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, c0eccf407b47dac1df92c08c15144014}
androidx/vectordrawable: {androidx/vectordrawable, 5e3da5cab8d1c352639a77723218df12}
kotlin/math: {kotlin/math, 72eee24a747e4c3b7f50273fac793832}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, aa024b1e1fea8e65b428daa0f0974cae}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 02583f17c8e54502fb3d99ad09f66beb}
kotlin/random: {kotlin/random, 4171389691da262f2d0fa3647b943619}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 8a88bc6acb10b30cf50a88f9e467c830}
androidx/cardview: {androidx/cardview, 20ec2e32f73ba51d9a18c336682e2132}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, f09acf048d7dfecb5f6343e7e3c0f8b8}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7967e5b015a8f446417b374fe4e96b77}
kotlinx/coroutines: {kotlinx/coroutines, f121ffd6cd8a8a7ad4ba7453833cb336}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/window: {androidx/window, 3fa867a71fef31b5cd4747609f3bc7e6}
androidx/annotation: {androidx/annotation, b470f029a9bf7713689ba7283fa8e794}
okhttp3/internal/http1: {[okhttp3/internal/ws, okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 68392ce9a631eded1e1ec3dcee504cd5}
androidx/room: {androidx/room, 9fb6e7bafb6e2d744fa4cf31d399be44}
androidx/sqlite/db: {androidx/sqlite/db, ea99d0122b90284ae8805e753332cc68}
androidx/lifecycle: {androidx/lifecycle, c21403028f3a221a0bd837d4b0bcf2e1}
androidx/navigation: {androidx/navigation, 39ad87a51033a491d4c37220ad176de1}
kotlin/reflect: {kotlin/reflect, 88816c173aa23c4d679552cd67d0bf7c}
androidx/legacy/app: {androidx/legacy/app, 60fa7d407afd60692ccbabb4d7d8b973}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 8cd5d88378c6f3c5382ba3c29dde9cf3}
okhttp3: {okhttp3, a8d0f6eb8711165f954167a46f0fb3d7}
androidx/core: {androidx/core, fabc5048a4d1933baf97a8e5bb437600}
androidx/collection: {androidx/collection, 8f0145a38fb109d1c982c587bed72e21}
androidx/transition: {androidx/transition, 212c495a66b3f2d7a6ea301ae2707561}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 3e6035f3aa49c98bdc173a86be92153f}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 74ea0d7f8591f291cfcc4b1b26208f57}
com/google/android: {com/google/android, 2bb6270ceb1b93ede752829a3ffc650a}
kotlin/jdk7: {kotlin/jdk7, ec888b19842115defe7dbd044c8926b6}
androidx/viewpager2: {androidx/viewpager2, 19e177dbb5c00aee3765f15b1102a61f}
androidx/documentfile: {androidx/documentfile, 76c71778ce80b9ae028ccf6cbb400237}
androidx/recyclerview: {androidx/recyclerview, d44b6a12874edb5297fc06a4c226558c}
kotlin/comparisons: {kotlin/comparisons, 102beeaf8722678ec903a238621344e5}
androidx/dynamicanimation: {androidx/dynamicanimation, 62a08ff3fb7a88ee014c61196a62de71}
kotlin/jvm: {kotlin/jvm, a0c2594d49cadbebb8251f2c3a195bfa}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 304867a75649237ec204ded75e92cdd7}
kotlin/io: {kotlin/io, 1c953b99873cd04900a3ab237f0739cf}
kotlinx/parcelize: {kotlinx/parcelize, 68a4aec0ffe8e9cc9b5e8e7f7097caed}
androidx/loader: {androidx/loader, 9c3fab698151806d2bba77e5bc210ea5}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 636a2566d3fc823e1242a66ccb34effd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, fe7979d66225f6f99601ec7e5e05fbbe}
androidx/slidingpanelayout: {androidx/slidingpanelayout, b512953e2c0f073a7d213255ea801aa7}
