androidx/appcompat: {androidx/appcompat, 05c375c46f3ac2f68b5bb59ac9110311}
androidx/arch/core: {androidx/arch/core, 21c8ec1fc737baaf7d820141697af356}
org/bouncycastle/jcajce: {[org/bouncycastle/asn1, org/bouncycastle/jcajce, org/bouncycastle/util, org/bouncycastle/math, org/bouncycastle/crypto, ], 626abe4ee31ab18d3937fb09e60d7c01}
androidx/activity: {androidx/activity, 1201751d311b433aaa5b5f9a478cfedf}
com/bea/xml: {com/bea/xml, bd5e02aea40d9295ff03d9e395bddfc3}
androidx/core: {androidx/core, bcd2c4745ec787551be3b77cc57f0743}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, d8189fadf87d2d26e23d5411a8179d51}
androidx/preference: {androidx/preference, a45e6b47c50243a4ca68b30cd70e9a04}
androidx/lifecycle: {androidx/lifecycle, c15ea22534fa7cf342eb43f3d7fbb02c}
androidx/fragment: {androidx/fragment, 29275a999af6aaee2c3275df47afc964}
com/davemorrissey/labs: {com/davemorrissey/labs, 4b997c6b12d7cf87b328d6c8362acce7}
androidx/loader: {androidx/loader, 0a05ac2ad6ee6a0b91d6797a50756066}
androidx/vectordrawable: {androidx/vectordrawable, d68edda7cae7629fda14a2ab3cfce72e}
androidx/recyclerview: {androidx/recyclerview, 6297d8ed9fd3fe7669f97af2a30de536}
org/bouncycastle/internal: {[org/bouncycastle/asn1, org/bouncycastle/util, org/bouncycastle/internal, org/bouncycastle/math, org/bouncycastle/crypto, ], 41284db9408b7ac5e17d7bf61a098afc}
com/google/android: {com/google/android, 0f22e84fdf9f6c2b75dad931810948db}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/versionedparcelable: {androidx/versionedparcelable, 6c409d7f698e13ea39205144098f0610}
org/bouncycastle/i18n: {org/bouncycastle/i18n, 03b27b75665d2053269ddc4cfc009596}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 05421925c67e132839579c07e310fd01}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, e2d406147a2890a09c9d8d0ffb0b0f6f}
androidx/collection: {androidx/collection, d6dcfa34cf950c2ec99ac037b4af878a}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 9794ca4099a5b159aa10a0f16d47129b}
androidx/transition: {androidx/transition, 930ee0a76ae11bc0d40d78eae435952e}
androidx/cursoradapter: {androidx/cursoradapter, 68e4266ff8e932dd885b3d5b26be0574}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 614d3e40f2076eb1b4b63b92a63ecc33}
androidx/multidex: {androidx/multidex, df09621fc0494f04b86dd68aeb43c402}
androidx/cardview: {androidx/cardview, 1d53ff55e74138094eb22439af0140d4}
androidx/drawerlayout: {androidx/drawerlayout, 69ef5d7c1d536a08db36e9116966051e}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, d89e0ed69330f3a202c509c7f7f746a0}
androidx/exifinterface: {androidx/exifinterface, 8bbe1173203f070e0350e079ca27da6e}
com/fasterxml/jackson: {com/fasterxml/jackson, 1bcbab7fb51ad252c2c9b09733beec41}
androidx/emoji2: {androidx/emoji2, 1231b33adc8c255360e9ede669ab42ab}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8abe1921d5ace22a9cf54c21c09eedb6}
com/google/common: {com/google/common, 683db77b338c4cec3a6274d38f9624cc}
androidx/viewpager2: {androidx/viewpager2, e9c8b7cdb5fda7b488376a1b7c0880f7}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 2daf74d17b8edf8721f353484bdcc375}
androidx/documentfile: {androidx/documentfile, baedb6183c30d96ac05ef8edd90522fa}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
org/bouncycastle/iana: {org/bouncycastle/iana, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ff6f39964e041a040f53a2c60ef7d62a}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, c69e4a4ad3e00aa54f632956eaf77edc}
androidx/biometric: {androidx/biometric, 36c844513bcb757485f3e5273f767f23}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
com/burgstaller/okhttp: {com/burgstaller/okhttp, 9985eb9c88a6982b326f306f40405ba4}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ee142642394ae2335c15f007bd311042}
androidx/concurrent/futures: {androidx/concurrent/futures, dfe620a4588f3539746b3e1ec3ae12e6}
androidx/customview: {androidx/customview, 0b36b5ee82633952d4bb9bdd538d9374}
androidx/window: {androidx/window, 29079e8afb4b82c72fdcaea0757acb59}
androidx/annotation: {androidx/annotation, e74fd3b1d8285dc02119b7c7919d3221}
androidx/test: {androidx/test, 5737135de9adb5eb758215f4c93925f9}
androidx/dynamicanimation: {androidx/dynamicanimation, f0d7ab7b4fade115f47f4355bd247e34}
