a6: {a6, acf7ef943fdeb3cbfed8dd0d8f584731}
p2: {p2, 9b82a2b246df7b0bd0da2797e487131e}
t0: {t0, feb66b2be7b8b13778d69d1eb54e49c0}
j: {j, 370ad98e81fa18451c19512610448e7d}
c1: {c1, ddbdd14e6e6e12675a18649c0d900239}
q4: {q4, 06a04a5ce325624d69124bff1169813e}
androidx/activity: {androidx/activity, e77643f1c67ccdb78a40be9664e4216d}
x6: {x6, 595e751101ed6de89d3ff665c639c0da}
v4: {v4, 2493e9fd6b19b3366cd5fc92d2aff4a6}
l1: {l1, 1ca0d7e16c3549dbb3119b4abfecfad9}
androidx/datastore/preferences: {androidx/datastore/preferences, 16f0e6fa9a23246bc8bb6a4fb3278ab1}
i4: {i4, c1435dbfb7e99afba5f6d360f4e5020c}
androidx/core/widget: {androidx/core/widget, cf05a6616be7aba024a57b1cf51c87e3}
g6: {g6, 7abf7edadc7baf6dd5da838a1d3034d5}
o0: {o0, 029b183f6261af15ae9257b33ebe3901}
b5: {b5, aa7df962baff50f6618fd4f607e003a2}
com/google/android: {com/google/android, 15f958d056156560f7f1976ebaa74291}
v2: {v2, 0457ccc7e08b127aa761897519c9fed8}
z1: {z1, 2fa65408b630ac9fe4ba14afc4b9621f}
m6: {m6, 1672fa432b05c9d7cc149ed0011f3821}
t2: {t2, fec07cef24a799f71ba94eb830649158}
w0: {w0, d78beabb3249867f9df45f27e31df79b}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 2d0d1181094caed45e23eede3fc53380}
r1: {r1, ebcdeb6b48fcbc73e2efdbc6ea5c2967}
e6: {e6, 7c9936848b099c0832119758e19575c1}
j5: {j5, 5df48c02c2a1e676d782b5716217daba}
l: {l, 8f9d73c97e8494fe637cf6e773c448fd}
d0: {d0, fadbf73d8baf14bbb4e707a09f7be7a3}
b: {b, e71fa6fa55ae46ebc8b4479d17d65faa}
k1: {k1, 979919e7c885ae0429756be6fb9c823e}
k: {k, 7edd90ff762eeff5b9a5dd9bbae3c8be}
x7: {x7, 65c9817682452b8b3137d0f0ad0d449f}
g1: {g1, 7f150910cad44cf46c93f693f1cd1c18}
c0: {c0, 57975c50567de5fa0e750aabd3bf0c7f}
a5: {a5, e3f234921cc84ed9f24a24c84aefe212}
p3: {p3, 70059eaf9d06ec1b3efa929bd2c37c4d}
e5: {e5, 81553c8283fc6c3d5b15ad57722e7b9d}
org/chromium/support_lib_boundary: {org/chromium/support_lib_boundary, fd17e40872f88232f705b862083f5fcf}
b2: {b2, 354a669640dc2bfc0f29c0012279edc0}
q3: {q3, 5519fde95ee0146fc050f0601105ec7f}
d6: {d6, d693c8676184edb1a335a93f2736eefc}
l2: {l2, 95e16d38ee77a870ec1ed47d40f2c559}
androidx/core/graphics: {androidx/core/graphics, 1c05193e226dde30a9cbc2677867d98f}
o3: {o3, bb09e0d2d3fa188dd58cf7f52f7b8220}
androidx/savedstate: {androidx/savedstate, e8db1ca90fba4ef9b9c1ada14d323b7e}
t3: {t3, 13729ae5041c8d167c95a196cfde52e8}
j2: {j2, 65b9934a09efc62c9016e5e94260b4d8}
v3: {v3, 72213b2bad2585d846d91659a91231e9}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 640c55b01af415c1b47c694abac41d61}
h2: {h2, bf24ae832c8d5d8f2279b5d0678f5654}
n5: {n5, bfdbe5f2021576848de3580bef13d6be}
u3: {u3, f0acac79637d42b08440f54eab8a63ca}
r: {r, b7c48f0aa1ad7acfba6a4f0b9b015cc6}
s7: {s7, 955d96e1bb6467d102d146e93646841e}
f5: {f5, 593a6ab1933618917a4a183de71b4bdd}
androidx/appcompat/view: {androidx/appcompat/view, 6b5803fffb3c6fd8ad3dc2b38880c79a}
w3: {w3, fe5ba4b0b02b8d18d7e03e21ca270c6e}
r6: {r6, 4dd3d6b020d858fbbacdab5f28275df4}
d1: {d1, bdfd6573735ba11fc956e40ba36704e1}
c: {c, e28299c51be76e33c50fbbc65b3dfa37}
k0: {k0, 781c7ad92bdea3354b2ae14e52a50d06}
dagger/hilt/android: {dagger/hilt/android, 0db4347f2d05af9fd040b28afd193010}
g0: {g0, 17b839eecd3327fd3499275129350c03}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
uniffi/ruslin: {uniffi/ruslin, 54b06a3d3afef08dd31d0c78fc2ced80}
x0: {x0, 6b80c4e9cb9525a3c6714897997f7a45}
b3: {b3, 0ef59264803c67a5639ae34e8b7d1704}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, b6c381245a57455298d0be7255ca8ff0}
q2: {q2, ae6c7862f5c0e0f1b0c7dbe496b02b30}
e4: {e4, ae36d459df95c9763d65f45fe1a5f732}
o2: {o2, 5f4925142f7fb437f8add3bd7ad02d1a}
m3: {m3, 5ed3b26f9391f68a7d51315fc2ab222f}
i2: {i2, b62be8bae2effd5c1016a6944907836c}
androidx/lifecycle: {androidx/lifecycle, 5bfdd82d4d1b9de567445ee4297621d8}
c3: {c3, b4f8f12c2306a932d1c56cf205037b23}
a4: {a4, e01d4b5e1cbdff6927656ee80247a85e}
z6: {z6, 2d6240fef6c00020cbc756680522e0fb}
t: {t, 87ba0cb2f533e55ed129114654e03fdc}
g2: {g2, d44fbb98ccf536dcb0c357d1344653b0}
j3: {j3, a11382145e573caa8f2867bb0c88ebfb}
m4: {m4, 6058485d76d28397b85d8a91f31001df}
t4: {t4, 8cb421ab158b3502ad24852264df6090}
u2: {u2, dd9eb36bd1c0f0acc9002ebcf6417093}
s: {s, 60828656666faa22acd6d1127e2c70ca}
d: {d, a4350db835f45b5b55befd98c59fe7b6}
h3: {h3, 7deb1c04156a67f6e679c4f010028d20}
n2: {n2, b1fc49861ba303dbba0aa8bae03d1059}
k3: {k3, 6ec3a655cfd3c15bc73f6663cc057712}
p4: {p4, 098a37a73a7118a3e525a6062e733f5f}
r7: {r7, 6c37a9cb38029d11d450388ccb494fcc}
y0: {y0, 80bfe0736f48f3276ef67986d9d089aa}
androidx/compose/material3: {androidx/compose/material3, 688f01ce0e7b5023f93772d8836a0b2d}
f2: {f2, 7067b30ea6506964a3c37bc32d6812b9}
v0: {v0, b22df7db5ca50386470924796a2b6ec8}
d2: {d2, d2de2fa9a8b1cc72a15169369e50b86f}
q1: {q1, e4ffa20f6a21dab70af5d01ff92fef4a}
x1: {x1, a7f6cccb02b3b1c91e910056dd4b7a1f}
g3: {g3, 971baef68e31e7680ac5ff0e0ab3ae18}
r4: {r4, a4e9f6b7e0ebd5f4823987d20902568c}
androidx/compose/ui: {androidx/compose/ui, b6c69afcd3cdfabc16dbdea97cec5a3b}
y5: {y5, acf7ef943fdeb3cbfed8dd0d8f584731}
a7: {a7, 7d6461dd8a0a2e00f0e36f5baaa75523}
w5: {w5, 2715a4e088a25a3edb0f4f1afca31956}
