androidx/appcompat: {androidx/appcompat, 4c6709de82fb090654694956976853aa}
coil: {coil, 3ee3f0bc5af11720ed997df4dd70cc8c}
coil/fetch: {coil/fetch, 3a90f2fa7f4a01b02a237204f079b351}
kotlin/internal: {kotlin/internal, 1b3e23bfb319eacaa8b17b1c806d6298}
androidx/activity: {androidx/activity, cbf4e89eddc4a73dbca1b2736af737e8}
kotlin/sequences: {kotlin/sequences, 630b8330df6bc9578ad8f4822edd4476}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 51c47e7e507114bd8b70355cb2997821}
androidx/preference: {androidx/preference, d4c08720f7efa14a441a0ebdac8bbdff}
kotlinx/serialization: {kotlinx/serialization, 6aa503f0c9c0a9cc68e61d2d459c25fe}
kotlin/math: {kotlin/math, ebde85e0b6a2a4fb43f117883c25b0e9}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ec776f45d1bcf104a886ec67aff6b04e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
com/nononsenseapps/filepicker: {com/nononsenseapps/filepicker, 2bd8f1b6355b8840da71308ce731392d}
androidx/cardview: {androidx/cardview, 9b6aca3a33598738e5e0c7ca4743d0bf}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 4a034ace586c4e5e905169d3872f3a09}
coil/map: {coil/map, f70a236b942cdc1c8618d6a1aa0e8e2f}
androidx/savedstate: {androidx/savedstate, 37c13d5fadf4cee71076a7c63f7a752d}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, b6f503b320fe06a0643f1cf984d843c5}
kotlinx/coroutines: {kotlinx/coroutines, db5f584accaddfe76b170433c695b256}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
coil/intercept: {coil/intercept, 4306364e580088602b8be935a1069da2}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 4fa17804a3bd53482e73229f02fc4330}
androidx/loader/app: {androidx/loader/app, 82f8a03386a0f35e31593d4a5afa4478}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
okhttp3/internal: {okhttp3/internal, 417e0144bc19bee593ef1dc443a821c5}
androidx/lifecycle: {androidx/lifecycle, 48d4b54481fc9a50238c1ddb0b4e9e3c}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, a9d1c0517fe38fbf1674a83fc8df801d}
kotlin/reflect: {kotlin/reflect, 8aa7bd7b9eddb0c8dddc509e66f9bc28}
kotlin/text: {kotlin/text, ab178a64dc2df54b37550bd1df19236e}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a7014102653b0ff72ba4bbab1db28b7}
okhttp3: {okhttp3, ba63668a24935f6675e197886956670f}
androidx/core: {androidx/core, 5f824e8ba156ccd42f5564c12746c3cd}
androidx/collection: {androidx/collection, a88b4eabd062f9b59a10ac004544cfef}
androidx/transition: {androidx/transition, 094d781422d7f81524deafaae8ebd91f}
coil/request: {coil/request, 21033d00540f89b07e882f414a83158b}
coil/key: {coil/key, a5c82d3bf9db979000351080d8e167c0}
androidx/media: {androidx/media, 58b8951a6ac46a1db299e195faa0a151}
androidx/viewpager/widget: {androidx/viewpager/widget, b7ca8adc3d6b072188ca3317ddf57c67}
com/google/android: {com/google/android, b0033a9b789cda29879265c52ee62713}
coil/target: {coil/target, 0abb947e9913ee0cd95c7b7d4a7d75a1}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
coil/network: {coil/network, 711f0a4c1979c4364c28416a1b8e9142}
androidx/recyclerview: {androidx/recyclerview, e907f5ec24fde30d1d3bfe007b2638a9}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
org/dolphinemu/dolphinemu: {org/dolphinemu/dolphinemu, 080fef36168f59e2b720c8e3a28f328e}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, f785914f979814f924a00f3621f91364}
kotlin/jvm: {kotlin/jvm, 493305d3fde1a5030a6ad22542c806ac}
coil/size: {coil/size, 4a70c1ad6f37d4784e7f579d88be0377}
kotlin/io: {kotlin/io, 974a41889af542576a34d30fbd2d89c7}
androidx/profileinstaller: {androidx/profileinstaller, c55dc60b278b6b25a3307e4fb7e8613d}
kotlin/time: {kotlin/time, 445eaacec1cc97ce903b18907cab5ed6}
com/android/volley: {com/android/volley, 8482ab3010c4e724b02a66b5563b211f}
androidx/tvprovider/media: {androidx/tvprovider/media, 33f5ad412998ff51bf94c7fb0b231dc9}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 49a4576868dfc2c8f8013e32375e385a}
coil/memory: {coil/memory, 215e11ce0620ef48e3ddbb98eab37a4a}
androidx/loader/content: {androidx/loader/content, b3a7b895a1f9824b5a7e26c69134f646}
coil/decode: {coil/decode, 72e62acf8844f09681e70a8ee456d06e}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, c9adac8e05894bbb7933a98cb5a2659d}
androidx/arch/core: {androidx/arch/core, df81edcb9505d3feb8a7a3f679bbf149}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 13993a98a417203a7365fb04f14088e3}
okio/internal: {okio/internal, 1389ec8f4869d2c1853b8885b5b190eb}
androidx/concurrent/futures: {androidx/concurrent/futures, 777f939eebe7e56aad737672ed0436f6}
androidx/leanback: {androidx/leanback, 1fffda8092f9f8d6f990eb36fcafab3e}
kotlin/collections: {kotlin/collections, d684a9d942bc1db14b8c816d5e908e58}
androidx/fragment: {androidx/fragment, 085ed20bb4fcfd7989aee7537fd0c1c2}
androidx/customview/widget: {androidx/customview/widget, 43c151b4ed4eb1e09d7ec562119c60b3}
kotlin: {kotlin, 65720fefc950e0534e7b5f7993fb46ae}
kotlin/coroutines: {kotlin/coroutines, 9e949ae6738662f17a2803eb51eed6a8}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
