p2: {p2, 56ce29682736e25b3d66938f0291db93}
A: {A, 75888676a609caaabc3460e6996cbb5e}
j: {j, 91b7d3217b5731ba196354007a5bfff5}
c1: {c1, 6f3c7cbcafd3b94fa768c172bec847d1}
H2: {H2, 93ff435ebf3f682f913e940375b7ea20}
androidx/activity: {androidx/activity, 3b3098a99503c4046dcd81240cc1c8e6}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 4422aa910240f899d8bbfa47cd1ccb34}
l1: {l1, 4457c57f736b64649f15f1a85b955166}
androidx/preference: {androidx/preference, 61d69aacec8ef228a95dc2b87e95694c}
androidx/core/widget: {androidx/core/widget, b92841a0659b3f61f89c831a28477a00}
o0: {o0, cb0552569bfc019fe5539cd98a5111b1}
K0: {K0, f2fd35ac536e28bf590d2b93838bb5f8}
y0: {y0, d447d975fc92ba962b464e3637ac92e3}
com/google/android: {com/google/android, 28695f6e992cc0d836344b3771e6b234}
D0: {D0, abc2c4b0db905c6cb07e42598bc372fc}
androidx/window/extensions: {androidx/window/extensions, e381f6991873210ea6cc1b6be99b5314}
v2: {v2, 1df85b1ee207fd50a98ea8a66ef81cfb}
H: {H, 6c94fae9796bc95ffb9d8134275d610e}
z1: {z1, acf7ef943fdeb3cbfed8dd0d8f584731}
t2: {t2, 2e9be3da832947a8d0848f5fd10a6f41}
P: {P, af3248cd322e7ca13d9bd9e75bdc8781}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
r1: {r1, ba58521da5d843a02312e40d406a474a}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 65983bc4419a039794ba84daf98fc6de}
Z0: {Z0, eb4d8076f2c3d343cb525154c34a9d9e}
A0: {A0, 8c35e20e2d204cda205171c567370439}
O0: {O0, e53839f099b0eb0fd8ee5f640d9e55a7}
androidx/core/provider: {androidx/core/provider, 1cbdace2dfa0dd156d6e014ee627f810}
d0: {d0, cba78e73d3e20ce29915baac7a3e20da}
b: {b, dc6c3994917fe48b9b623bcd97f623e5}
k1: {k1, 202cb98a2da54a83330f4b553c264c29}
k: {k, 45d20ac05e3b42ff233c76b69daad1be}
g1: {g1, cf52b482a4601c94acfbaa6037e1c4e6}
c0: {c0, 0ba9978a2f9298768e32a9e9be527fae}
androidx/core/os: {androidx/core/os, 81907b93c8ebdc319ff0ab36f16a0169}
Z1: {Z1, 2493664df5b113aa137d92b4e1d26c3e}
b2: {b2, dda849c1e730e4195b975fe457f5dd83}
androidx/window/area: {androidx/window/area, 98e556f0b331745a1b45c92b4bba197d}
R1: {R1, d52206726ec63ebc292d6eaf2d490911}
l2: {l2, 7cfb002ab14c8c4d828238ea1f379b17}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
V0: {V0, 8dd175675a23269098907311815de3a2}
Y: {Y, 8f665503c41b1d6b1f184da4e151b36f}
V: {V, 758ba27c7fd2b4a84ba6082aa225af8b}
B: {B, 13207ca660e6312b8b7c256252fed859}
j2: {j2, 56df51fbd484f6d4da9d107e4b22fd87}
androidx/core/graphics: {androidx/core/graphics, 48186845009c761c2e28c47b797e2e90}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, e2ca7ce8148acc4ec02983cd65896bc3}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 3eceba3c6bc4049cabb47249474446ed}
androidx/datastore/preferences: {androidx/datastore/preferences, 7c04b12b066b1779f03ffc7ec717b96e}
h2: {h2, ef988aeb6ec43c774e8e1572caf893df}
I: {I, 6d8d88d60fb845d52e48dc841b6d6734}
r: {r, 0d9e85ae134184b74f14069b2ee6d3a6}
androidx/test/internal: {androidx/test/internal, 454c2d0d483cd9f52917502228138af1}
androidx/startup: {androidx/startup, dfc77c869f6cbafe0176e365c6f2949b}
L0: {L0, ce1133299611c35a08e8e59e3a47b537}
androidx/navigation/fragment: {androidx/navigation/fragment, bf941ce5fa88bd7d76cd7f1da7ebdc83}
z: {z, 76002d94c7c1ba0ad1ba693b6f26c8c4}
d1: {d1, b81a54cb57cee01d39cdf6f74c444734}
c: {c, 05bc86b950a7d7cf99eb19da9c77a253}
com/facebook/shimmer: {com/facebook/shimmer, daf5cb79a8a69129f57ab60633320a69}
k0: {k0, 3f0d7ca4eceb501192ebe34b53b4f039}
androidx/loader/app: {androidx/loader/app, c974c1cbc4bd2d32a6deeef0272ec8ca}
g0: {g0, fa8ff43a53d3453ff75d2ce775d82669}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 76ed4db8758c61f8109b15cb23e5d06b}
J0: {J0, 2d8fb19a3397b693edfdffcae220a303}
x0: {x0, 50ff42313e12765b4f283db0d6a00055}
androidx/room: {androidx/room, 8662755b6a86f5102db6f190163d3c6b}
w2: {w2, 1d0500f8cb217320209ce2d4bbf6ef8c}
q2: {q2, 381361a673e108e6f15527bae78ba4e0}
U1: {U1, 89f444d64894cd6e25a33be8b70e0188}
R: {R, 3851c498ba4007d6e91686840d615fd5}
X: {X, a8acf56b06fe4760c5d4ddc0609fe631}
o2: {o2, 38793e696137c8084583b3c0fc17a048}
i2: {i2, 0a9aea0950ddd7fae89d9fcb8850ba34}
androidx/lifecycle: {androidx/lifecycle, 0e5b74f4ecd7fd8c91de48d2765d5074}
Z: {Z, 0e3fb57f3f5a8e45ee98930a8a45e1f7}
D1: {D1, bd01ec3e3a9f4fe0e0cc8c33458b5976}
C: {C, b86e4a2264dbf6e6b7be9b93d80c3868}
t: {t, 1bf2a16d4b167b918aad57513a62544f}
g2: {g2, 5b41915bc4e577ae5b41e6e52b364bf6}
V1: {V1, 28278ad12face4a65a3e771d877b2d47}
androidx/test/core: {androidx/test/core, e0d1c679ece67cb823f9616c55bf24b2}
J: {J, bc83039ca65de116ad9ef5bc9ff2508a}
C1: {C1, b417bd0be89f67880d69605a54ac22e3}
u2: {u2, 226b1af9c1f8f3d2d6feef94742d5baf}
s: {s, 82eb9b1849331332978550144ae517ae}
d: {d, 749f3959cdfa46b8be1b2886a3dd64e2}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 20ae148bc8efd185f588181c05212047}
n2: {n2, 09bf854dbda2ae702d747ba164840124}
L1: {L1, f7506d490c02062ab2a18ab614f18d9f}
Q: {Q, 8457b675ecf1a13e6f85d9e1be4d163a}
l: {l, aaa535c64ddb88b044de24a2f09d9288}
I1: {I1, afcacd98484638012a85f2f08fd45072}
v0: {v0, c892d1b2bfae3d37cc497fca6299d7ae}
d2: {d2, 14122f10d790d586f86d0a2a7f027512}
Y0: {Y0, ea355528d2b1bf2a86789b74d71cb540}
