androidx/appcompat: {androidx/appcompat, 8d568259d11b20a428f3d13789849082}
kotlin/collections: {kotlin/collections, b6d474f371d9f7097b5ea761457eb905}
kotlin/jvm/functions: {kotlin/jvm/functions, 3c12fc6b8f55fab0318e6b22ba73f244}
kotlin: {kotlin, a9cea81d9a3bbafa6f5a082707b38adc}
kotlin/io: {kotlin/io, cd16993e40b4b9cb11d51fc6db38e30a}
androidx/room: {androidx/room, f419ac84edc3dfe5f19157e15b78466b}
androidx/activity: {androidx/activity, 921b6cd15e0bd49b63739769a6441659}
kotlin/sequences: {kotlin/sequences, 41243a9cc43a6b5f953874e42f70b17a}
androidx/customview/widget: {androidx/customview/widget, c4aca0aff4abb6df0c26d7854bd02830}
androidx/core: {androidx/core, f50f37c25e419e6edf21d9624209bfc7}
androidx/preference: {androidx/preference, 8fdd51507199e72ca8d36f82ed2335e7}
androidx/sqlite/db: {androidx/sqlite/db, 44bf950c14aabc10b2dcdd5781b81b40}
androidx/lifecycle: {androidx/lifecycle, 71dfb47702f5ec8d873f5dad05be8c41}
androidx/fragment: {androidx/fragment, a3b97902d9f1d7face2f15a10398e1c2}
kotlin/enums: {kotlin/enums, 5bc6feda5b730d5c57d8db23766049f0}
timber/log: {timber/log, ceba71937437f71d52931bf164ca92fe}
androidx/navigation: {androidx/navigation, ba9342b2a4ca3976f20d12a95f9ac5e1}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 7cd9370a2c2fc28a23f33edfc3242699}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, f36b34f5af717a94c54b1f5ae15e2d2a}
kotlin/reflect: {kotlin/reflect, 7fea5403c1e3566feaa360636fda3846}
kotlin/coroutines: {kotlin/coroutines, 9a65013b02c22cdbafcebc27a46b0905}
com/google/android: {com/google/android, fc698db4c46a46784263f060c86456f0}
kotlin/text: {kotlin/text, 540205e221561a38f3e58053e8656659}
androidx/exifinterface/media: {androidx/exifinterface/media, 22eb090794895e835471445adfd33e68}
arrow/atomic: {arrow/atomic, bbfb37f573683baeb1a6b0ae5047d3ad}
androidx/versionedparcelable: {androidx/versionedparcelable, 20fa76686c14cb51e7c8d889b83b628e}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, da9439a6116af28432a894a1855e0efc}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f8aa0ff898a192b81dca9e1323b5b02e}
androidx/collection: {androidx/collection, f73305aa27c143bb7bbb97ecd27523e6}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 279741ffa41fe922c051f1e0b1eb0cc5}
androidx/sqlite/util: {androidx/sqlite/util, dce0b596601dc8d929719428f59faea6}
androidx/transition: {androidx/transition, 601d688c2864a672df364a36696100bc}
kotlin/random: {kotlin/random, c6564840cadda93de7415ef7e8ca4450}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
