androidx/appcompat: {androidx/appcompat, ce85f135de65208b30cf18bf7386657d}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 6f372531e08b8dc6ddb7767a1fdbffb6}
androidx/activity: {androidx/activity, d19d400714ad07cf868bbefa66ffcfa5}
fi/iki/elonen: {fi/iki/elonen, 774823444aa2f4a3a2a06400ff0c48fc}
androidx/core: {androidx/core, baff7df0f4745ac0e5feff0419a3ac25}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 2d2b767027d23038ad0422958c69b04f}
androidx/preference: {androidx/preference, 350e0fb526979c38944e00b93f9bf424}
androidx/sqlite/db: {androidx/sqlite/db, 810236ee00c5d2690be4d96a009152d3}
androidx/lifecycle: {androidx/lifecycle, c93abf2518cc2979e6085f72036567f4}
androidx/fragment: {androidx/fragment, b529b7ed4781149143dedd56cf2ec4bd}
cc/mvdan/accesspoint: {cc/mvdan/accesspoint, b3652a5643c75fd37198757adb305832}
androidx/loader: {androidx/loader, 61f16f21daa753e3e3bbea9dca132ed1}
androidx/vectordrawable: {androidx/vectordrawable, 61cdd422b030e764df756b147229eacb}
androidx/customview: {androidx/customview, 9f206c35134902ab323fac37f06c9458}
com/google/android: {com/google/android, 10fdddcd3caeab701999e56465314c9e}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
androidx/versionedparcelable: {androidx/versionedparcelable, 6110a380116b690736806520e7e64e7f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, be9e40092b257f68c15305897f5213cd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, a6083ce2ec5454407cbb99940ea9106b}
androidx/collection: {androidx/collection, 270cdce23536c9255c28f59fb6bfb365}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b1c946cd83d24bd83b3dc61b43f74846}
androidx/transition: {androidx/transition, 95028e41d0609407fa5c225076d2b9b4}
com/google/zxing: {com/google/zxing, e9abbf57a1403c8862f28517c4ae042a}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, ce8528297b2cf5afea04c5619fc90479}
androidx/slidingpanelayout: {androidx/slidingpanelayout, be4ddd168d918b117b2dedb80e56ae31}
androidx/cardview: {androidx/cardview, dff8d98896c35974b8c1b434057e39b8}
androidx/drawerlayout: {androidx/drawerlayout, ae0a09a4f65450a3a75469094dadb1f3}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 0717b497e1030e3197e7eb6587bf1d6a}
androidx/exifinterface: {androidx/exifinterface, 653597155fc6dbe7cd4b813c5edb501b}
com/fasterxml/jackson: {com/fasterxml/jackson, 92f76ab028419bd3a3c89bbd30c0bb30}
androidx/work: {androidx/work, 3d1cbabd08c0a5eb197683c131687747}
androidx/legacy/app: {androidx/legacy/app, 60fa7d407afd60692ccbabb4d7d8b973}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8621caf1fef6c3ae1ba416a0a3b703a6}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/palette: {androidx/palette, 76004c9a2cf5b81bb20e985476f9cd5f}
androidx/arch/core: {androidx/arch/core, 484aafee93776acce631b106f51ccb93}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 38a18d9c0518753b8be07f624aee8fc0}
androidx/viewpager2: {androidx/viewpager2, 935c6f61a84bff8105d1362bd57764dd}
androidx/legacy/content: {androidx/legacy/content, 7cad5a450f4ae8c92f752bf8c87ba91d}
androidx/savedstate: {androidx/savedstate, ddd6c535c85ea0320f0bf36320baf2cd}
androidx/documentfile: {androidx/documentfile, c4d6088aa201ba86656b690fdff5422e}
androidx/print: {androidx/print, d4d9f4edf8a77f97573022ad7fc970de}
com/bumptech/glide: {com/bumptech/glide, aa4f2b61fc46ba13a84414575139b147}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 3704d0b5e33ded2f078a1209714f2211}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, b993fe7355d8ce0538b238ddaafd6eea}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
androidx/recyclerview: {androidx/recyclerview, 9e947f856ca53773718340d9f8430d52}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 9ee389c1427c79abb3086dfd987991d8}
androidx/gridlayout: {androidx/gridlayout, 11e1d252cf810f8138c315449e089e01}
androidx/annotation: {androidx/annotation, a7d0781bf1026e3f618e9951aaefed1f}
androidx/dynamicanimation: {androidx/dynamicanimation, 8322162f13c66850a84125a4c3986f39}
