androidx/appcompat: {androidx/appcompat, 50684918551c263fe41416c0e11e1ccc}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
com/nineoldandroids/view: {com/nineoldandroids/view, 602185b4c4833499567dd5374dafec21}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, 10872ae102385fa14af735fb3c5d5f0e}
androidx/core: {androidx/core, 157d30827c1ef70a09f6feef1179159c}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
me/relex/circleindicator: {me/relex/circleindicator, 79eceebea55757562d596485e99fa3e0}
androidx/lifecycle: {androidx/lifecycle, aa84ab01f77257482271569226d721f5}
androidx/fragment: {androidx/fragment, 01706282a71b50faed034e1371a70d39}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
androidx/vectordrawable: {androidx/vectordrawable, cdcba2523e329ce38f427cd4d0f3ffce}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], b511437856f486ae3573fb07de5e7460}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
com/otaliastudios/nestedscrollcoordinatorlayout: {com/otaliastudios/nestedscrollcoordinatorlayout, 697c2ce02baee064705617fe536f035d}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
icepick: {icepick, 3fbc18571b23a5589740761076bd28f5}
okhttp3: {okhttp3, 8547398a184d8bb586d5496277f47374}
androidx/coordinatorlayout: {androidx/coordinatorlayout, aaa0a4967523d38072a3e647b19d424f}
androidx/collection: {androidx/collection, 53545eaaf0308eddad921106f5b4eb14}
androidx/transition: {androidx/transition, 5d1b2c675d29974fe1c9661977bb58c6}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
com/bogdwellers/pinchtozoom: {com/bogdwellers/pinchtozoom, b1c088fa1864abd524d3abf3c2b553aa}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
com/livefront/bridge: {com/livefront/bridge, 4f2275459bed36150e920cd057c2b67f}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
com/google/gson: {com/google/gson, 4db7e06efdd890d7eabd7009080f946a}
androidx/drawerlayout: {androidx/drawerlayout, 95657cc3208db16287281d89b7394dfe}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
jp/wasabeef/glide: {jp/wasabeef/glide, c979e6350679a2aa60e7275771d8f663}
com/viewpagerindicator: {com/viewpagerindicator, 78927ea894b6a719f12ffe12c8957f59}
androidx/media: {androidx/media, 3bd539811c31aec46ba5d7c9b23fde14}
com/google/android: {com/google/android, 4b29a4bb17f375aac803b1c47667314f}
org/fox/ttrss: {org/fox/ttrss, 9419a73882f5b578b2465631e19d3a67}
androidx/browser: {androidx/browser, 44efe4f61ef57e7e132dcdb04e8e9552}
androidx/arch/core: {androidx/arch/core, d1a4286d5a6fe94a75d2bbc3402fd693}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, 72f1533af5716640fc1d684c0d11bb9d}
android/support/customtabs: {android/support/customtabs, fd3cb656c50befe10b474f99bcbe8611}
org/jsoup: {org/jsoup, acb5a2b234c57541ce516fd589015d9d}
com/ToxicBakery/viewpager: {com/ToxicBakery/viewpager, dee7dd0fb316ae7e1656fb93c5534b3e}
com/github/javiersantos: {com/github/javiersantos, 9c9a0fea7146bf62d775f084b65ad205}
okhttp3/internal: {okhttp3/internal, 8ac4f2739cdf20c2c2ffadff325cc5ab}
com/bumptech/glide: {com/bumptech/glide, 628f5f68c192b3f67e1f57a2ee36ac92}
androidx/recyclerview: {androidx/recyclerview, c98d48ef80855f4d8e408f357f136b9b}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
androidx/customview: {androidx/customview, 7d9913df13294a4bba97af3f27ef9dd3}
okio: {okio, 16c19c29358dc36bf7906dd0b8ef48f8}
androidx/annotation: {androidx/annotation, 30acee34a8172360df63e7232b20bfca}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], ae80f8789a73c00a7b95bcc15706ff45}
