androidx/appcompat: {androidx/appcompat, 93e16dade10d3d500307102f76efd067}
jdenticon: {jdenticon, a0b6bf67c02137cd6f86514e0fb616a0}
kotlin/internal: {kotlin/internal, 30230b424a08e1f1d9663c1bc8b203c7}
androidx/media3/common: {androidx/media3/common, 456b9a4e7e39613175590e9aff3f4ee9}
androidx/activity: {androidx/activity, ff6e39a48611e32a21d9e65e21c3bcbe}
kotlin/sequences: {kotlin/sequences, 010c16d72df2ee8c0ebfc04aad912d48}
kotlin/annotation: {kotlin/annotation, 690fdb51bfda1c0428b3693887e553d8}
androidx/preference: {androidx/preference, bf820606b60d60ebdde80bdab6275d93}
androidx/media3/datasource: {androidx/media3/datasource, 8c9e4cfa32a1aa797fa848d943c741c3}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 7e1955385cf835bbc3686872ede0658d}
kotlin/math: {kotlin/math, 589bfe4adad427c7af7406920fbb237a}
android/os: {android/os, c4e9eeb25e17c46354752ac4239a9772}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 0aedd85643ab029245e384f7cd2e134f}
com/zhuinden/monarchy: {com/zhuinden/monarchy, b51746f11036639fb6a1143d5e9ece75}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 519ef7e0186d496e5767c97978b461df}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 41659e62c7452b9cf80303d0e6496cc2}
kotlin/random: {kotlin/random, 3e7e238e0a642849d9a60405f2102bf5}
com/nulabinc/zxcvbn: {com/nulabinc/zxcvbn, 68d3361204e726d3c1b2cd9b876c75dd}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 1c2f4100dbe66502c9b51965dfc36a30}
dagger: {dagger, 81af410ccc955b7e3fffd893c8c44c15}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, d76c4ef19e3fd2c6062f76edb0cfdc43}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
io/reactivex/android: {io/reactivex/android, a9dcd6c323a0457953f8c0b52bf15121}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, d2c5d3bcee61692075d56379335ff22d}
com/vanniktech/emoji: {com/vanniktech/emoji, 80f7e37e0e13711851e0e0547e52e3c0}
androidx/browser/browseractions: {androidx/browser/browseractions, c07e38bd8b22be8be09e6963483865b6}
com/google/common: {com/google/common, 402c97e2beeb881e5e4602ca021f807a}
android/media: {android/media, e8d2bc513f3d23f259a9d7d777714e05}
androidx/savedstate: {androidx/savedstate, 0a02a0a5ef6b9ce2516b6a7398feb887}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, b7ff8f12cd5b7f28ddb310ef1b183452}
com/caverock/androidsvg: {com/caverock/androidsvg, 24d89365290af21d9b7c6c46957f0a6b}
kotlinx/coroutines: {kotlinx/coroutines, d7e6ac06cd4774042f2624b0ba610a9e}
androidx/documentfile/provider: {androidx/documentfile/provider, c18700cab17231640fe54d16687ce83e}
androidx/startup: {androidx/startup, ac462790256c5a0b811afd546b92fd3a}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, 599fe8f09064ed5b7808b5ebd633a46d}
androidx/annotation: {androidx/annotation, 6b361095c0a8248cbc2884b9a33bdb99}
io/noties/markwon: {io/noties/markwon, 358d517d3246f2966b5b2901cf4bb236}
androidx/loader/app: {androidx/loader/app, 3811c7ed73c77e13689e88f1de02f7e9}
io/realm: {io/realm, 74f624f67fa36cd99011f768ffe68038}
androidx/room: {androidx/room, 6673b6f903cc87687392294eb2196cdd}
androidx/media3/ui: {androidx/media3/ui, 8c861cf2a8551363bd5521e458e7850f}
androidx/sqlite/db: {androidx/sqlite/db, a5f1ef850785181420fe774aef51b91b}
javax/annotation/meta: {javax/annotation/meta, 4537ee9a85f242abaf6ba570b6149ce4}
androidx/lifecycle: {androidx/lifecycle, c358db418132302b13120571f7c16b5b}
kotlin/enums: {kotlin/enums, 593dff4ff90624fd5dcffb3c681d841a}
androidx/navigation: {androidx/navigation, aec21c8d3866b2903aff8a033870a534}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 934c8c60b16b2d1f443a36ba416ed33b}
kotlin/reflect: {kotlin/reflect, b0b5601d3c12e9756573596d73b1b712}
kotlin/text: {kotlin/text, 2873dc09f4e509dcd08a3d98880c92ca}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
androidx/viewbinding: {androidx/viewbinding, ef696161f3bee993375ea536f05d4e19}
androidx/versionedparcelable: {androidx/versionedparcelable, a98ad60873931c12f6c4e0c73e371e80}
androidx/window/layout: {androidx/window/layout, 10b49bd81220bcbe64e896ab9757ad64}
android/view: {android/view, 4051f7603a40d4c52dbcbec105c0dbf3}
androidx/core: {androidx/core, 489f5d5d4ceb5f33cb29c5b9e3c2d319}
androidx/collection: {androidx/collection, 1bb67fe58271828ad7062cdab8708cef}
androidx/transition: {androidx/transition, 95bc17f8811a5ddce8947dc49c8490e3}
androidx/media3/database: {androidx/media3/database, 60eccd87e965cdc4fe36f09e27e920be}
androidx/media: {androidx/media, f3761afac50ca44c2829a478a210c3b2}
androidx/browser/customtabs: {androidx/browser/customtabs, f4d3c9d93130c06416bf7d228c6e0792}
androidx/viewpager/widget: {androidx/viewpager/widget, 0104fd1b39473027b0b022a7913cd9cc}
com/google/android: {com/google/android, cb7f1d231ea4efbbc8ab856cf075b6bc}
