androidx/appcompat: {androidx/appcompat, 8350650a3d9f4f615e9afa4309eab5bb}
kotlin/collections: {kotlin/collections, e276ebbdbf597bbb76d71e7647136576}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin: {kotlin, 1e5300df6ded525d4f22e6198009bc12}
kotlin/io: {kotlin/io, d023f5658ad3c9b4ca7c39547b23e551}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/room: {androidx/room, 46585d1dd94b0331e345f9267f7d0f45}
androidx/activity: {androidx/activity, 69b3b51d5aa2b73abf96b83d6fd3f68c}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/preference: {androidx/preference, a105627cac6d380a05a1f82e28caf1b3}
androidx/sqlite/db: {androidx/sqlite/db, b5de94778675f013672eed194f121d49}
androidx/lifecycle: {androidx/lifecycle, 1727b47c0672536987541cdab9e8ac2c}
androidx/fragment: {androidx/fragment, 2c861acc1d87775ddf7034fd07ae8397}
androidx/navigation: {androidx/navigation, a06805f2e8a0dfdd81a431a7722f080d}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
androidx/vectordrawable: {androidx/vectordrawable, d30b39f8f6ec06e90a7b948e0c470317}
kotlin/reflect: {kotlin/reflect, ee127e43de77e68afe5e6a6c8818bbde}
kotlin/coroutines: {kotlin/coroutines, b2a43723236223c85375322861f30b13}
kotlin/math: {kotlin/math, 18ba81dcbcf4c855c74d0ec1bf22d90b}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 897736dda5796857485753f22d69e171}
androidx/versionedparcelable: {androidx/versionedparcelable, a952b343d690383f3ee60ba02fa68487}
androidx/coordinatorlayout: {androidx/coordinatorlayout, a4993f562d9a5904937ca552ee607966}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 71074c63be84dd02a9d3abea4ca3cf23}
androidx/collection: {androidx/collection, 6352c880c22a7f7c88f96cb67b36fd45}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 8e59d2e3ac16c4c9bf1582eb1630d70b}
androidx/transition: {androidx/transition, 4ed5118cc52b29bad3ef273e5025fdc2}
kotlin/random: {kotlin/random, 202edc4b134f0b57777770af0298e909}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
kotlin/internal: {kotlin/internal, 3fdce945698d0dac45f33ecf7615520c}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
com/google/gdata: {com/google/gdata, 628244effcbe3fb57ae47e2bb2d9832a}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 88b7cc7356d6fbb96889f553a5b0fa46}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], f7a107be8feaa42f60fc90379d073c36}
com/github/scribejava: {com/github/scribejava, 3abe7f075682ea2ca4cd49550f7e28c4}
androidx/core: {androidx/core, bfcb3ab0bfff8cc66556ed5f7b8e84e7}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 7c40dfa8067d9b63852d2318fb75077e}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
