androidx/appcompat: {androidx/appcompat, 7b88aeeee979c47e1cf9d1dd2cd4c625}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 41ec3386fe3f5e0f886ae3319f5776bb}
androidx/activity: {androidx/activity, 0c75f9e128920914c176d3d839ef8e1c}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 16686dd7c49e8627099a27cb205f3768}
androidx/compose/foundation: {androidx/compose/foundation, 5d836427b9b6d2f7a367ca7176844f25}
androidx/compose/animation: {androidx/compose/animation, 66b7e691e1d08ef93214aa555815f898}
androidx/autofill: {androidx/autofill, cccae6c670ea08f4ba8d4d19ca32d93c}
androidx/compose/runtime: {androidx/compose/runtime, 368cd10a8725346da02347650abd94a5}
androidx/core: {androidx/core, b2b540594c3b215447156c87a6de47e9}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 629fe126eec0d66ee8f14735370c1d65}
androidx/collection: {androidx/collection, b119dad629b1e434ecff301b8c651000}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, a1f45bd98f769ff3cf7a1aa8e1435b98}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 5fe73e3c301d90f89c5b794fa3eeb417}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, ff0594c0c501dcf366f579caa7220e91}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
androidx/drawerlayout: {androidx/drawerlayout, 73459e05781063da65dda8c716b44d0f}
androidx/concurrent/futures: {androidx/concurrent/futures, 47c87048a950bec7c2721d6d8bff5ad1}
androidx/compose/material: {androidx/compose/material, 5c15e6150c60f141dce4bf967f9b0a32}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/documentfile: {androidx/documentfile, 6a0b69ab3f3c5422c09889fea928838c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 167dbc378426f1bc34b7957e63d556e9}
androidx/customview: {androidx/customview, a75d0127a5a84819e23ba7e7704c2fee}
androidx/compose/ui: {androidx/compose/ui, bea13d4ea3b847a2402a161548d76bd6}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
com/google/common: {com/google/common, 2f98f4fd60829d2567feda6a980af495}
