androidx/appcompat: {androidx/appcompat, 97380ef9501fc7881cf9462527bcd742}
coil: {coil, 19d84a22b53dd2ce5a88bb392d138185}
coil/fetch: {coil/fetch, 1aa4efed0af00e160025412972ffc775}
kotlin/internal: {kotlin/internal, 4c6294d12cfeb35c1d4743300f374b5e}
androidx/activity: {androidx/activity, bbad42a8e6b21176de295ece7b11ccbf}
kotlin/sequences: {kotlin/sequences, cb0a8c07467de6594b6da0ae519c597a}
com/tomclaw/cache: {com/tomclaw/cache, 436db3bb84de49cc3a30304fd7d3c754}
androidx/preference: {androidx/preference, 2397df0b7597f6fa44d0d0c198ccf50d}
kotlin/jvm/internal: {kotlin/jvm/internal, 0d4ab3b11881f1e3cfbe1a2dc48f8590}
androidx/constraintlayout/core: {androidx/constraintlayout/core, bf435733d0d55eaeca65b8ff80d0a106}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 2b960c01ff404fc6ae4f16ce7351da03}
kotlin/random: {kotlin/random, 706c29c4df237fbaf664c02b9653110c}
androidx/cardview: {androidx/cardview, 7344f4ef1cef7f3f6f9efedddae8fa5e}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, ea23fb833cec83883a7a358cf7d9d778}
coil/map: {coil/map, c6a476740a3a4b61c1e68dc998d5b725}
org/chromium/support_lib_boundary: {org/chromium/support_lib_boundary, b469bb3a8c4e2c8685cd1774e257dcf2}
com/google/common: {[com/google/android, com/google/common, ], 21ca173b31037c95b471c56aa8137be3}
androidx/hilt/work: {androidx/hilt/work, 160408e3fec4bebaafefcc74f7a59696}
androidx/savedstate: {androidx/savedstate, 89ced9f06503128c81a40c055d813186}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 06d75b949373297b0cdcb956b74db362}
com/caverock/androidsvg: {com/caverock/androidsvg, 5bba87a02574723aad7f96e88ffde97f}
dagger/hilt/android: {dagger/hilt/android, aeb3590c087d4d92be23293249d69db1}
kotlinx/coroutines: {kotlinx/coroutines, 4152a3e5bf73a75d0d43d7df6ff92fc7}
androidx/documentfile/provider: {androidx/documentfile/provider, cd3941eac488dead5ceee190bad1d7c8}
coil/intercept: {coil/intercept, 7648dbc93901d930d8d89c78adf91cfa}
org/acra: {org/acra, 472d735116d0477bd28f244b0b055264}
io/noties/markwon: {io/noties/markwon, 1773c9f9318ce4e77d71db4c4d2b2a53}
androidx/loader/app: {androidx/loader/app, 14f3818e45236189d553ed2bd63ae69d}
coil/drawable: {coil/drawable, 642926b5f15d05b17f467bd6a59f4d43}
androidx/room: {androidx/room, 7585bb54f3ce63d60fa2606176f491f6}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], 6a1e17a93ffd5e2f6ccefdfeb3828b9c}
dagger/hilt/internal: {dagger/hilt/internal, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/sqlite/db: {androidx/sqlite/db, a42d9bc65667cfc687048436e5b9d24a}
androidx/lifecycle: {androidx/lifecycle, 0b9afe5f08a902c56117bc8f6c1ca23e}
kotlin/enums: {kotlin/enums, 8155e88ce250536e1912c0b27f564a69}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0f1bcded4af64f3c251886b68ee87602}
org/conscrypt: {org/conscrypt, f2532460a5af70a9da74b44f052e8853}
kotlin/text: {kotlin/text, 46596650884dc9cd0c026b8c3a9c0163}
androidx/exifinterface/media: {androidx/exifinterface/media, 58447a5fd60793df1688143dd39109c2}
androidx/versionedparcelable: {androidx/versionedparcelable, ec554d069ea4ac711626849a7796171d}
okhttp3: {okhttp3, 4ae89e475ba4dda4a58e634fa3fc8e4f}
androidx/core: {androidx/core, 5ab6fab9ab1847e5cbf82836cd0c6704}
androidx/collection: {androidx/collection, d15042c98e0a054c4f6d0e74d5d519bd}
androidx/transition: {androidx/transition, 2f5795e234f1cba1cf788f2376b740c5}
coil/request: {coil/request, cb77b9ce8ba6bc2e9ddb96143ce0a2c5}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
kotlin/jvm/functions: {kotlin/jvm/functions, 40b355d1a8a50b1a2eb6e130b393cb2e}
