androidx/appcompat: {androidx/appcompat, a2865ab3ce7be872fa2fda7636caab17}
org/xbill/DNS: {org/xbill/DNS, 17d5d4d21b717130eb204b0832ade1be}
kotlin/internal: {kotlin/internal, e9429a921dd887bd02de93b709109394}
androidx/activity: {androidx/activity, 92a0bd8d57249a9c3fd968556b837ed7}
kotlin/sequences: {kotlin/sequences, 7469972025842ac3fa92e167bc562360}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, cb7866949df8ab7089aa836f050908e0}
androidx/preference: {androidx/preference, 2e4c00f91265998e82f00293482ad254}
com/hannesdorfmann/parcelableplease: {com/hannesdorfmann/parcelableplease, 2f98f4fd60829d2567feda6a980af495}
androidx/vectordrawable: {androidx/vectordrawable, 012478c7b862dbda146ade2c6d02de88}
com/google/android: {[com/google/android, com/google/common, ], 2b55ae7b912a3e66696450c1c672639a}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
org/mariotaku/commons: {org/mariotaku/commons, 8fb1cd9e195032299a35ba89a8749ade}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 16ab9d71a9a1df94c2301f0fcc9a2735}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 2e0afd45c7893c3ddc7630908730f1d4}
javax/annotation: {javax/annotation, 1980de4060fac00cb413ef2f0b6db7df}
dagger: {dagger, 768f4790aaac93ef03f577c60f6ffb2d}
androidx/savedstate: {androidx/savedstate, c24d55b6d5f0586c46d6d0ad700bb440}
org/jetbrains/annotations: {org/jetbrains/annotations, 28842d2f2a97e87986b386480c9452f4}
nl/komponents/kovenant: {nl/komponents/kovenant, 8c0fc854d30b7366e77c3810cacf1185}
com/getkeepsafe/taptargetview: {com/getkeepsafe/taptargetview, 32b94d037866e5e8398b44fbe8bf7041}
androidx/browser: {androidx/browser, a1ae73a451a47878e7fb0a309f2d9191}
androidx/palette: {androidx/palette, f425cdb5ffca6a3dff7e754e887e53f0}
org/mariotaku/abstask: {org/mariotaku/abstask, 7b8f1294102a1963ca279770dc1c5bc0}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a07e4fe09a44c091dd6feb6fe62e097a}
kotlinx/coroutines: {kotlinx/coroutines, 2546e425f11c57b969fe28fcf8d207ce}
androidx/annotation: {androidx/annotation, c6bd4e2ad03a92d25574f8a35cae12b2}
org/acra: {org/acra, d4652ba0bd2300df5b54866f4953ab29}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
com/twitter/twittertext: {com/twitter/twittertext, fc846624ed6e0061b216c685555e278e}
androidx/lifecycle: {androidx/lifecycle, 16b16db59ffbee48e67565ed3985b24f}
kotlin/reflect: {kotlin/reflect, 9e0ecfde447a705bc50d3d9fb7609540}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
