androidx/appcompat: {androidx/appcompat, 1a73ae17b5021faf4065d0b3956940f1}
kotlin/collections: {kotlin/collections, aa5ceb7db3095552eacc2843fc912c30}
kotlin: {kotlin, ed8cbd31b42cbf807b34d67dfa696b14}
kotlin/io: {kotlin/io, cabce75ce32187985711071351e2b725}
androidx/media3/container: {androidx/media3/container, 41ffd43205a7601d4a9fcdd44c6bb0d0}
androidx/room: {androidx/room, 2b8243c60dd050eabde5dbbdfde496ea}
androidx/media3/common: {androidx/media3/common, 5ce6133caa35e7e5c068b480315efb92}
androidx/activity: {androidx/activity, 5b5c9d0948dfeaa8234271563ed1a899}
androidx/profileinstaller: {androidx/profileinstaller, a19d842862497e0612aa7925751ab577}
androidx/customview/widget: {androidx/customview/widget, 32308b8bbfd59407ed95dd6b70fd7de4}
androidx/core: {androidx/core, ecb8c8f47b0b98cea1cf60705396e34e}
androidx/preference: {androidx/preference, d2b3dc36fbb0b79e4739bdc7a4a0d504}
androidx/sqlite/db: {androidx/sqlite/db, 24d4bdabcd6f20cebe7bb0c9b891ac23}
androidx/lifecycle: {androidx/lifecycle, 89d2be702a7eb8d23579a446f4de072b}
androidx/fragment: {androidx/fragment, 88419708d87b9673af6172e41b22cd47}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, a19d9ec08c3259b4fb53b2e83a6ea68d}
androidx/media3/extractor: {androidx/media3/extractor, 997251d35f7d661792f953529535cf48}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/navigation: {androidx/navigation, a89c83f8172b08a436a7573123f2c9d3}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0d30aed0808bf1f6a3eb38a1580a2572}
androidx/media3/session: {androidx/media3/session, d5e83f7e6a9e357bd0ff34dedf374ae6}
androidx/media3/exoplayer: {androidx/media3/exoplayer, 2e4e7b0ee3bec2caabf3221629f54405}
kotlin/reflect: {kotlin/reflect, 12826d89fc85a4b06f0d49b76c7f0490}
kotlin/coroutines: {kotlin/coroutines, bf891103d57c1228a1634c03ab061b40}
kotlin/math: {kotlin/math, 92da429fbcb3c0ffa4445089a0c5767d}
kotlin/text: {kotlin/text, 0cc14f07c39617887113549ccd9f6e9d}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, 4e605f734343b59cce2b1e078611bb33}
com/drakeet/multitype: {com/drakeet/multitype, cecd4796892f2a3f2993056b5cb5cc48}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 3fecd6c7b686054e4f2cac1317abff05}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e36ce528955e303aea8632511205a52f}
androidx/collection: {androidx/collection, 956e92b9c9f9889fd386faf9f92a3e66}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/sqlite/util: {androidx/sqlite/util, 3d28342940cce4d8f48a3d5c90deded9}
androidx/transition: {androidx/transition, 61d8bca9eb2b4b6b0ab56a3937317729}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
kotlin/internal: {kotlin/internal, 0d8052e1559643d873ca1ecc1d8fdca7}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 3d0c2193c1596fb53abe735aac6a37d4}
androidx/car/app: {androidx/car/app, 15fadb0b5a89afabc56d067f3bdad3ab}
androidx/multidex: {androidx/multidex, 9a6ab1e1e7690070b432d9ee6824e554}
androidx/cardview: {androidx/cardview, bfcbfbce4b75fde02712fb80dfb33403}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], 210978af3010aa0b6d5c996744c7940d}
androidx/drawerlayout: {androidx/drawerlayout, 1df3940e69a78096620a346193bfb504}
androidx/arch/core: {androidx/arch/core, 88bce624f7d68c581dc6810c5d449a09}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 2814e0a103bcb56c25ed902e0fb71602}
androidx/media: {androidx/media, be521f99d6adb9c31795e246776c7f66}
com/skydoves/colorpickerview: {com/skydoves/colorpickerview, b6be55927335e440ce63bb87da5b3e05}
