androidx/appcompat: {androidx/appcompat, 9c98c0beac97f9567925705033dfc7e5}
kotlin/collections: {kotlin/collections, c7c85d031972b8a1b76ac27816bfc786}
kotlin/jvm/functions: {kotlin/jvm/functions, 99bc1326bc2722e74f394811d7d87c3e}
kotlin: {kotlin, 57de260cc66f16c25ebf4d7aba10e4ae}
kotlin/io: {kotlin/io, 67e6a3d91be2c9411ef55b932e654d24}
kotlin/internal: {kotlin/internal, e74e6b2edcb59836464211cad396a7e0}
com/google: {com/google, 183f5a31384b597670b634c549e14f44}
androidx/activity: {androidx/activity, d4546b6bd6cc72ba20b3e240f5733473}
androidx/profileinstaller: {androidx/profileinstaller, 8d9c7e9b4cc38d21163c48fa558eb804}
androidx/core: {androidx/core, 29371f4f2804c87b2e5cacf4766ec7b6}
kotlin/jvm/internal: {kotlin/jvm/internal, 57e73106a4877b6c4b5e4106d5b5f796}
androidx/customview/widget: {androidx/customview/widget, da88390e55179c762aaa581be94fb603}
androidx/lifecycle: {androidx/lifecycle, 716ad809d5679d611bcff85665a86ac8}
androidx/fragment: {androidx/fragment, f8b1f9709aea4b845bceda154d4d493c}
androidx/emoji2/text: {androidx/emoji2/text, 4bd086becd2f7128539ce5572e2f2757}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 7601dac05fc07efde60e2f2f29eaa607}
androidx/navigation: {androidx/navigation, 581a88e936690467b84f50e265885765}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 7cd9370a2c2fc28a23f33edfc3242699}
androidx/security/crypto: {androidx/security/crypto, 2a1e90fb0b8f1be735aa364fbf2b8045}
kotlin/reflect: {kotlin/reflect, 916c968a828e0bd8bc818e4c5611e4f7}
kotlinx/serialization: {kotlinx/serialization, 0f95fd657eaf795b0059ae20280e0fea}
kotlin/text: {kotlin/text, 3244b1632648ba4c62fccd1a37887b93}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
androidx/exifinterface/media: {androidx/exifinterface/media, 9c926b7a0a2f16201cfc51f05445f200}
androidx/versionedparcelable: {androidx/versionedparcelable, 3eacbda336af40b0663875b2f766ace6}
com/facebook/shimmer: {com/facebook/shimmer, 971ac3bea40c5ae129c221fa44341a09}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e4608183ba073b9507f836afa4819131}
androidx/collection: {androidx/collection, 9880b95799285d22ad68f51fdbdcbb22}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 279741ffa41fe922c051f1e0b1eb0cc5}
androidx/transition: {androidx/transition, 90b2d617d4353591f4bbbf1237ec235a}
kotlin/random: {kotlin/random, 83cff6074b524be185e0c64912c701ae}
androidx/interpolator/view: {androidx/interpolator/view, 5ecd05c851231d6c149245d383f9310e}
androidx/cardview: {androidx/cardview, a92e6bafa0a1b2bdedf496cd8a25b488}
org/mosad/teapod: {org/mosad/teapod, 2afc6d8815ac5b71066fa5e5ea687db5}
jp/wasabeef/glide: {jp/wasabeef/glide, f2abcbf2c4265e0ec90c409229ca248c}
org/slf4j: {org/slf4j, eca4b504410d78da91e8f4a905083bfc}
androidx/media: {androidx/media, a644efe91a672524fc4c73c522cf29d3}
kotlin/coroutines: {kotlin/coroutines, ada52be10cf083c82e723ce6205a6e72}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
io/ktor: {io/ktor, 07c17069c3360c79e40a517e1f84b3df}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 98eb73c2f8c7a20f12b0dd8680d33a4d}
kotlin/sequences: {kotlin/sequences, 50d1f2af2a583ad259c330bdc8f13437}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
androidx/arch/core: {androidx/arch/core, 72d65c50bffd9efdd3ce71a055d127a4}
android/media: {android/media, e079f4fb8febf5b63effbb6583d13a90}
kotlin/time: {kotlin/time, 9fcad0aba2fcb95e16d79beeed0f4711}
_COROUTINE: {_COROUTINE, a31ae4c51fd1d329560d5b4617ad0940}
kotlin/properties: {kotlin/properties, bcbdcb9e26db0dee7e375a8e59a6aa1c}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, b9a066dfebe4046e90b097117f04a54f}
kotlin/ranges: {kotlin/ranges, a381cb7cbdae0cdc2f1e15fe2a7729fa}
androidx/viewpager2: {androidx/viewpager2, fda01055fc3ab6ee59057a2071b09f0b}
androidx/savedstate: {androidx/savedstate, 45cd25789725ed6f473be4b75d37a6b8}
androidx/customview/view: {androidx/customview/view, d6f75e8041c2e0d7ea59bc3abe2a4eb1}
com/bumptech/glide: {com/bumptech/glide, fac659139820a82db49a7ec4beee5372}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 91c066c35bf1c0714855a017a82dc9e5}
kotlinx/coroutines: {kotlinx/coroutines, e1a241b065519b10913df9d9b86854e7}
androidx/tracing: {androidx/tracing, f9107d513846292009ec3ed0db6d3bcc}
androidx/startup: {androidx/startup, c8dd899aaf241bd16f4d7c4f77d174b2}
androidx/concurrent/futures: {androidx/concurrent/futures, 30e3aa8391bf6e7916cd9cc82804f4e4}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 855fdde87d014e6e18177508d0daaaf7}
androidx/recyclerview: {androidx/recyclerview, 29fe1b92546a74d506c4dc51dfc029e7}
androidx/loader/app: {androidx/loader/app, 118f78e0443e2f23ec63a82bddead60b}
