androidx/appcompat: {androidx/appcompat, d24a431e884321dd00f9495c290c458f}
kotlin/collections: {kotlin/collections, b786fc3bca9bfb58e4b7b0214ddab001}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
kotlin: {kotlin, c905663c4df45e33f823f3b0092f53f8}
kotlin/io: {kotlin/io, 4199a8bf6859cc86184ee8fd097b3b2b}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, a3c02e208267fb131c21c7463a4703ca}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, ed5851085a63211a83903bf0943df0ff}
kotlin/contracts: {kotlin/contracts, 83302d3c681d6bfbab5413f5a34e02e9}
androidx/profileinstaller: {androidx/profileinstaller, f3fa7a3cb3a0c827ddac10bc383845d8}
androidx/core: {androidx/core, 040959d3dd635210dea699ffe661bf7f}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, a349ce107b7b595201886cfd19df76d5}
androidx/preference: {androidx/preference, 55f4f35bade9ab6ae9fdb94df689faee}
androidx/sqlite/db: {androidx/sqlite/db, a9d124ea6b713d70f383a4197fc69cc1}
androidx/lifecycle: {androidx/lifecycle, eb2d02c8f95e5e039054824b872eefbc}
androidx/fragment: {androidx/fragment, f41183b7801a501f6a294c3a3429d556}
com/github/mikephil: {com/github/mikephil, 0e2821cbc7d0d7fe40e64c6665a0ae24}
kotlin/enums: {kotlin/enums, e8b71a8f70199176e3ae15afadeec0fb}
androidx/loader: {androidx/loader, 04d91a30007e6ad9d1b6a81bf4e6bf5d}
androidx/vectordrawable: {androidx/vectordrawable, 912031bc2b6c94802587504a882ffa11}
androidx/recyclerview: {androidx/recyclerview, dcf56d1cb72a0ef5fd83fca745e990d7}
androidx/viewpager: {androidx/viewpager, f1c2208c2bf41c13d809af16cd457e7e}
kotlin/coroutines: {kotlin/coroutines, 3373727032bf277e32a0dcb4425d32ec}
com/google/android: {com/google/android, ae4a9075f96a426657c36b44f3e866ed}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 1471491a59f2af3cc21701e791fbabd3}
androidx/constraintlayout/core: {androidx/constraintlayout/core, f515df2b169db6b062683f0ab40ca3c4}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 826eb4396fdd5b08dfb1ea3d6242cc2d}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 38493c7c1e28e4f84b05285a4ca3a2ba}
androidx/collection: {androidx/collection, ff21dc587119c682728f5ea0a07f7184}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 713093c09aef9e7f8351fed22582db05}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, fa06d70d10db703278d26ed00c346cf1}
de/k3b/geo: {de/k3b/geo, 304bac206c6783283ec5b5cdcdabd013}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
kotlin/internal: {kotlin/internal, c4617393cbd140fb0525be084e1d4c7b}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
javax/annotation: {javax/annotation, 53d0cf1e663261087e057f9ce5ae8ab7}
androidx/slidingpanelayout: {androidx/slidingpanelayout, b282431fb7e7d2d323dd8625c8817131}
androidx/cardview: {androidx/cardview, 7b1821b8a0bd47873e961bc80ec4efd5}
com/google/gson: {com/google/gson, b2f78164e723c7474431df807f79ed40}
androidx/drawerlayout: {androidx/drawerlayout, d4acad24cf36aa1489e08b004b25cbbe}
junit/extensions: {junit/extensions, 66d66bb088a8550b606b4eb72ede0ea5}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 9f74eb243ad6a00bbb3cbc4be0a0e63c}
io/ticofab/androidgpxparser: {io/ticofab/androidgpxparser, 69323785564c401170674b0684f4a4b6}
de/k3b/util: {de/k3b/util, d4c8fbcb3972bb2169b3d4f316cc7a35}
androidx/emoji2: {androidx/emoji2, 0a2374c83f667709f8549a106484f59d}
junit/textui: {junit/textui, da675471ed79af9bf0dd90eaa0d20c9b}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
junit/framework: {junit/framework, 862f030179ea2ee7532de88a45edaaea}
kotlin/concurrent: {kotlin/concurrent, 8fe51e1e1c252bb3f3c91cb42839a784}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
