androidx/appcompat: {androidx/appcompat, d8c2d0de1bcffa973038152519bcac10}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin/internal: {kotlin/internal, ead1f2c04a9cba02e78e58ec9dc6e3a9}
androidx/activity: {androidx/activity, 7b677387af5aa12cb50e1ab796a9bfa6}
kotlin/sequences: {kotlin/sequences, b58c4c3c9bc321dad9358dd989732cf7}
kotlin/annotation: {kotlin/annotation, 5ceefce2e30f15116573e0539c5d1608}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 1241f2ef8850d310175afb6edf9ee38b}
com/leinardi/android: {com/leinardi/android, be7d63768f091d3a810bae4364c79846}
androidx/vectordrawable: {androidx/vectordrawable, f76b534271225d793d04c64d4ba36986}
kotlin/math: {kotlin/math, 83215c15224e8e01aa76e9c57755162e}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
kotlin/random: {kotlin/random, d31e56b9469be584358abbcb88e07666}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 94e02046a9d4f583d88efa4dbf1308c2}
javax/annotation: {javax/annotation, e13652883e99a4716009b7d9edd01866}
dagger: {dagger, bc04a574cbc4e1c64396b71a55410ddd}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
org/checkerframework/dataflow: {org/checkerframework/dataflow, 048a93cb83b2581676416cd7a53eca91}
kotlin/text: {kotlin/text, d8d42b72acee73720d84a98f098b5a38}
com/google/common: {com/google/common, a59dd36c871aee72bbe41cb424de5178}
androidx/legacy/content: {androidx/legacy/content, 0ee9413779ad1b96d7760df1607acbc4}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
okhttp3/internal: {okhttp3/internal, 92219f1b029db68ab851041f105cdff2}
androidx/annotation: {androidx/annotation, 03026da0e2771c977cbee982ba378816}
org/acra: {org/acra, 0d3e0f7eb79e0a44ea6a189f3db061c2}
androidx/databinding: {androidx/databinding, d753130e270563b7c248e5b1c3659e21}
com/github/jorgecastilloprz: {com/github/jorgecastilloprz, 6680de0728b1089fddcce8d41cc08d18}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/ws, ], 871fe17b7fcbd0d8974fd1845f77c661}
androidx/lifecycle: {androidx/lifecycle, 0ce1afb0fe6fb6fff7e65bce43ce82e7}
kotlin/reflect: {kotlin/reflect, 0ad794a17dcd70bb4869ff65c14a7c05}
java/util: {java/util, ac1bc8fead8f6fe8c0501c2059472a6f}
androidx/legacy/app: {androidx/legacy/app, 8836705ac67ef741f1d4e9bbf067fec4}
androidx/versionedparcelable: {androidx/versionedparcelable, ad9a50ac883d949995918d621e5b4058}
okhttp3: {okhttp3, 5f29986df12313591c50c7084892c0d0}
androidx/core: {androidx/core, 9fd9cb4b414d9669befa1df2ea7095de}
androidx/collection: {androidx/collection, 6f1cac74c4f31ab55e496fcd5cf72c03}
androidx/transition: {androidx/transition, 84d49a4e1e2c06c2ce6702ce3aa21aaa}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 6b45442ac8cdc99436a1292fdc3fcce3}
androidx/cursoradapter: {androidx/cursoradapter, 5256c2d3bbecbec03155f21ce61e7e4c}
androidx/multidex: {androidx/multidex, 761f8a784c3fe1a49eb856cac30d224c}
androidx/legacy/widget: {androidx/legacy/widget, 1b10b630de1a831927ad2fcda0ca1158}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
com/google/android: {com/google/android, e3fee99aeb10f262323372e0192d4baf}
androidx/documentfile: {androidx/documentfile, 8209e2503cb1f5bf1c7b9c6bf5b33915}
org/apache/commons: {org/apache/commons, a6b74329284db00db27606bbbdcb099f}
com/tingyik90/snackprogressbar: {com/tingyik90/snackprogressbar, 6a2f37e00115abf8206b4751a929092b}
androidx/recyclerview: {androidx/recyclerview, ad2ca31118a2bb97b566cebd7b6e17cf}
kotlin/comparisons: {kotlin/comparisons, 51c22f629d3992bbcfe3a5e804646dc5}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 93af94071c84598875f99c2b4e968038}
kotlin/jvm: {kotlin/jvm, 46ce4b368d5a53bd43ba042c56ee3c18}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 427afd578e2a3c71944374097aa5aab4}
kotlin/io: {kotlin/io, 04a74960f9370789de1ad95e82804f18}
com/google/errorprone: {com/google/errorprone, 941139648b22632eff9085afea83278d}
androidx/loader: {androidx/loader, 36f41872bd85ce12d537103b8e6efc81}
org/checkerframework/framework: {org/checkerframework/framework, d6beb037a5b4a6968e5251e997ca2103}
androidx/interpolator: {androidx/interpolator, 0fe191d1451d04af1e8482845e27e77e}
org/checkerframework/common: {org/checkerframework/common, e71000d54cefdb8d3afc66255b56ee17}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 4090ee9cd368e798274b3adeb82de4d1}
dagger/android: {dagger/android, 230c14e91c978f503abd29a241a305d3}
com/google/j2objc: {com/google/j2objc, 4279579336c974719060eeb17050c2dd}
dagger/internal: {dagger/internal, 3b177e64eeccb6568da3836069b0fe15}
androidx/slidingpanelayout: {androidx/slidingpanelayout, b46c2d259f826cd0a3aeaa89b8aa2192}
androidx/drawerlayout: {androidx/drawerlayout, 622bcdbf7e044eec246972609bc1f270}
