androidx/appcompat: {androidx/appcompat, 59971a0fc6d4e4eb84cd0bc37c17c9fe}
androidx/camera/view: {androidx/camera/view, ddc453268e1d0ed97872f2607e869e9b}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
androidx/media2/session: {androidx/media2/session, 5cc3f5950ccef561864280cc360dea71}
kotlin/internal: {kotlin/internal, b3274bad1374c0a9bd7633983c997275}
androidx/activity: {androidx/activity, 719cb9a74612d9c7593eafa862af4258}
kotlin/sequences: {kotlin/sequences, 4177fd3f686ddeeedef7af4a4866cc9f}
androidx/preference: {androidx/preference, 7d387b81f69ed233c074e80854b130eb}
timber/log: {timber/log, 0ddbab0287e59f60178580900fb4494f}
kotlin/jvm/internal: {kotlin/jvm/internal, 2f6a8cb0d6d694d01ab1ed4df11950f8}
com/google/android: {[com/google/android, com/google/gson, ], f4c24dc69c7f70807fa03bd3b1083018}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 9c51ce12f576fafd64c984e019e2b1b9}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 89a7ba555d84c09821ba196a82a00d20}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 020decd9b61a7fbf3eb4adc5d14f1f78}
kotlin/random: {kotlin/random, 7e883695c0a5b45a333f5392dc5d1604}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/cardview: {androidx/cardview, c1bc9bfe9d028c551fecdb437fb17c30}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 6e7968e3691e9b9d87f5879e7a6323eb}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 05a3fe62e71c020cdce5b71f6e057c19}
androidx/media2/widget: {androidx/media2/widget, 3265f2ebdd98098bbb65f47f22715539}
com/arthenica/ffmpegkit: {com/arthenica/ffmpegkit, 551dfbc94597b143676c18ada438c68d}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/palette/graphics: {androidx/palette/graphics, 4c54cb3cd8514f1d6b8860c2ab6365cc}
androidx/savedstate: {androidx/savedstate, 5a07d403a8229c54fed9dcf1dbec5f34}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 4ee50859c2193cbaf8cfad987115d404}
dagger/hilt/android: {dagger/hilt/android, 05eaa77dd3b94378eae659d13457400f}
androidx/camera/lifecycle: {androidx/camera/lifecycle, 73ffc1c778667fe53bcfa31eeb659e2d}
kotlinx/coroutines: {kotlinx/coroutines, 6ee7519f2bc3a754022a22523559edbe}
