androidx/appcompat: {androidx/appcompat, 3e33d46b3e14dbfc4763d8858574887d}
kotlin/collections: {kotlin/collections, 13abb72bfc590afd0da011dc8d6dc67d}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin: {kotlin, 1d0c0d44bbb2c5a74289d0f3061fea9d}
kotlin/io: {kotlin/io, 766d2c5b59f3fb525f81fe4962ec48e4}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 67ea3d5f37dcf480ee0a0cba1406b630}
androidx/activity: {androidx/activity, 1c95594d2dd45c3e50e547a8b785aa86}
kotlin/contracts: {kotlin/contracts, 713173a8325aa1bfa39464429d6f3e25}
kotlin/sequences: {kotlin/sequences, 85d9a6828704bd9e9126f3a5eb4323a5}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/preference: {androidx/preference, 657529b9f229332041bb85e5483cfa52}
androidx/sqlite/db: {androidx/sqlite/db, 8631138b296cceb7e14c9ae9ccc66315}
androidx/lifecycle: {androidx/lifecycle, 0e7a6a32c7a9b61d33c72ab47b025525}
androidx/fragment: {androidx/fragment, d8e40bb7879795ea2ee29777689b7e5e}
com/yuyh/jsonviewer: {com/yuyh/jsonviewer, af41cbd382ee486d15ca648dd774a3e5}
androidx/concurrent/futures: {androidx/concurrent/futures, 8afe55dca710b16c318820a7052872d6}
androidx/loader: {androidx/loader, fde4ed2a5810b8d4f79983b9b01647b8}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/vectordrawable: {androidx/vectordrawable, 0e3abd5a284f315390b43dd72ee05df6}
androidx/recyclerview: {androidx/recyclerview, d75e0ae0b2bc4fc68f166607b92768f2}
androidx/viewpager: {androidx/viewpager, 7c40dfa8067d9b63852d2318fb75077e}
kotlin/reflect: {kotlin/reflect, 78db7eb6172561453bae2dd6dcd3ec48}
kotlin/coroutines: {kotlin/coroutines, e36bba8130725c459fa7858d74b24e10}
kotlin/math: {kotlin/math, 2c114c2e89740acc0227db7675a621db}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 76f247b7e611919b32398f74ff37e1bc}
androidx/constraintlayout/core: {androidx/constraintlayout/core, be4701b123a4fd3ebf9e2c58de258615}
androidx/core: {androidx/core, 39204d4683a5d6d3f7add513ba38e6e2}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b7709eb519ac970724449bb63c71177a}
androidx/collection: {androidx/collection, 6352c880c22a7f7c88f96cb67b36fd45}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b94a8a1bb313b7e779c92fb8abfd2c0}
androidx/transition: {androidx/transition, e22ff4e1015173e716b9d3315ee1a5b5}
kotlin/random: {kotlin/random, 7e13f5acd96368d5ab03b5158adea51f}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
kotlin/internal: {kotlin/internal, 725f5b87a702fc88022a343ffbd08308}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
com/bumptech/glide: {com/bumptech/glide, 5dc2b692021f78c9a3813f4e1a9a4407}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8d489b208fc8e0b0e19dadc7605b6f2e}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
com/google/gson: {com/google/gson, 72c7cf18ac369ee36c59422a5a7c1819}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, 3660a51e6b14b3665a505365a0184576}
kotlinx/coroutines: {kotlinx/coroutines, ef3017aa0d6e04c38914c7c40175df22}
androidx/exifinterface: {androidx/exifinterface, b03f7069ba73df44d6d09f4dfa8fee1f}
androidx/emoji2: {androidx/emoji2, 9186f26b74af0e043f9654e70bb03196}
com/google/android: {com/google/android, 1eb047730b301546e67a24491d8fa83f}
androidx/work: {androidx/work, 6f3bccec79a83df7a18d2368836440cd}
kotlin/concurrent: {kotlin/concurrent, 99ba8644906ccfda6477d1c9eb73a56b}
kotlin/jdk7: {kotlin/jdk7, 83767bb79fa0044ca1efb24a1496ff37}
kotlin/text: {kotlin/text, 3106b138308b3f78c2ebd1d855a44704}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 28f80e5f9bcef59dc84a4552f40c60f6}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/time: {kotlin/time, cb5e65b66791b4b5d0ec80cb8256bd22}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/properties: {kotlin/properties, fad51e28e802ed85818896060e4bded4}
androidx/viewpager2: {androidx/viewpager2, 68c53b8f6fdb57d7d39fc351d6940075}
