androidx/appcompat: {androidx/appcompat, 6ff0b9b547b5968319b592b1131d70ff}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin/internal: {kotlin/internal, 89325885b847b2e87b281ffba5685d9d}
androidx/activity: {androidx/activity, c5a50533cdcf4abd63008f5c757725c1}
kotlin/sequences: {kotlin/sequences, 0d4432bad1450e7c26830e35cc1ed4f7}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/vectordrawable: {androidx/vectordrawable, 0e3abd5a284f315390b43dd72ee05df6}
com/jakewharton/picasso: {com/jakewharton/picasso, 8fe2c2c0cd2dcf3c52cb384a3fa0659e}
kotlin/math: {kotlin/math, 2c114c2e89740acc0227db7675a621db}
androidx/constraintlayout/core: {androidx/constraintlayout/core, be4701b123a4fd3ebf9e2c58de258615}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b94a8a1bb313b7e779c92fb8abfd2c0}
androidx/transition: {androidx/transition, 2f3428d1d619071b502fd4a223bf3f95}
kotlin/random: {kotlin/random, 977ef8214026ec521d30ad340509bb8b}
kotlin/streams/jdk8: {kotlin/streams/jdk8, cfc6903569ed97112fde3772985cb7b4}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, ae42c0e94230d726fc8ecff259a4ba00}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 0f7827d65afeed093cf5077ff8c07b56}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d6f8e5f8432a2a26ae44e449065580a7}
kotlinx/coroutines: {kotlinx/coroutines, 1acedac854fd1caa0b94c07e6b09dc5b}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/room: {androidx/room, 10a4c97257dd57f101ca6c312c17dbae}
androidx/sqlite/db: {androidx/sqlite/db, 8631138b296cceb7e14c9ae9ccc66315}
androidx/lifecycle: {androidx/lifecycle, e4e883929abd8fdcd1c02404b3c67baf}
