androidx/appcompat: {androidx/appcompat, 81ab425cf0fd71b322b7e848d59cdea3}
com/esotericsoftware/kryo: {com/esotericsoftware/kryo, 79074c5b064167d41eb895709464d383}
coil: {coil, a9600dfd83869bfae80bfac34db0ecf4}
coil/fetch: {coil/fetch, 04c00c92ed05fd7e9ab67fe3a66613b0}
kotlin/internal: {kotlin/internal, e5c2463655212211d0b19cc897c6ca62}
androidx/activity: {androidx/activity, af03093204cbffc3ebad0c41e0fcde3c}
kotlin/sequences: {kotlin/sequences, 08792a38146a009162fc254aec85f366}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
androidx/preference: {androidx/preference, f7a666e222e1c8381fd7490bca642619}
timber/log: {timber/log, bb9860dd7bec9721f3480195ee428b1c}
androidx/vectordrawable: {androidx/vectordrawable, 62a40362fb1b0efbb8d0d7011b6754a4}
coil/collection: {coil/collection, 29f041f3ff1e7ec75f53bd1643659fa3}
androidx/collection: {androidx/collection, efdee41edb92d90ce592cf9bff8e5f50}
com/google/android: {com/google/android, 724e85bb5fb3efef7b55869d7ff55f0a}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
org/objenesis/instantiator: {org/objenesis/instantiator, d362fe015283cf00c86db67c1f9e0d61}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 8af621aa468644e061cc56e7afa5b10d}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 97671e077e593754fb04dfa9f4f56abf}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 2938456c3959a7250a7df564eed1723d}
kotlin/random: {kotlin/random, 4192bddd2b3d25b583a99d876e6f2514}
javax/annotation: {javax/annotation, 1980de4060fac00cb413ef2f0b6db7df}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
coil/map: {coil/map, ff428e365b671ce17ffbbb27a153d3d6}
org/jetbrains/annotations: {org/jetbrains/annotations, bc63f583cf07e2650b5373e01ec38c6f}
androidx/emoji2: {androidx/emoji2, 45b78b489d4b7de4e75ce86674ee5e70}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/esotericsoftware/minlog: {com/esotericsoftware/minlog, 111ac0d30f712db3e02ed000a71f5d73}
androidx/savedstate: {androidx/savedstate, 8a8898fabd619eda1b1bef1c680f17ac}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 7ed8ae9e375e5be1721fdebe6e18c960}
com/esotericsoftware/reflectasm: {com/esotericsoftware/reflectasm, 4dd1967ff629cb6e1b9cec215fc3635b}
kotlinx/coroutines: {kotlinx/coroutines, 021b87280f6e875b46dcd13e2a4c172f}
androidx/startup: {androidx/startup, 914797f3e24a11526a9bd3440847489e}
coil/intercept: {coil/intercept, 0d05a45e9d5f8e8108442758856aa9b3}
androidx/window: {androidx/window, 364d7458c5291b0dfb82e01436453ec2}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
org/acra: {org/acra, e72ee8e06a53b93060df6fcaad0b557d}
coil/drawable: {coil/drawable, 2246fe61050375700fc712914fc4e05a}
androidx/room: {androidx/room, 4f5ad4d0e1a3ef328a9b30b08fb0c142}
androidx/sqlite/db: {androidx/sqlite/db, 041cfa5d55606f2946e58ee424047234}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
