androidx/appcompat: {androidx/appcompat, f10ee11fe1114b7ae234821f18b88ec4}
kotlin/internal: {kotlin/internal, 18b441ff712de5c8cc044d3910b7b316}
androidx/activity: {androidx/activity, 6b0bc3910b18e87ad8e8426e959087c9}
kotlin/sequences: {kotlin/sequences, 1fff8e6f7cb8b6d54fbadd24d4ce00ae}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 6982024916272ed97557cb171e8de295}
androidx/preference: {androidx/preference, 589883fd6e4a2004b5bf5f0cdcf55ea2}
kotlinx/serialization: {kotlinx/serialization, 271a7ee75c48505dd2898034e83dae0a}
kotlin/math: {kotlin/math, b57914108c89c895c47d87ef4c237be5}
leakcanary/internal: {leakcanary/internal, b42fa28523cf68af6254d89f2b55b566}
androidx/constraintlayout/core: {androidx/constraintlayout/core, bf63a9624496c4b7a69f8e5d5554fbdd}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 83fc878a19947d098e543601bae20dcd}
kotlin/random: {kotlin/random, f66ebf6f16afde9220923d86d2f949bd}
androidx/cardview: {androidx/cardview, 9df96c65b2beaa0ab75e3c15bd56b274}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 63379c9b4047d33879d4173d3905dff7}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 4be0fe1a725b024fb21583cd7fa42f52}
com/jakewharton/retrofit2: {com/jakewharton/retrofit2, a2442c2dd525cfe7c515be7651b050c2}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/palette/graphics: {androidx/palette/graphics, f960ab362bf982afbde493f0b4b088cd}
androidx/savedstate: {androidx/savedstate, d8b27bc2e82afc19b7065d9e8472af78}
de/mrapp/android: {[de/mrapp/android, de/mrapp/util, ], 0e3e2be385f6efe690ae58f587b45daf}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 00967b4cc69e5fb8369cf6841d310761}
okhttp3/internal: {okhttp3/internal, 4e70f92876d0bcbf2a53c34d73970bc4}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], ef97997883ba0b0ec8e85e456c866e69}
androidx/loader/app: {androidx/loader/app, c69447cb4524b5424dd28571b36f868e}
androidx/room: {androidx/room, 0834acb3db3ecd8fbe2358566f8b7187}
androidx/sqlite/db: {androidx/sqlite/db, f26944d2021f95370d46e6025797860e}
androidx/lifecycle: {androidx/lifecycle, 4a7790ea60d1ee870263441d636ea8c7}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 818cf5157b747375228f6687c23112b3}
kotlin/reflect: {kotlin/reflect, 31440aa0947b1ca3c45d7bc646e93045}
kotlin/text: {kotlin/text, 6d82b9a7db139fcc3b2c84ab4ed1e3b9}
androidx/exifinterface/media: {androidx/exifinterface/media, 93f9c8564235ed88da727bad064db45f}
androidx/versionedparcelable: {androidx/versionedparcelable, 7634c5dad21d72f3ff5166032ae79ba9}
okhttp3: {okhttp3, a2e32aec97ef695d81d89529cfa10a97}
androidx/core: {androidx/core, e287b2323c169480c9e5aa0269ea0aee}
androidx/collection: {androidx/collection, 63a06c4e30148fd729f51f0c48d6e0a2}
curtains: {curtains, 5e3e835946bfb3ea670903d34fdd5a34}
androidx/transition: {androidx/transition, 8c7631931358eea46df86f95d391cd51}
androidx/media: {androidx/media, 123cc3b29ea7081c6ac146c283910b35}
androidx/browser/customtabs: {androidx/browser/customtabs, 4c5f320ec53fe784643dc1ae734d42e4}
androidx/viewpager/widget: {androidx/viewpager/widget, 79d2a5c6b4e9c25804c5d9b34597665c}
com/google/android: {com/google/android, fc6a86ec16c4952d258d7b183d825a36}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
com/skydoves/balloon: {com/skydoves/balloon, ab4288ca4234ce37645efdf449bc3e45}
androidx/viewpager2: {androidx/viewpager2, 4606e74abef107f781210cac98bda1c0}
kotlinx/coroutines: {kotlinx/coroutines, 9fee0a0b1fe94252182e79deffc5dbc0}
org/apache/commons: {org/apache/commons, c52e7c09410b9f10f507a1cbbae9e65d}
androidx/recyclerview: {androidx/recyclerview, 480e4d3c904cd82d7fa93e6e2c3636b8}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
com/android/installreferrer: {com/android/installreferrer, edcef8f69442e4e0162d9c2856f20b47}
kotlin/jvm: {kotlin/jvm, b5ed3bd9fcc9b4114988e08fd72c14d3}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 03366c89e45a6fd1fed19ca71391aa1f}
org/wikimedia/metrics_platform: {org/wikimedia/metrics_platform, 1bd748e34822a62ca14a0255e9421b88}
kotlin/io: {kotlin/io, 07e6b77b0a93d901364b401907a156ea}
androidx/profileinstaller: {androidx/profileinstaller, 830feace874dc78c84b7c3042977a69f}
kotlinx/parcelize: {kotlinx/parcelize, 430a14a5e807f6d6a02e3053930895fd}
kotlin/time: {kotlin/time, 084fbe24c2df7be59b525f5e481e85d2}
org/reactivestreams: {org/reactivestreams, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/coordinatorlayout: {androidx/coordinatorlayout, c8a9fd3e932581cf9f723b7e071376b3}
androidx/sqlite/util: {androidx/sqlite/util, ae9d98726a658a57ff6811e34e63fc0e}
androidx/drawerlayout: {androidx/drawerlayout, a1d386dd8015d06ebbd4d1005282ec08}
com/mapbox/turf: {[com/mapbox/turf, com/mapbox/geojson, ], 3dc2820e9b6c1ebb2752cb797e2ce319}
androidx/customview/view: {androidx/customview/view, 2e907f344d4890f33f157e50a6f64e32}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 4fc6632377b181724d9fa8df6ebbdaa7}
androidx/arch/core: {androidx/arch/core, 23265b7ed47c8bf5beeb4bd00a33a6b1}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 3c810f58ce2c46acc022c1e75cf14db9}
okio/internal: {okio/internal, 110c518454f0c88b3e64529b0f58ac99}
androidx/concurrent/futures: {androidx/concurrent/futures, 8169c815c189584dde7febca7a29939f}
org/wikipedia: {org/wikipedia, 14a3c2d136818938898b2202c623b3b3}
kotlin/collections: {kotlin/collections, 7036bda6c34664fd6bcb91deac9a96c4}
androidx/fragment: {androidx/fragment, 5d4fb890194d87bd6f6ef25c25a29ebb}
com/mapbox/mapboxsdk: {[com/mapbox/geojson, com/mapbox/android, com/mapbox/mapboxsdk, ], 2350d5c3d7113ff2a1ac1c06c206c3c7}
androidx/customview/widget: {androidx/customview/widget, d73162adef225dc84ab5533aeed0ced8}
kotlin: {kotlin, 74fb3c7df013761f26adc90cbd854941}
leakcanary: {leakcanary, 2608c7d97e86173cc4e2773a3e3dd1fb}
kotlin/coroutines: {kotlin/coroutines, 926e87366e8dcbadf8a9c027baafcbc3}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], c3d6045c0161c5690346748547366d20}
curtains/internal: {curtains/internal, 4b98553fc82f18086746ad81ea966c40}
okio: {okio, 05798feadd3660053af9e0b0cefda9de}
androidx/paging: {androidx/paging, 92c8690d3a7eff000ebdab99a3f2479f}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, d4892bc3b7e4f04712a128e7b8395e53}
androidx/work: {androidx/work, c8c0e032e4bd4fedc0d03f2c6095010d}
androidx/emoji2/text: {androidx/emoji2/text, 444c51be5fc7db9daf14050dd102cfcc}
_COROUTINE: {_COROUTINE, 8e0f39b725c217c6bb62b24541ee0a02}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
org/jsoup: {org/jsoup, b1171d110c834588687db04894752cf8}
com/bumptech/glide: {com/bumptech/glide, ba8d8e7da7d34cc05b35d41daa9f3066}
okhttp3/tls: {okhttp3/tls, f6aca798a51bee568b89501ee06e26af}
kotlin/ranges: {kotlin/ranges, 4963339058fd8f33707edf08c20f239d}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
com/github/chrisbanes: {com/github/chrisbanes, 77ea6327604210446a3f008ee1125a1c}
com/google/gson: {com/google/gson, 0076c357688c03328ab551ef02fa82b7}
okhttp3/logging: {okhttp3/logging, 7d5681e63fe7dc9b4b3df9b2896c4b3a}
