androidx/appcompat: {androidx/appcompat, 982e6ad6b1e9edf14ee3343d330dc923}
kotlin/collections: {kotlin/collections, 03523970ea61a45445d46164c8c8c745}
kotlin: {kotlin, ef7a5fd9aa9e9000c244b7974e8d504a}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
kotlin/internal: {kotlin/internal, b45902a811c366e9d87ffd8073d1370a}
androidx/activity: {androidx/activity, d757adddaf8ee7702148c3ec3d7cc863}
androidx/profileinstaller: {androidx/profileinstaller, 2b1c3f6c11896c558fa675eb7eae821a}
androidx/core: {androidx/core, cc1f731bedfb3ff400846539c6f0aec7}
androidx/preference: {androidx/preference, 7899a70ce8e6e9c7730b21dd8a8d4978}
androidx/customview/widget: {androidx/customview/widget, b6aa9ea056ffe92fdba08acdcc7b8814}
kotlinx/coroutines: {kotlinx/coroutines, d8ef10a5ad555cec9e9a550af0f9e1c6}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 6d6da20ccb01b1a6934b0d3cd333645e}
androidx/lifecycle: {androidx/lifecycle, df9229c4ea28cd1922761a4cf18c55f8}
androidx/fragment: {androidx/fragment, 19d68165baf176ad30fc63d44ba34e2c}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, 61d0886c92b56bc75d56eecac05543cd}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/loader/app: {androidx/loader/app, 4ef40b23bc8dcb21057cdb597787b1b5}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 213bd5b2e045a34fee4700e33c7aeaa6}
at/blogc/android: {at/blogc/android, 86cc9e341161e40fad7c4ffa94b2639a}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
javax/jmdns: {javax/jmdns, 0bbd2a40f736b6d270f5b031ab0be064}
com/google/android: {com/google/android, 320795d441328161a982289f758ccd1e}
kotlin/text: {kotlin/text, 5720d3fb31ef63da23b259629bfd75d9}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, 13c96ca413eabb8c91ed0e6e2b0e90c4}
okhttp3: {okhttp3, 9e81edb8c6983537a4e4065d88ea837f}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 08d5f2c7a58367351c955b3a866a41b8}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 11dcc2d58a1b0cf14d98f93639f838eb}
androidx/collection: {androidx/collection, a7c3ea0dfb2d4f399614dc6d04d323cf}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7fdce51ce9ee59efb3a6f22846df538c}
androidx/transition: {androidx/transition, 53f5f5ec16b0240ae7bc42785e039993}
at/blogc/expandabletextview: {at/blogc/expandabletextview, 66d04f4c5eba839ba8e6b945f551b475}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
androidx/interpolator/view: {androidx/interpolator/view, b0cd30ad7edc905a01d8c1d4b1903fa4}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
org/xbmc/kore: {org/xbmc/kore, 02e6588be3a432f50698bb00cff83f8a}
androidx/drawerlayout: {androidx/drawerlayout, 93e767334ff8e7e2d1351a6eb3d44857}
org/slf4j: {org/slf4j, a52e274d7915a40d529ae41da83737c5}
androidx/media: {androidx/media, 93330db01ae4efe73df9535be4a4a9d0}
kotlin/coroutines: {kotlin/coroutines, ecaaa269d89b4985330b139702819979}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
androidx/loader/content: {androidx/loader/content, 705fa7d63b8285a4918a5601aed589a6}
com/fasterxml/jackson: {com/fasterxml/jackson, df80c3e42f1c005f7b7400a99483a9fd}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 1256c01e9b4529be0df567125c3be016}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 0ab2f9a133dea34d5ddd621aaaa25d1a}
kotlin/sequences: {kotlin/sequences, 3ed2de5448b4cddac8ea0b543341fdc3}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 384011911199bddb7cdb35718204ff2d}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
androidx/arch/core: {androidx/arch/core, 42595d5372b7f0c93b66709e534539f5}
