kotlin/collections: {kotlin/collections, 8cfc2b45f0c1084f7af38ac77221c3c7}
android/arch/persistence: {android/arch/persistence, 488984c82b43cb787ce5dc6725ac4c02}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
androidx/core/widget: {androidx/core/widget, 6584f68d5a860436d3bb5eac7ff44a15}
android/support/swiperefreshlayout: {android/support/swiperefreshlayout, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/io: {kotlin/io, 22fb82b87ee1b068eff3d2b7ae270b00}
android/support/coreutils: {android/support/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/internal: {kotlin/internal, fc14f1f62472b4aa04f332da2cc30762}
android/support/interpolator: {android/support/interpolator, 542dd9699021b2a489ba6c7d8f6e4a23}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin/sequences: {kotlin/sequences, 1b69db73eebf7679275ec57dd32c6712}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
android/support/loader: {android/support/loader, da1c5c0e9e4d4de1ee6852a39fa1fee1}
org/koin/android: {[org/koin/android, org/koin/core, org/koin/log, org/koin/dsl, ], 7548926749013fa281c4d351ea84ca64}
android/support/slidingpanelayout: {android/support/slidingpanelayout, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin: {kotlin, 20b798135e062d4b4408f3c3a8538d86}
android/support/fragment: {android/support/fragment, f5649c67bb0f45aebcffe7a7a3f8e869}
timber/log: {timber/log, 25435f6a738ec59262f1a6e3f4dc3923}
android/support/annotation: {android/support/annotation, 65b8867cbd300ddd90ffb82cae73bccb}
androidx/core/text: {androidx/core/text, 9070c8fa8754a4a5fb6541c59df367b9}
androidx/core/content: {androidx/core/content, f4b143a64772f547e20a8f895cbe3fed}
kotlin/reflect: {kotlin/reflect, 7e0c68be80639ff0417e1f515a9c76ef}
kotlin/coroutines: {kotlin/coroutines, cefcd55ef3956cb847a82204dca071e6}
kotlin/math: {kotlin/math, b83cb3213ae7d57c3ac14d0d84dc33bc}
kotlin/concurrent: {kotlin/concurrent, 83118dbc6b07a66aff18853f1b40a7af}
androidx/versionedparcelable: {androidx/versionedparcelable, 6f6030d8ce568d65a91cf67592088784}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
com/appyvet/materialrangebar: {com/appyvet/materialrangebar, e465062fc931d5b123daaed5356f46fa}
androidx/core/kotlin: {androidx/core/kotlin, 1b7ab2a4356f57f8bb7213a8ef90981c}
org/koin/experimental: {[org/koin/experimental, org/koin/core, org/koin/log, org/koin/dsl, ], 6e54c58a0a03b3b0931d102c6694dc8e}
org/koin/error: {org/koin/error, 361e925ad69be0171ee1abc7c175d55d}
androidx/core/preference: {androidx/core/preference, 1ff8740a77a344db4e4c1a39bc9f0dcd}
pl/kuben/progressapp: {[pl/kuben/progressapp, pl/kuben/chartview, ], 7ce185148b845c5fd915983a8ec77720}
android/support/transition: {android/support/transition, 76a9891151fc911700b7a1918d06b1e2}
kotlin/random: {kotlin/random, 9f6eb5adaf5313d4b9478933090bedd3}
uk/co/chrisjenx: {uk/co/chrisjenx, c81ec35985c9ef87c4c1aaf565cb6555}
android/support/constraint: {android/support/constraint, 5c119bc3c1b911d4d82b690cc756f21a}
