a6: {a6, e152d26d26563445d3b41da1ffe3304e}
mc: {mc, 724fb867b537d5068b503c681ca78dd0}
x6: {x6, 41866ebe5d44fc933cb9fd3eae1e9e18}
l1: {l1, dc2a1cd2cb2b6e912f584c1d9fb61c41}
androidx/datastore/preferences: {androidx/datastore/preferences, f3df950b09f38e04254d1855d0b28970}
i4: {i4, c176fceb95ba770128ed124f7fcf22c2}
na: {na, 14c39ac3bc6189036ad9999d5ebc26f5}
sc: {sc, 215c4ba9da2d5159a1394496cffcf0fe}
r9: {r9, 68882b4449cbe873eb712aff305d819a}
ua: {ua, 033e0d5dec44a7e9e73e702558c7c0df}
pf: {pf, 8b30760ac02458829ec2a0a870943913}
v2: {v2, b371295636bec8410a4ff1a260363b10}
w8: {w8, c8f08ceb22e148306b335c967bcff45e}
rg: {rg, 67d6b11dad6495dc13f204f4b36d41d3}
sh: {sh, db408285d32201ac190fe3916bf2e142}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ccca91de151a6ff2e2636cc024623a6f}
r7: {r7, 13614cde8a8be959cbb7ac38b4ef2fde}
h9: {h9, e220af28cd22b9fdad60409a4258cf00}
u4: {u4, d03ebd17179add1b675a6d385ff97083}
g1: {g1, 89972931d35c321c5c3054e0f067b1ab}
c0: {c0, c384af4cf08d9ddcc5b3160eda0250c1}
ea: {ea, b89fb7d14f200f046ba1d0c0b5bf23d0}
cb: {cb, 7deceb0ede58554a6f54df8f57893a7b}
lf: {lf, 81fb5e8e758760b6feda614a99ce3728}
com/google/common: {com/google/common, 508a46bcf86061b9455b5d38b00683ff}
o3: {o3, 170dfe3b48726bba03593fdbc1fcefee}
o8: {o8, 185bc685a14d93ce3f567854abdf5328}
t3: {t3, 4df3c0e3e1584d3fc7187d00666d8b1a}
androidx/core/graphics: {androidx/core/graphics, a27111510d4778aa2dd11c02337b8b1c}
h2: {h2, adab56e5891ebff468808a25a05e4bae}
u3: {u3, 781d97534b7f51c5367dcdab86af006b}
ih: {ih, 3d78968a521aff59359cca11abab6d93}
c9: {c9, 6ded6e56abb6c6f9904472157fb3e1a6}
z: {z, 6c9a296ad42042a27e7017bce940d8cb}
r6: {r6, 16cfdf0778329bc081f0da155d22ef1c}
s4: {s4, dac61789acb83c2be90a3ee768e8fd94}
com/quran/page: {com/quran/page, 4115ca92fcd62888cfa2ef15dcff304f}
g6: {g6, 0aa218e89dd5d444266608d9755f1c46}
b3: {b3, d07705472f7488fe89b1891bec394db4}
q2: {q2, 17dcb4b6ca1526a5f4be78f56843e7e1}
fd: {fd, 0ffed578ef71d6c9ac60479b08fb4447}
e4: {e4, c2f8bf8d7cc47925217f1ed9e2c620b2}
dh: {dh, 51fbc664ac7b8225f4ab78ef83a4307f}
ta: {ta, 981fef07bccba3b69850ee010e4d924c}
t: {t, 0ce61be00443549837417eb375e259cb}
th: {th, c44cc0881ab050465b181cb455251d07}
androidx/versionedparcelable: {androidx/versionedparcelable, 41e4d97ac17453fb584b5bbe4d17e47f}
s: {s, 34be1dd389dfce2fb94d29aba90c713e}
androidx/viewpager/widget: {androidx/viewpager/widget, 3cf53543db51d15db69c3d0d438abc45}
f2: {f2, c6580034f15b3f62737227b7b88fc125}
g8: {g8, c0baf3a387cba47b2219f336a9203503}
ce: {ce, 66cd6bea1a9777e8afc0d4774f7e4785}
zc: {zc, 6461384ffc066b6edd6c8382dcd2595c}
da: {da, 436d94ab1404ea1012c603307aec436d}
bd: {bd, 4e1e8e5bcc7ecc59804ae39c897232e5}
w5: {w5, 23ec601232c47c69d316b50d01d0e950}
ag: {ag, b58ac6c1eaa9f19fee922b61903e5e89}
rh: {rh, c08fac66e2f7ec0d0c4a7921e05fb44f}
z4: {z4, c97feec9062764ef35b30739cea51985}
qg: {qg, 2c1f2d440e616e71a54615206b3c5721}
oe: {oe, c0535f1cdf91a8e1b9ef5d9bad747b7d}
e1: {e1, 004005e03f46bed015c5343bb83d876b}
p5: {p5, 2d6c2e5d401b2cbd51e9d7ddaa540cb9}
wg: {wg, 15c480fcfb0b5a9fa0d566899cefbeef}
d3: {d3, 70ca2d56cc9936d76fe6bb42e05c9254}
k2: {k2, 437cdcaa1997e7a6377553ae90143a5a}
m: {m, 6c2d2094bcb35927d222a08b0869c1dd}
q9: {q9, b7416d43d177cf9230ae33cd7dea27be}
e3: {e3, b858f26e4bda280ac4b5593856aecae4}
ra: {ra, 7ac33db579ab8699cd53f1a6d23e0f31}
m6: {m6, c3984a383c749714a7538be55bcddc89}
u8: {u8, 11ac1dc1142029485a514a18b15ddf65}
m1: {m1, 60e7c3840c1456d72b81e79959530381}
x2: {x2, 40a8712f0a2e234a7a2bd9f351641be4}
a2: {a2, 552e4d5449afd32951e91744ff0dedee}
n9: {n9, d447559f759bbe8e2974b6b9d7c956b4}
s9: {s9, 73bc25af6b120a1dd7b2fea3404694b0}
n0: {n0, 4b200bb6b4f631372121adb9300ca7ee}
k5: {k5, 7b9c846624c4647424d3c8bf54e92c33}
f: {f, d96d044e8fe3e20a613c86a5e3707555}
ie: {ie, e29671de1ab0826e21f2f5ff1258d2a5}
jc: {jc, 76c2c13278e9787cdc64cd204ab222a0}
