androidx/appcompat: {androidx/appcompat, 5c6b9862d2cd2ef9e2ba9b055ead77a0}
com/balysv/materialripple: {com/balysv/materialripple, 2ec393fa2ceab0c4da52f0a20af23657}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 380c29f70865b802983d2c167ffebaa3}
com/eftimoff/viewpager: {com/eftimoff/viewpager, 0db390eeeb150a4b7e83ec8056f6ee13}
org/bouncycastle/tsp: {[org/bouncycastle/asn1, org/bouncycastle/cms, org/bouncycastle/tsp, ], ac9c542684f271e7215c00369bbb793e}
androidx/room: {androidx/room, 39a9d9c3468279081fd3a392582a6b49}
androidx/activity: {androidx/activity, 01d870f497c1d9ee0cf75ce64d110d5c}
butterknife: {butterknife, 40826a2e69ead44b31082bcd5f713922}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 510df44333797661d57d89a60a39ed86}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, a694eb77b53c8a1f13538d8bc4554ac7}
androidx/preference: {androidx/preference, 188aab88ba7c213f49637293b35091a9}
androidx/sqlite/db: {androidx/sqlite/db, 73ef8fcf9bf3d5a1e7343a4283aaba27}
androidx/lifecycle: {androidx/lifecycle, 92f5549a68116ee9742cef86bb75fe2b}
androidx/fragment: {androidx/fragment, 94270bf36a919eb2537a792ed7c42bce}
androidx/loader: {androidx/loader, eb283380dbafc0cdd874000254627e99}
androidx/vectordrawable: {androidx/vectordrawable, d3501e3b22b1c294a9707700b4b252af}
androidx/recyclerview: {androidx/recyclerview, f64beb4a66ab4fdf9bd2a59b955a694d}
androidx/viewpager: {androidx/viewpager, b183a25ed24c61bea7824c8a0a760f6f}
com/github/danielnilsson9: {com/github/danielnilsson9, 3395f540741d5e49b5da516d1e6f3df0}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
androidx/versionedparcelable: {androidx/versionedparcelable, 0caae042fa387bf8d7dcb40ad0297eec}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5ddd8eeb97c5cd35796528a2b97acf42}
androidx/core: {androidx/core, d386bdf502a5bce98ff299224411dabb}
com/eftimoff/viewpagertransformers: {com/eftimoff/viewpagertransformers, 26cab3355ab856a0ffe9b25328285444}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 48e47066438647fa5b7f580cc5261766}
androidx/collection: {androidx/collection, dec9ec1cf8b456c3820a01f4e8430b69}
butterknife/internal: {butterknife/internal, 8fa8cec83dccfb2df3909088fe43e1b7}
androidx/sqlite/util: {androidx/sqlite/util, 3736d0c728a503e8db61fd321363f701}
androidx/transition: {androidx/transition, 9dc83b4f06f3a755b792f2bac239f84c}
com/google/zxing: {com/google/zxing, 3148cce7d13b152bc03438fe060659ce}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 2630c7629a762b4564e0cfdcc58c794b}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], f12239cdc6269306ba4d77b8a4f3e253}
androidx/slidingpanelayout: {androidx/slidingpanelayout, d2552721f8a86c86c32709212ae747bf}
androidx/multidex: {androidx/multidex, 33cb3f232844c59745c6020da5d5a032}
androidx/cardview: {androidx/cardview, 813c9a3f5f405d0003445ddd39e07616}
androidx/legacy/v13: {androidx/legacy/v13, e97521e81a9f1d37da0597160bf5ab00}
com/airbnb/lottie: {com/airbnb/lottie, cb0788ce4c915588a2d076d28324c0a0}
androidx/drawerlayout: {androidx/drawerlayout, 241bbf9f1f6713e5b1f418c23ba2dfb6}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, f8cf1980f5932313a030035b40f23542}
androidx/exifinterface: {androidx/exifinterface, 8ab27a5f3a27a24ee041c358954f39d9}
androidx/legacy/view: {androidx/legacy/view, 542dd9699021b2a489ba6c7d8f6e4a23}
com/zhihu/matisse: {com/zhihu/matisse, 07c2d1a56d90b868cff45ddd41584b85}
androidx/emoji2: {androidx/emoji2, 5e2c1268b71e255084b41d59b2f35263}
com/google/android: {com/google/android, ccaf32b2e74e9353e854bfd502a4a718}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 4f9bfb0bb4727031ffe1f203998ab189}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, ef0a0bb4b315be2c3b3f4d2a83f2ccf0}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, ec7f33fbd46d472894e72eeb2cd387da}
androidx/arch/core: {androidx/arch/core, 484aafee93776acce631b106f51ccb93}
org/bouncycastle/cert: {[org/bouncycastle/asn1, org/bouncycastle/cert, org/bouncycastle/operator, ], ac9c542684f271e7215c00369bbb793e}
androidx/viewpager2: {androidx/viewpager2, 5a3bc125ce773072aa5e46f66420994a}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 37406ef3ecefe2a8c8367a31d4a393ee}
androidx/documentfile: {androidx/documentfile, d6616044b5ffd74e0af81645559f3723}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
it/sephiroth/android: {it/sephiroth/android, 55b9b2e07dc37deff965b774a6125968}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, bede462f47f6dfcba940337e84a2af8d}
com/itextpdf/testutils: {[com/itextpdf/testutils, com/itextpdf/text, com/itextpdf/awt, com/itextpdf/xmp, ], 1858e3e0017220f663e899bf3bdd5fef}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
com/dd/morphingbutton: {com/dd/morphingbutton, 049d0dd2151f0f7badeb82f47bb46fc3}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8af7b6125fb907636bed54563d4be768}
com/theartofdev/edmodo: {com/theartofdev/edmodo, 63a857e587dc7181e6a4421275a5ce6f}
androidx/concurrent/futures: {androidx/concurrent/futures, 7757a21a43ca466ad53bbc9c69467ece}
androidx/customview: {androidx/customview, 4861954734eac50e36db387a152c6014}
androidx/window: {androidx/window, 66fb5e0607ace898ec6ac5f5f51d58f0}
androidx/annotation: {androidx/annotation, 61f4fd3434041025438ffb18a8f361de}
androidx/test: {androidx/test, 9c3e99a1d7d7d4ee187faa0aea511ea9}
androidx/dynamicanimation: {androidx/dynamicanimation, fe0214c9b76d0dd8862375c991833b5e}
