androidx/appcompat: {androidx/appcompat, 01bd0720c7b0b63fc8a2e9b50ac72e75}
kotlin/collections: {kotlin/collections, 13750c982695b47f0a97fd9b2e17e4aa}
kotlin: {kotlin, 5bfaecd659e5e8b607047e6c3def0189}
kotlin/io: {kotlin/io, 899974ddc2ee3a352a3c32b13c1ff3b1}
androidx/media3/container: {androidx/media3/container, acc985aa938c3742e4d1ff5e5f1bfc14}
androidx/room: {androidx/room, 9d25e2b81ad276d100cb7f6c3e35922d}
androidx/media3/common: {androidx/media3/common, be232c2407df2afdfdaa75f4a035bd47}
androidx/activity: {androidx/activity, 0800efdf292c3a000b8ad1c51b52318c}
ua/syt0r/kanji: {ua/syt0r/kanji, 3189a92149119c922e3e9dffcfc0036e}
androidx/profileinstaller: {androidx/profileinstaller, 0594ec3e7dd5b5c04d5fb60306139182}
androidx/compose/runtime: {androidx/compose/runtime, ae936b80cb448ed27f54024ee4a770f5}
androidx/compose/foundation: {androidx/compose/foundation, d84624d5186755a343a3bf1b077d0df7}
androidx/datastore/preferences: {androidx/datastore/preferences, 9a159522c701135cfe45e9d8e51e538f}
androidx/media3/datasource: {androidx/media3/datasource, f0ca8973675228646c3b66d7e9013b0a}
org/koin/android: {[org/koin/android, org/koin/core, ], eac01d7fda614b2d3af452e714dff992}
androidx/compose/material3: {androidx/compose/material3, fc7d5d62881589bbeaf2afb54b4457d6}
androidx/lifecycle: {androidx/lifecycle, ed353d79d5551793e6d0eeb731f15ec6}
androidx/fragment: {androidx/fragment, f1eff4bfe52b613737c6bd5a4809a385}
androidx/emoji2/text: {androidx/emoji2/text, 3f618012ba67e4d6e5c1a4e9090c3172}
androidx/media3/extractor: {androidx/media3/extractor, 5245e70de721349fe8a0fd3306ac05c9}
kotlin/enums: {kotlin/enums, 2dc1a962104382b16749698a8a1bfdd2}
androidx/navigation: {androidx/navigation, 5a27e92b21ccd07dee2f8eb5431ffb38}
androidx/compose/animation: {androidx/compose/animation, de980d07c081e4c44ca3e31e9906c5f4}
androidx/media3/exoplayer: {androidx/media3/exoplayer, af5e546d350640cfe014e9d71f732e1e}
kotlin/reflect: {kotlin/reflect, 42ea22e0d580dc5eaa15e3b6f447aee4}
kotlin/coroutines: {kotlin/coroutines, ae586757e17641aa11d8be0205bf52ac}
kotlin/math: {kotlin/math, df301b625bdb4ba3cc2e36de604b415a}
kotlin/text: {kotlin/text, 59b36104aac1baf5e2a5494a5ffd43ba}
androidx/versionedparcelable: {androidx/versionedparcelable, 5071700c06b680bf9d056f891ae1eff8}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2df8f2ee35dff938ad7ef841215d5d19}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
androidx/core: {androidx/core, 5ac52309b25af6703e63cf0c9ddea5e9}
app/cash/sqldelight: {app/cash/sqldelight, 94f8642c95b0b8bdabd2f155b6da179f}
androidx/collection: {androidx/collection, bd46aa4b07dbc7abfefd20a18139e430}
androidx/sqlite/util: {androidx/sqlite/util, dce0b596601dc8d929719428f59faea6}
kotlin/random: {kotlin/random, ce0eb0104e39a16b16d4e90885a9f83a}
androidx/interpolator/view: {androidx/interpolator/view, ec3237740e3996f4e9eb065b60c63f55}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
kotlinx/serialization: {kotlinx/serialization, 838b3a193bae9e24bdc1df6458577e1b}
dev/esnault/wanakana: {dev/esnault/wanakana, bf7aa7cbb64648f50844dcc94f9f1c9d}
androidx/datastore/core: {androidx/datastore/core, b5269c59703fbdd4b9911a6e6ebbd7be}
androidx/arch/core: {androidx/arch/core, 8477f68231670d72f06430946469469f}
org/slf4j: {org/slf4j, 8ae2b6891013785d6e456e37cea16998}
androidx/customview/view: {androidx/customview/view, bd012e38ce63fe1895fd7ab8e76fb3c4}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
androidx/compose/material: {androidx/compose/material, c4023f430fc57981e3bdf1f16b8f2e39}
kotlinx/datetime: {kotlinx/datetime, fd2d466743f0754dba6476433ad06f4c}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, a6e9fa207cbc5ced9e08843d1a18f19f}
androidx/work: {androidx/work, 0fd20a5fd8065409d7c12c828ab7d46d}
kotlin/sequences: {kotlin/sequences, b4ce68f73d51530a5d3667f6e5c03c4f}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
com/google/common: {com/google/common, 7aaf2373ac21642fafe5970f214eb914}
android/media: {android/media, e079f4fb8febf5b63effbb6583d13a90}
kotlin/time: {kotlin/time, 87d38ae37c6f82867027a722d721a637}
_COROUTINE: {_COROUTINE, 507e588d5819d2929935dbb7e55dcea1}
kotlin/properties: {kotlin/properties, ac1ec653c8a0e154eb9188d85a40116e}
androidx/savedstate: {androidx/savedstate, 3c92b8b5d9ef94bd7d6bad9050cecbc8}
kotlinx/coroutines: {kotlinx/coroutines, 2ec0dee3a787434975f069ca22e386f7}
org/koin/ext: {org/koin/ext, 5984cd641fa6d43be921452517f00e29}
androidx/sqlite/db: {androidx/sqlite/db, bc98519ce133eb1f21d384f66fd0fd2f}
androidx/media3/decoder: {androidx/media3/decoder, 35fe4098d03e6264b4b148605f143ac7}
kotlin/ranges: {kotlin/ranges, a0c7d6fedf004240f1c52e08b7971c10}
androidx/tracing: {androidx/tracing, d4916027c4403af94d09dec2780ff16a}
androidx/startup: {androidx/startup, ffb99d0c1e411a2a15771f22663e5272}
kotlin/comparisons: {kotlin/comparisons, f075c3c0a961a5aa17ef5d4f3dfb9a9a}
kotlin/internal: {kotlin/internal, e7b34893d98ec069395754d82fbcd75e}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 620a9066de3b4f0803001d7391d2c5f6}
androidx/concurrent/futures: {androidx/concurrent/futures, d0226eab5360beb091e26b463406eeed}
androidx/compose/ui: {androidx/compose/ui, 337117d0df3c9c8f2256473afc6b0894}
io/ktor: {io/ktor, 753ce8514bc166ba384f887be71454cb}
androidx/loader/app: {androidx/loader/app, 74281e3ed2ff8eaa4f6683fe32e51678}
kotlin/jvm: {kotlin/jvm, 3770b4f143d22a4b603b62c6da27fa5b}
