androidx/appcompat: {androidx/appcompat, cbd7d1450f7d68cab9b9057d272ab876}
p2: {p2, d7b5ac931cfc342dc108f1ad46b43618}
T3: {T3, 191d29eda23dda8c0ab7b391f42da871}
A: {A, 0cef989636717379443262c52d88eff4}
V3: {V3, 3813918ff9dccff259d8661d113807d9}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 2e66240cbdaa9d18be439d57d50ca619}
j: {j, 2c505df829efec0b152fd0fde68d0da2}
c1: {c1, af1351f611350772d94e54daaf36731a}
c3: {c3, 830e526a30c2e3409559c8504004af1c}
H2: {H2, fb4223387bf6339c46d1f6066f0de794}
q4: {q4, ad5447649e91f23b6ede8825d2e76237}
D4: {D4, 11005bb5f4a42d23bf2b5c8fa9f2c2ce}
b1: {b1, b507b0a367fbf7d9a4757b3c16eff9fd}
androidx/lifecycle: {androidx/lifecycle, f060b1888525ba0671d09710c82d0546}
l1: {l1, 4275e0e778954a4c64b5b250571df4cd}
i4: {i4, 7dcd678aaf9f404611e91fcf7d8ddd99}
J2: {J2, 3d13aeab19c5043fa282f59d06646641}
W3: {W3, 89d330765660563f4d1c756224f5ec03}
androidx/versionedparcelable: {androidx/versionedparcelable, ada4b24b18738aca32a74fa2ccf650f3}
cc/ibooker/zkeepalivelib: {cc/ibooker/zkeepalivelib, 0c40cb6bb021d124200fcd5534757083}
o0: {o0, 30313dd236d351a5e851b926b525b0bb}
androidx/compose/ui: {androidx/compose/ui, 13926497b4f312e65a09409e576f51a7}
K0: {K0, 7540a204a250c3ea2c5a5000d962d0e2}
R0: {R0, 432036d95cc45b7bfa6630562a0f9f64}
y0: {y0, 663ae5c59cc8f2f4dd256400c1401432}
com/forjrking/kluban: {com/forjrking/kluban, 35890bebb12fa90dd8a70fbd38048c26}
P2: {P2, aac2362681965b93f21b41c552b4cb9b}
Y: {Y, 1293d91fa759e43ba5cdac5a05ff5ccc}
Y2: {Y2, 59846dc58fb4d9af46cc6a6b012c26e7}
v2: {v2, d9f89aef4c626ed4ed2c3ab6a94551bf}
H: {H, 954164da5468971cc64bdb0da28e2561}
S3: {S3, acf7ef943fdeb3cbfed8dd0d8f584731}
