androidx/appcompat: {androidx/appcompat, 9847fb85bfcb2cd49b47ef1784cd32d7}
androidx/fragment: {androidx/fragment, 57d03452690db914a063f87905ac5041}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
cats: {cats, 4afc419fafe8b4bf2dbfe102f32cbfd9}
androidx/room: {androidx/room, 4ba460be8868f9a3ed69d97a13470a83}
androidx/activity: {androidx/activity, d12d2d90979905a589add161611841bc}
androidx/recyclerview: {androidx/recyclerview, 16c88d3769a474b5261c5d1a520898f8}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 2d2b767027d23038ad0422958c69b04f}
cats/conversions: {cats/conversions, a2153cf4c119a3d4d0082aa4a3b047c0}
androidx/lifecycle: {androidx/lifecycle, 352926fbb1cf844219814b799c008d26}
kotlin: {kotlin, 329c957ef1d3fcca6dacd179163d2d21}
androidx/loader: {androidx/loader, 4112739649d047ac5495ad1aa016219f}
androidx/vectordrawable: {androidx/vectordrawable, bd67b3238541062c09688bf7b0f8a43e}
castor/platform: {castor/platform, f29f00b477ca199bdb7e6595d1936e0b}
androidx/viewpager: {androidx/viewpager, 0717b497e1030e3197e7eb6587bf1d6a}
com/google/android: {com/google/android, 10fe44187d7a69b2ab6fd242889e2093}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
cats/compat: {cats/compat, 556d6a99f826f092d1af3f46c21f6762}
androidx/versionedparcelable: {androidx/versionedparcelable, 6110a380116b690736806520e7e64e7f}
androidx/core: {androidx/core, d5f1f86316230d4bc8d4dc5f449319b4}
castor: {castor, d25d2b011b5874278e2116daf56fada4}
androidx/collection: {androidx/collection, 270cdce23536c9255c28f59fb6bfb365}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b1c946cd83d24bd83b3dc61b43f74846}
scala/collection: {scala/collection, d41d8cd98f00b204e9800998ecf8427e}
androidx/transition: {androidx/transition, 3c9a5d0c636989cd300b749876009126}
cats/arrow: {cats/arrow, 7f48b37fbfa5b4bc6a6b29bed3994705}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, ce8528297b2cf5afea04c5619fc90479}
androidx/slidingpanelayout: {androidx/slidingpanelayout, be4ddd168d918b117b2dedb80e56ae31}
androidx/multidex: {androidx/multidex, cf4780165a7e696dbaea5d3777a3ffbc}
androidx/cardview: {androidx/cardview, dff8d98896c35974b8c1b434057e39b8}
androidx/drawerlayout: {androidx/drawerlayout, ae0a09a4f65450a3a75469094dadb1f3}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, bab4aef2cffd401996976abd0ed00390}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/security: {androidx/security, c40b775fbb8ffccfe9709d5fff78426e}
scala/reflect/macros: {[scala/reflect/macros, scala/reflect/api, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/work: {androidx/work, 188b14ccc1f8b93f76b025ec5e32494f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 6cb701f2aad8d854273568e7a95b49a4}
androidx/legacy/app: {androidx/legacy/app, 60fa7d407afd60692ccbabb4d7d8b973}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 6746cce749c4cb8af6bdf42af3e730b5}
com/google/common: {com/google/common, 5d2ab1431685c05169684c833beb25e7}
androidx/arch/core: {androidx/arch/core, 484aafee93776acce631b106f51ccb93}
androidx/viewpager2: {androidx/viewpager2, dd2fee9478bfe389db26c9c420730e45}
androidx/legacy/content: {androidx/legacy/content, 46c777a429636fee0368ee13639ad43d}
androidx/savedstate: {androidx/savedstate, ddd6c535c85ea0320f0bf36320baf2cd}
androidx/documentfile: {androidx/documentfile, c4d6088aa201ba86656b690fdff5422e}
androidx/print: {androidx/print, d4d9f4edf8a77f97573022ad7fc970de}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d97ea20494d259268a4d0ff95c1a1a3a}
androidx/sqlite/db: {androidx/sqlite/db, 810236ee00c5d2690be4d96a009152d3}
io/netty/handler: {[io/netty/handler, io/netty/util, io/netty/buffer, io/netty/channel, ], b92657e736e228a8892707664984fd34}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, e860f7e632fd5eca1f551e03a162f283}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
androidx/startup: {androidx/startup, 4439c1db038de1a36776e08b1388871c}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 9ee389c1427c79abb3086dfd987991d8}
androidx/coordinatorlayout: {androidx/coordinatorlayout, be9e40092b257f68c15305897f5213cd}
androidx/customview: {androidx/customview, 713999d24373a515050b1450260eab16}
androidx/annotation: {androidx/annotation, c012fa16f63e49fd0992e89a8993cd88}
androidx/dynamicanimation: {androidx/dynamicanimation, 8322162f13c66850a84125a4c3986f39}
