androidx/appcompat: {androidx/appcompat, 07be406dcf32a2e49be1bc3339cfb684}
kotlin/collections: {kotlin/collections, ec676afe7b6d5dd5ef8f8f4fbb4d2191}
kotlin/jvm/functions: {kotlin/jvm/functions, acf7ef943fdeb3cbfed8dd0d8f584731}
java/util/stream: {java/util/stream, 2f6e82f59ae896bfd09f804ab8e83242}
kotlin/io: {kotlin/io, 3811a16d31db474d2d27fcc1a9f92022}
org/apmem/tools: {org/apmem/tools, 30cf3d718810f5844cc9509183e520fc}
androidx/room: {androidx/room, f3ce5a18861f299cd7a7e00f17c41e10}
org/apache/commons: {org/apache/commons, ad897c748a3a2bd6fe06ebc0f6a48943}
com/google/common: {com/google/common, c80a6be74dd194b90fbe3bf20a77997f}
androidx/customview/widget: {androidx/customview/widget, a6f973dbee831898f4581cac5ab22a73}
androidx/core: {androidx/core, d6be71d85e053835e8bcd066638948ef}
kotlin/jvm/internal: {kotlin/jvm/internal, dd9f0becece810258f40b3c8b40f3151}
androidx/sqlite/db: {androidx/sqlite/db, 004bfcb94f619d4a07722f1cd9f2e584}
androidx/lifecycle: {androidx/lifecycle, 1eaa64a241bd9e577f32c1cca6a6bde1}
kotlin: {kotlin, fadfaa16cee70e07cd51d51b4e4eeb3d}
com/tencent/bugly: {com/tencent/bugly, ea9a5127df50f99a049605d7377ef128}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 7ad6fcd6a3ef515dc74473f211485b1b}
androidx/legacy/content: {androidx/legacy/content, 0ee9413779ad1b96d7760df1607acbc4}
kotlin/coroutines: {kotlin/coroutines, 18f1b6c5328213a14d022dd0eed8bbed}
kotlin/text: {kotlin/text, e6878b52247be3f1267a940031b4ef80}
wei/mark/standout: {wei/mark/standout, ef55c05359edfdd75fb52b7f75d520f4}
androidx/versionedparcelable: {androidx/versionedparcelable, 23bf49fb2717fd856bd6ba4546fdf457}
okhttp3: {okhttp3, e9f9ae5ebb6ae6d526dd496351d4e611}
