androidx/appcompat: {androidx/appcompat, 33d8ff7f3b4d1c9f8dfdb408cc5cf72b}
kotlin/collections: {kotlin/collections, ec676afe7b6d5dd5ef8f8f4fbb4d2191}
kotlin/jvm/functions: {kotlin/jvm/functions, acf7ef943fdeb3cbfed8dd0d8f584731}
java/util/stream: {java/util/stream, 2f6e82f59ae896bfd09f804ab8e83242}
kotlin/io: {kotlin/io, 91cb3c00be89ba235d34a255db235110}
org/apmem/tools: {org/apmem/tools, cfd0f326697e58e51cde67a24361f18c}
androidx/room: {androidx/room, dbb03777699d7790e3c0fcb3972c65a6}
com/google/common: {com/google/common, 86fda02ed08942ba405184c18d2cf8c1}
androidx/customview/widget: {androidx/customview/widget, 942edcaaaab6c22d73ad3be28905eaf3}
androidx/core: {androidx/core, 7dbea794f90cccee41808aced9b0aae2}
kotlin/jvm/internal: {kotlin/jvm/internal, 2f5427e4fd23711dcd35852a276b9581}
androidx/sqlite/db: {androidx/sqlite/db, 5e89249aac61ff1168bf4b5134f7353f}
androidx/lifecycle: {androidx/lifecycle, 2453e0503efe84cf38503b0587b9944f}
kotlin: {kotlin, 44fa52a99372dddb71907291bd23d45c}
com/tencent/bugly: {com/tencent/bugly, aea448a14827445d4d97e42c2d71d9e9}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
androidx/legacy/content: {androidx/legacy/content, 0ee9413779ad1b96d7760df1607acbc4}
kotlin/coroutines: {kotlin/coroutines, 0c1c836bf8a5cfaf52f559b32175cbaa}
kotlin/text: {kotlin/text, 1b546627e243b700ec2942a4641c6208}
wei/mark/standout: {wei/mark/standout, 6a8f42a11e11be784ed893f7421b1ea3}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a2d39af3b9cdbfbe8ec117d13f074cb}
okhttp3: {okhttp3, 03d37d90eb8d6db732b5f8a5d1f89efc}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 3aec923d6c041c7ba867d93789eb79df}
