androidx/appcompat: {androidx/appcompat, 7988396d51f5dbe865755feca4a2f5ea}
com/lzy/widget: {com/lzy/widget, a2ee3744b285ec528067cf0077db540d}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
Jama: {Jama, a1d1865ef3b1d9d3e174e439fc2d0d97}
androidx/legacy/widget: {androidx/legacy/widget, 1b10b630de1a831927ad2fcda0ca1158}
com/skyfishjy/library: {com/skyfishjy/library, 564ae4a87098eb3d78fd8575adde639f}
com/lib/falling: {com/lib/falling, 7828fb4216f3feff974936a88bc01f4e}
com/lib/yun: {com/lib/yun, 86291f919c979d7cccdfdb12db6e9288}
com/tencent/smtt: {com/tencent/smtt, 118c951d795b892ff28c4e5bc8075e3d}
androidx/core: {androidx/core, d6396ed46217afcc8143a90d6e0a0067}
Jama/test: {Jama/test, 9d5dee6377cd1040c72ffd2da3c19562}
com/blankj/utilcode: {com/blankj/utilcode, ca99ebb4960a03ffd8c722d67fb51c22}
androidx/lifecycle: {androidx/lifecycle, 093d95fa1caa6097ce0f794b911f870d}
androidx/fragment: {androidx/fragment, 147a88511b7e61ec6fdee67978a5c767}
com/easyandroidanimations/library: {com/easyandroidanimations/library, d2886438530a9c90fba7988497300b02}
com/lib/ruler: {com/lib/ruler, a27f107d0b49972f0bc23c872d8efcf7}
androidx/loader: {androidx/loader, 0cd6a1cb2f2cf1528b7f4f3a8485c40d}
androidx/vectordrawable: {androidx/vectordrawable, f92eb8c6d64d52ec046ffbedab3b4574}
androidx/customview: {androidx/customview, fc5e223f1e894c7d70fc3566c5c62947}
androidx/viewpager: {androidx/viewpager, d772d3e5e918f871d49414aef445177c}
com/lib/loading: {com/lib/loading, d0ac9c282f1a3301c9a3478524531406}
com/google/android: {[com/google/android, com/google/ads, ], 60c650e60e70c89c6477c518e1f8f045}
androidx/interpolator: {androidx/interpolator, 0fe191d1451d04af1e8482845e27e77e}
androidx/versionedparcelable: {androidx/versionedparcelable, e61e9a2be11ee0555c5e3af714925666}
com/lib/calculator: {com/lib/calculator, 51a48aef0437b41e7e6426e6c9e0e6ed}
androidx/coordinatorlayout: {androidx/coordinatorlayout, eb85b60fe4bc983c73e0cf693a75a1a1}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 06b1165e3aefb1866486710124113389}
androidx/collection: {androidx/collection, c47568ed9dbaa87c02e1108db8b425a4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 56644639039b9b206e3042ee2a01473a}
androidx/transition: {androidx/transition, 4c708a24ad53c61b64e435654cd05867}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, b1edee0f963b248acf55c59ea3113dab}
Jama/examples: {Jama/examples, 1d75cf608a9170fe348cafbe7a21be11}
androidx/cursoradapter: {androidx/cursoradapter, 5256c2d3bbecbec03155f21ce61e7e4c}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 705b0dda68237731c897705ef44a53e1}
androidx/multidex: {androidx/multidex, 1504e90bffbd16a20706bc7482582e2e}
androidx/cardview: {androidx/cardview, 8b21c12b07e764b833e36cd1abc06f4e}
com/alibaba/sdk: {com/alibaba/sdk, 87da899e81ed66ffb1c5bca4ac83eddd}
com/lib/notice: {com/lib/notice, e3dc891149bda11c626a61bf844b73d4}
com/google/gson: {com/google/gson, ca593653c9f2fa04c7c39378aba9e88e}
androidx/drawerlayout: {androidx/drawerlayout, e9dd22dc9de2b1c9c5d9a1f00f6b760a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/media: {androidx/media, dc5362fa045eefb5b71398ac8fe03383}
androidx/documentfile: {androidx/documentfile, f9fd1c657c74d92a8389eea527ed8112}
com/lib/compass: {com/lib/compass, fa0c80057ee19126ffb040dfc3d2cb39}
com/lib/subutil: {com/lib/subutil, 693bd9184d46dc52a9bd1f8b25a63ce8}
cn/bingoogolapple/bgabanner: {cn/bingoogolapple/bgabanner, 536a70383d1084dfbe9aec22b1e2fa90}
com/lib/x5web: {com/lib/x5web, 92ea2cb5c0755b6d548cf9f0c6419244}
com/google/firebase: {com/google/firebase, 474452e1cd506d4c6788c44171e0b30a}
com/lib/gramophone: {com/lib/gramophone, 4653b228a5ab1da29db726774ceafacc}
androidx/browser: {androidx/browser, 7d00022cd80903ea03e160db64e98488}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 0170d14d58d3d18627302eeaf9275bec}
androidx/arch/core: {androidx/arch/core, 0025363909878f30d3e268b56157d51d}
Jama/util: {Jama/util, a84861a83477f9e7c9d9acde57dc151b}
com/lib/chat: {com/lib/chat, 8783fb43e615b2f2835260bd7e22b627}
androidx/legacy/content: {androidx/legacy/content, 0ee9413779ad1b96d7760df1607acbc4}
MTT: {MTT, 7511ce6b01ca34435544a09d855cfd39}
androidx/print: {androidx/print, cb3ec6df9a0bdf81c9d20ec9a1dc8a5f}
com/bumptech/glide: {com/bumptech/glide, 80b88421030badd7865a313f48e78fb0}
android/support/customtabs: {android/support/customtabs, fd3cb656c50befe10b474f99bcbe8611}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, c11aadc2603795d1e6665151b47d1699}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 97bb2ceb64096be56253de966d6a00fd}
androidx/legacy/app: {androidx/legacy/app, 8836705ac67ef741f1d4e9bbf067fec4}
com/lib/view: {com/lib/view, 6e95f471c37bba3fd041cd805ce5969f}
com/franmontiel/persistentcookiejar: {com/franmontiel/persistentcookiejar, 6be83453a765abc95114d8e05a001033}
com/lib/moving: {com/lib/moving, 7d6c21b0e6b9f3b4a37cc3e84cb9909d}
androidx/recyclerview: {androidx/recyclerview, df445354a62142d49173621ece3f71ee}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, d08af44f3d13018a9892d659c6742718}
com/lib/touch: {com/lib/touch, e3984ff5442bca1a7ec9b1460e0f1ee3}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 680d9edd203f9b2c7c266d04322cfd19}
co/lujun/androidtagview: {co/lujun/androidtagview, b570e7b09a2160da884beeacb5e2160e}
androidx/annotation: {androidx/annotation, d05f93d07c662616805e791bcff36728}
com/scwang/smartrefresh: {com/scwang/smartrefresh, a7df3c9aaf732194874fa3d85e5182e4}
